precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,b,b1,b2,b3,c,d,e,f,"PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PÎRVĂNESCU PAULA-MARINELA-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","GHEORGHE VLAD-DAN-voturi","ȘOȘOACĂ DUMITRU-SILVESTRU-voturi","ALIANȚA ELECTORALĂ PSD PNL-voturi","ROMÂNIA SOCIALISTĂ-voturi","ALIANȚA AUR-voturi","PARTIDUL PATRIOȚILOR-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","PARTIDUL DIASPORA UNITĂ-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","ȘTEFĂNUȚĂ NICOLAE-BOGDĂNEL-voturi","PARTIDUL ROMÂNIA MARE-voturi"
37,TIMIŞ,"ANEXA ADMINISTRATIVĂ A FOSTEI UNITĂȚI MILITARE - GIROC",428,GIROC,155314,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 20:22:52",1714,1714,0,923,817,0,106,2000,1077,909,14,102,32,8,12,83,3,246,2,128,5,2,26,12,177,69,2
37,TIMIŞ,"ANEXA ADMINISTRATIVĂ A FOSTEI UNITĂȚI MILITARE - GIROC",429,GIROC,155314,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 19:25:39",1746,1745,1,908,826,0,82,2000,1092,894,14,133,19,9,18,62,3,216,2,77,0,6,20,9,243,71,6
37,TIMIŞ,"BAZĂ DE AGREMENT ȘI TRATAMENT (ȘTRAND TERMAL)",461,LOVRIN,157530,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 07:15:37",1733,1733,0,761,735,0,26,1800,1039,707,54,14,42,2,6,12,11,395,2,125,5,1,19,3,50,16,4
37,TIMIŞ,"BIBLIOTECA COMUNALĂ ORȚIȘOARA",498,ORŢIŞOARA,158010,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:10:07",973,973,0,598,562,0,36,1000,402,558,40,11,56,4,4,16,2,207,4,96,5,4,19,55,61,12,2
37,TIMIŞ,"BIBLIOTECA COMUNALĂ PESAC",513,PESAC,159507,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:12:32",890,890,0,457,438,0,19,1000,543,429,28,2,0,0,0,8,0,254,3,127,2,16,5,0,10,1,1
37,TIMIŞ,"BIBLIOTECA LOCALĂ ”DIMITRIE ŢICHINDEAL” BECICHERECU MIC",318,"BECICHERECU MIC",155760,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 07:34:46",1183,1183,0,566,532,0,34,1400,834,526,40,14,28,2,2,16,1,257,1,95,2,3,11,12,66,14,2
37,TIMIŞ,"BIROUL LOCUINŢE/DIRECŢIA CLĂDIRI, TERENURI ŞI DOTĂRI DIVERSE- PRIMĂRIA MUNICIPIULUI TIMIŞOARA",50,"MUNICIPIUL TIMIŞOARA",155243,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:26:17",632,632,0,335,270,0,65,1100,765,333,2,37,11,1,18,17,1,83,2,36,0,0,4,5,84,31,3
37,TIMIŞ,"CĂMIN CULTURAL CRAI NOU",437,GIULVĂZ,157317,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:58:23",344,344,0,165,149,0,16,401,236,153,12,3,24,0,0,4,4,52,4,39,0,0,0,0,17,5,1
37,TIMIŞ,"CĂMIN CULTURAL IVANDA",438,GIULVĂZ,157317,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:34:23",491,491,0,227,217,0,10,500,273,218,9,2,22,0,3,4,4,86,2,62,0,0,1,1,22,8,1
37,TIMIŞ,"CAMIN CULTURAL LUGOJEL",405,GAVOJDIA,157031,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:36:41",634,634,0,374,364,0,10,800,426,363,11,1,17,1,3,9,3,217,1,70,2,2,2,2,26,1,6
