precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,b,b1,b2,b3,c,d,e,f,"ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","ȘOȘOACĂ DUMITRU-SILVESTRU-voturi","ȘTEFĂNUȚĂ NICOLAE-BOGDĂNEL-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","GHEORGHE VLAD-DAN-voturi","PARTIDUL PATRIOȚILOR-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","ROMÂNIA SOCIALISTĂ-voturi","PARTIDUL DIASPORA UNITĂ-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","ALIANȚA ELECTORALĂ PSD PNL-voturi","PÎRVĂNESCU PAULA-MARINELA-voturi","ALIANȚA AUR-voturi","PARTIDUL ROMÂNIA MARE-voturi"
36,TELEORMAN,"SALA POLIVALENTĂ",16,"MUNICIPIUL ALEXANDRIA",151790,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 11:12:12",1384,1384,0,584,572,0,12,1530,946,548,36,29,7,5,13,26,13,4,1,4,2,8,9,336,4,84,3
36,TELEORMAN,"SALA POLIVALENTĂ",17,"MUNICIPIUL ALEXANDRIA",151790,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 14:38:19",1103,1099,4,475,449,0,26,1210,735,449,26,34,4,0,11,22,5,3,4,2,10,2,0,281,2,68,1
36,TELEORMAN,"ȘCOALA AJUTĂTOARE ALEXANDRIA",1,"MUNICIPIUL ALEXANDRIA",151790,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 14:33:50",1442,1442,0,711,662,0,49,1600,889,688,23,63,5,8,33,31,20,1,2,1,8,4,16,405,4,83,4
36,TELEORMAN,"ŞCOALA BALDOVINEŞTI",139,CIOLĂNEŞTI,152528,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-12 02:17:13",342,342,0,225,207,0,18,375,150,215,10,4,0,1,1,12,4,0,0,0,2,3,0,167,0,20,1
36,TELEORMAN,"ȘCOALA CU CLASELE I-IV",315,ŢIGĂNEŞTI,154834,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 09:49:13",1351,1351,0,787,776,0,11,1485,698,765,22,9,2,0,4,25,8,3,0,0,4,2,0,651,2,55,0
36,TELEORMAN,"ȘCOALA CU CLASELE I - IV ALBEȘTI",324,VEDEA,154852,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:30:18",483,483,0,357,309,0,48,535,178,342,15,2,2,2,0,9,1,1,1,0,0,0,0,314,0,10,0
36,TELEORMAN,"ȘCOALA CU CLASELE I-IV COMOARA",169,DRĂGĂNEŞTI-VLAŞCA,152902,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 10:02:41",286,286,0,243,189,0,54,300,57,241,2,0,0,0,0,1,0,0,0,0,0,0,0,239,0,1,0
36,TELEORMAN,"ȘCOALA CU CLASELE I -IV COȘOTENI",325,VEDEA,154852,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 11:49:27",420,420,0,284,234,0,50,465,181,277,7,2,0,2,0,5,0,2,0,0,0,5,0,230,1,30,0
36,TELEORMAN,"ŞCOALA CU CLASELE I-IV DRĂCŞENEI",162,DRĂCŞENEI,152797,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 11:30:05",518,518,0,574,518,0,56,570,194,345,31,5,0,0,1,7,5,3,1,0,4,0,4,289,2,23,1
36,TELEORMAN,"ȘCOALA CU CLASELE I-IV ”MĂGURA”",286,SILIŞTEA-GUMEŞTI,154282,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:26:55",722,722,0,502,446,0,56,800,298,485,17,28,1,0,4,10,8,1,1,2,1,2,3,256,1,165,2
36,TELEORMAN,"ŞCOALA CU CLASELE I – IV MERI",327,VEDEA,154852,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:56:51",372,372,0,283,245,0,38,405,122,276,7,5,0,3,1,12,1,1,0,0,0,1,2,239,2,9,0
36,TELEORMAN,"ŞCOALA CU CLASELE I-IV ODOBEASCA",164,DRĂCŞENEI,152797,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 08:42:09",411,411,0,277,261,0,16,455,178,249,28,5,0,1,3,8,3,1,0,2,1,0,5,194,0,26,0
36,TELEORMAN,"ŞCOALA CU CLASELE I-IV PRUNARU",118,BUJORENI,152270,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 01:50:13",322,321,1,160,134,0,26,350,190,152,8,5,1,0,4,5,0,0,0,0,1,0,0,117,0,18,1
36,TELEORMAN,"ŞCOALA CU CLASELE I-IV TUNARI",110,BOTOROAGA,152172,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 14:55:23",135,135,0,128,101,0,27,150,22,122,6,0,0,0,1,10,1,1,0,0,0,0,0,95,1,13,0
36,TELEORMAN,"ȘCOALA CU CLASELE I - IV VĂCENI",170,DRĂGĂNEŞTI-VLAŞCA,152902,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 07:58:04",173,173,0,117,92,0,25,190,73,113,4,2,2,0,0,2,2,0,0,0,1,0,0,87,0,16,1
36,TELEORMAN,"SCOALA CU CLASELE I-VIII ” BADEA NEGREANU ”",298,ŞTOROBĂNEASA,154497,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:42:46",1010,1010,0,718,712,0,6,1111,393,683,35,15,3,6,3,16,5,1,1,3,5,3,1,297,1,320,3
36,TELEORMAN,"ŞCOALA CU CLASELE I – VIII DULCEANCA",326,VEDEA,154852,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 01:55:31",427,427,0,286,260,0,26,470,184,278,8,3,0,1,0,16,0,0,0,0,1,0,1,253,0,3,0
36,TELEORMAN,"ŞCOALA CU CLASELE I - VIII SPĂTĂREI",178,FURCULEŞTI,152948,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 17:41:38",741,741,0,534,470,0,64,820,286,508,26,12,2,8,6,27,9,2,2,1,3,2,0,386,1,44,3
36,TELEORMAN,"ȘCOALA DE ȘOFERI AMATORI",33,"MUNICIPIUL ALEXANDRIA",151790,4,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 13:49:24",1407,1407,0,550,535,0,15,1550,1015,514,21,14,14,10,3,25,0,4,0,0,6,2,4,353,1,75,3
36,TELEORMAN,"ȘCOALA GENARALĂ NR. 2",312,TROIANUL,154790,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 15:49:33",746,746,0,529,462,0,67,825,296,458,71,73,2,9,8,24,5,6,2,3,3,3,4,250,6,55,5
36,TELEORMAN,"ȘCOALA GENERALĂ",314,TROIANUL,154790,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 01:54:11",149,143,6,111,90,6,15,159,48,101,10,10,0,1,2,1,0,0,0,0,0,1,1,74,0,10,1
36,TELEORMAN,"ŞCOALA GENERALĂ MOLDOVENI",187,ISLAZ,151736,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:13:18",691,681,10,434,407,10,17,750,325,405,20,13,4,1,0,12,4,27,1,1,1,3,0,296,2,38,2
36,TELEORMAN,"ŞCOALA GENERALA NR. 3 CIOLĂNEŞTII DIN VALE",140,CIOLĂNEŞTI,152528,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 11:37:54",464,464,0,295,245,0,50,490,195,280,15,9,2,2,1,19,2,2,0,0,3,1,1,196,1,40,1
36,TELEORMAN,"ȘCOALA GENERALĂ POENI",246,POENI,153696,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 16:41:45",1109,1109,0,834,777,0,57,1220,386,787,47,12,1,2,12,27,9,5,0,0,0,6,3,472,0,238,0
36,TELEORMAN,"ȘCOALA GENERALĂ POROSCHIA",251,POROSCHIA,151834,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:27:14",1383,1383,0,978,949,0,29,1520,542,932,46,38,6,13,9,38,22,2,2,3,5,8,4,578,5,195,4
36,TELEORMAN,"ȘCOALA GENERALĂ PREAJBA",248,POENI,153696,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 09:24:05",310,310,0,265,248,0,17,340,75,237,28,3,0,1,1,11,4,2,0,1,1,2,2,163,1,43,2
36,TELEORMAN,"ȘCOALA GENERALĂ RĂDOIEȘTI CETATEA",257,RĂDOIEŞTI,153865,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 01:25:05",275,275,0,176,142,0,34,305,129,174,2,1,1,0,0,0,1,0,0,1,0,1,0,153,0,16,0
36,TELEORMAN,"ȘCOALA GENERALĂ VĂTAȘI",249,POENI,153696,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 10:21:27",412,412,0,317,298,0,19,449,132,301,16,8,2,5,2,19,2,0,0,0,3,0,1,182,0,73,4
36,TELEORMAN,"ȘCOALĂ GIMNAZIALĂ",328,VIIŞOARA,154914,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 08:42:17",625,625,0,527,452,0,75,690,163,490,37,3,3,1,0,13,3,2,0,1,1,2,4,398,3,56,0
36,TELEORMAN,"ȘCOALA GIMNAZIALĂ ”ALEXANDRU COLFESCU”",27,"MUNICIPIUL ALEXANDRIA",151790,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:08:28",1261,1261,0,526,515,0,11,1390,864,503,23,34,8,6,13,27,18,2,1,3,10,7,6,294,3,65,6
36,TELEORMAN,"ȘCOALA GIMNAZIALĂ ”ALEXANDRU COLFESCU”",30,"MUNICIPIUL ALEXANDRIA",151790,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 11:29:30",1313,1311,2,590,579,2,9,1445,855,578,12,46,14,3,27,39,23,5,4,2,16,0,6,298,9,83,3
36,TELEORMAN,"ȘCOALA GIMNAZIALĂ ”ALEXANDRU COLFESCU”",28,"MUNICIPIUL ALEXANDRIA",151790,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 12:46:35",1317,1317,0,474,468,0,6,1450,976,452,22,14,7,6,6,13,11,2,5,1,14,0,10,285,4,71,3
36,TELEORMAN,"ȘCOALA GIMNAZIALĂ ”ALEXANDRU COLFESCU”",29,"MUNICIPIUL ALEXANDRIA",151790,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 07:49:56",1287,1287,0,558,549,0,9,1420,862,530,28,29,6,7,14,19,8,8,0,2,11,3,10,331,3,74,5
36,TELEORMAN,"ŞCOALA GIMNAZIALĂ ”ALEXANDRU DEPĂRĂŢEANU”",47,"MUNICIPIUL ROŞIORI DE VEDE",151870,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:38:26",1009,1009,0,449,439,0,10,1115,666,418,31,98,7,6,19,11,16,2,0,2,3,3,12,165,0,71,3
36,TELEORMAN,"ŞCOALA GIMNAZIALĂ ”ALEXANDRU DEPĂRĂŢEANU”",46,"MUNICIPIUL ROŞIORI DE VEDE",151870,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 14:51:44",1289,1289,0,395,383,0,12,1432,1037,370,25,76,0,5,6,16,2,3,3,1,3,0,4,185,0,65,1
36,TELEORMAN,"ŞCOALA GIMNAZIALĂ ”ALEXANDRU DEPĂRĂŢEANU”",45,"MUNICIPIUL ROŞIORI DE VEDE",151870,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 14:43:27",1223,1223,0,502,476,0,26,1355,853,468,34,67,3,2,7,24,8,2,1,2,2,0,3,283,1,61,2
36,TELEORMAN,"ȘCOALA GIMNAZIALĂ ANTONEŞTI",125,CĂLINEŞTI,152350,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:02:09",212,212,0,223,151,0,72,235,12,211,12,1,0,3,1,9,0,2,0,2,2,5,1,173,0,12,0
36,TELEORMAN,"ŞCOALA GIMNAZIALĂ BĂBĂIŢA",94,BĂBĂIŢA,152038,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 13:27:19",1375,1375,0,990,921,0,69,1515,525,950,40,6,1,1,2,23,1,3,3,0,3,6,1,747,2,151,0
36,TELEORMAN,"ŞCOALA GIMNAZIALĂ BOGDANA",104,BOGDANA,152127,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 07:53:34",683,683,0,518,478,0,40,745,227,479,39,7,2,0,2,26,5,3,1,3,4,6,4,369,0,39,8
36,TELEORMAN,"SCOALA GIMNAZIALA BRANCENI",116,BRÂNCENI,152252,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 07:04:04",1026,1026,0,669,611,0,58,1135,466,629,40,22,3,6,9,27,11,1,1,1,5,2,4,416,2,117,2
36,TELEORMAN,"ŞCOALA GIMNAZIALĂ BUZESCU",123,BUZESCU,152332,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:16:55",1119,1119,0,775,721,0,54,1230,455,713,62,12,2,4,5,19,5,8,2,1,1,2,3,578,2,67,2
36,TELEORMAN,"ȘCOALA GIMNAZIALĂ CĂLINEȘTI",124,CĂLINEŞTI,152350,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 11:41:32",1102,1102,0,913,810,0,103,1200,287,904,9,6,1,3,0,28,1,4,0,0,4,7,0,805,0,45,0
36,TELEORMAN,"ŞCOALA GIMNAZIALĂ CĂLMĂŢUIU (FOST LOCAL AL ȘCOLII CU CLASELE I-IV)",128,CĂLMĂŢUIU,152412,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:54:22",459,459,0,344,283,0,61,505,161,324,20,3,0,0,2,9,2,4,1,0,4,2,2,268,0,27,0
36,TELEORMAN,"ŞCOALA GIMNAZIALĂ CĂLMĂȚUIU ( FOST LOCAL AL ȘCOLII CU CLASELE I-IV )",129,CĂLMĂŢUIU,152412,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:34:39",209,209,0,163,145,0,18,230,67,159,4,3,3,0,0,3,0,0,0,0,0,2,3,106,0,38,1
36,TELEORMAN,"ŞCOALA GIMNAZIALĂ CĂLMĂȚUIU ( FOST LOCAL AL ȘCOLII NICOLAE BĂLCESCU )",131,CĂLMĂŢUIU,152412,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 08:10:48",420,420,0,320,266,0,54,465,145,300,20,0,0,0,0,8,0,1,0,2,1,4,0,188,1,93,2
36,TELEORMAN,"ȘCOALA GIMNAZIALĂ CERVENIA",135,CERVENIA,152500,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:29:42",1205,1205,0,749,732,0,17,1330,581,683,66,8,2,3,4,41,10,6,3,0,1,3,2,334,3,263,0
36,TELEORMAN,"ȘCOALA GIMNAZIALĂ CERVENIA",136,CERVENIA,152500,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 10:00:26",1017,1017,0,612,575,0,37,2125,1513,554,58,4,2,2,4,29,7,3,2,1,3,1,6,267,1,221,1
36,TELEORMAN,"ȘCOALA GIMNAZIALĂ COMUNA TALPA",299,TALPA,154521,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 08:27:42",656,656,0,554,467,0,87,720,166,497,57,7,1,3,1,21,3,2,0,1,4,4,1,405,1,41,2
36,TELEORMAN,"ȘCOALA GIMNAZIALĂ COPĂCEANCA",126,CĂLINEŞTI,152350,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 11:50:08",670,670,0,560,471,0,89,735,175,514,46,9,3,1,6,14,9,2,0,0,4,4,6,417,0,38,1
36,TELEORMAN,"SCOALA GIMNAZIALĂ CU CLASELE I-VIII MERENII DE JOS",208,MERENI,153295,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:47:11",1178,1178,0,795,764,0,31,1295,500,744,51,6,4,3,5,13,5,4,0,0,1,4,3,622,1,71,2
36,TELEORMAN,"ȘCOALA GIMNAZIALĂ CU CLASELE I-VIII, NR. 2",74,"ORAŞ VIDELE",151905,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:56:28",1632,1632,0,1109,1075,0,34,1795,686,1086,23,63,9,10,18,33,23,2,7,6,11,4,135,597,3,158,7
36,TELEORMAN,"ȘCOALA GIMNAZIALĂ ”DAN BERINDEI”",37,"MUNICIPIUL ROŞIORI DE VEDE",151870,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:39:53",1138,1100,38,457,421,30,6,1215,736,451,6,88,6,3,9,21,6,1,0,2,5,3,7,235,1,62,2
36,TELEORMAN,"ŞCOALA GIMNAZIALĂ DRĂCŞANI",163,DRĂCŞENEI,152797,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:06:58",295,295,0,223,183,0,40,325,102,207,16,3,1,0,1,0,0,1,0,1,0,1,4,171,0,23,1
36,TELEORMAN,"ŞCOALA GİMNAZİALĂ DRĂGĂNEŞTİ DE VEDE",165,"DRĂGĂNEŞTI DE VEDE",152868,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 13:54:09",1087,1087,0,815,740,0,75,1195,380,742,73,25,2,10,4,27,10,2,4,2,3,9,4,563,2,71,4
36,TELEORMAN,"ŞCOALA GIMNAZIALĂ DRĂGĂNEŞTI VLAŞCA",168,DRĂGĂNEŞTI-VLAŞCA,152902,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:52:31",981,981,0,567,438,0,129,1085,518,567,0,0,2,0,0,4,3,0,0,0,1,1,0,533,0,23,0
36,TELEORMAN,"ŞCOALA GIMNAZIALĂ FÂNTÂNELE",171,FÂNTÂNELE,155118,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 10:25:58",1159,1157,2,990,891,0,99,1275,283,949,41,10,11,6,17,35,8,4,2,3,3,5,8,717,2,114,4
36,TELEORMAN,"ŞCOALA GIMNAZIALĂ FURCULEŞTI",177,FURCULEŞTI,152948,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 17:26:10",1342,1342,0,593,479,0,114,1560,778,514,79,11,9,5,1,23,2,5,0,3,3,3,6,375,2,65,1
36,TELEORMAN,"ŞCOALA GIMNAZIALĂ ”GALA GALACTION”",41,"MUNICIPIUL ROŞIORI DE VEDE",151870,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 12:41:19",1025,1025,0,375,367,0,8,1130,752,361,14,68,5,6,8,14,5,3,0,1,4,5,8,163,3,67,1
36,TELEORMAN,"ŞCOALA GIMNAZIALĂ ”GALA GALACTION”",42,"MUNICIPIUL ROŞIORI DE VEDE",151870,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:40:33",1099,1092,7,322,311,7,4,1200,878,297,25,41,1,0,10,10,3,3,1,4,10,2,2,164,3,42,1
36,TELEORMAN,"ŞCOALA GIMNAZIALĂ GĂLĂTENI",181,GĂLĂTENI,153026,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 13:02:00",658,658,0,572,503,0,69,730,158,519,53,3,2,6,2,29,8,5,1,0,3,7,5,394,1,52,1
36,TELEORMAN,"ȘCOALA GIMNAZIALĂ GRATIA",183,GRATIA,153062,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 07:43:56",1041,1041,0,733,660,0,73,1150,417,703,30,20,1,10,11,29,5,3,0,1,8,1,10,557,2,43,2
36,TELEORMAN,"ŞCOALA GIMNAZIALĂ ”GRIGORE DIMITRIE GHICA” PERETU",229,PERETU,153543,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:50:02",922,922,0,577,565,0,12,1015,438,553,24,9,4,8,11,16,4,1,1,0,2,0,3,439,5,47,3
36,TELEORMAN,"ŞCOALA GIMNAZIALĂ ”GRIGORE DIMITRIE GHICA” PERETU",230,PERETU,153543,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 08:07:15",1082,1082,0,669,651,0,18,1200,531,622,47,0,2,12,5,25,23,3,0,10,4,2,5,446,2,82,1
36,TELEORMAN,"ȘCOALA GIMNAZIALĂ ”I.GH.DUCA”",317,ŢIGĂNEŞTI,154834,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 08:30:43",1402,1402,0,824,816,0,8,1540,716,778,46,15,1,1,8,29,14,3,1,3,4,3,7,605,2,79,3
