precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,b,b1,b2,b3,c,d,e,f,"PARTIDUL ROMÂNIA MARE-voturi","PÎRVĂNESCU PAULA-MARINELA-voturi","PARTIDUL PATRIOȚILOR-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","ALIANȚA ELECTORALĂ PSD PNL-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","GHEORGHE VLAD-DAN-voturi","ALIANȚA AUR-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","ȘTEFĂNUȚĂ NICOLAE-BOGDĂNEL-voturi","ROMÂNIA SOCIALISTĂ-voturi","PARTIDUL DIASPORA UNITĂ-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","ȘOȘOACĂ DUMITRU-SILVESTRU-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi"
9,BRĂILA,"CĂMIN CULTURAL",268,UNIREA,44355,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-12 14:55:34",1023,1023,0,660,634,0,26,1105,445,611,49,2,2,1,19,468,42,1,51,7,2,1,0,11,2,2,0
9,BRĂILA,"CĂMIN CULTURAL",164,"BERTEŞTII DE JOS",42842,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:20:13",243,243,0,175,163,0,12,300,125,149,26,0,0,0,0,114,15,0,19,1,0,0,0,0,0,0,0
9,BRĂILA,"CĂMIN CULTURAL",197,GROPENI,43313,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-12 14:48:57",1407,1407,0,935,922,0,13,1550,615,846,89,5,0,4,11,641,62,12,85,4,2,1,1,3,7,7,1
9,BRĂILA,"CĂMIN CULTURAL",267,UNIREA,44355,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-12 14:52:53",820,820,0,570,534,0,36,900,330,552,18,3,2,3,11,450,27,3,38,0,5,0,4,3,2,1,0
9,BRĂILA,"CĂMIN CULTURAL CONSTANTIN GABRIELESCU",167,"BORDEI VERDE",42913,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-12 14:38:14",494,494,0,337,319,0,18,550,213,313,24,0,0,3,3,260,15,3,19,0,4,0,2,0,2,2,0
9,BRĂILA,"CAMIN CULTURAL DIN FOSTUL SAT TIBANESTI",261,TUFEŞTI,44300,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 07:11:33",1042,1042,0,574,563,0,11,1150,576,551,23,0,0,0,6,414,37,8,67,5,7,1,1,3,1,1,0
9,BRĂILA,"CAMIN CULTURAL GRADISTEA",194,GRĂDIŞTEA,43279,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-12 14:42:36",962,962,0,655,626,0,29,1050,395,565,90,0,2,4,4,483,20,1,39,1,2,0,3,2,1,1,2
9,BRĂILA,"CAMIN CULTURAL LATINU",209,MĂXINENI,43563,5,PROV,PRCNCT,EUP,EUP_SV,"2024-06-12 15:03:26",569,569,0,349,331,0,18,650,301,327,22,0,1,0,4,242,22,1,38,3,3,0,5,4,2,2,0
9,BRĂILA,"CAMIN CULTURAL M.MIRESII",214,"MOVILA MIRESII",43652,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 07:12:13",1149,1149,0,721,701,0,20,1300,579,660,61,2,0,3,10,506,45,4,55,5,6,0,4,6,3,9,2
9,BRĂILA,"CĂMIN CULTURAL SAT IBRIANU",195,GRĂDIŞTEA,43279,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-12 14:44:39",475,475,0,341,295,0,46,550,209,313,28,2,0,1,3,258,14,2,27,1,0,0,1,3,0,1,0
9,BRĂILA,"CĂMIN CULTURAL SAT MARALOIU",196,GRĂDIŞTEA,43279,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-12 14:47:02",208,208,0,167,145,0,22,250,60,158,9,1,0,1,2,131,9,0,7,1,2,0,0,0,0,4,0
9,BRĂILA,"CAMIN CULTURAL ZAVOAIA",282,ZĂVOAIA,44532,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-12 15:08:59",920,920,0,566,547,0,19,980,414,527,39,1,1,3,4,410,42,3,53,1,2,1,1,0,1,4,0
9,BRĂILA,"CĂMINUI CULTURAL NR. 2",262,TUFEŞTI,44300,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-12 14:43:23",832,832,0,503,491,0,12,900,397,474,29,0,1,1,9,364,29,2,55,2,1,1,4,2,2,1,0
9,BRĂILA,"CĂMINUL CULTURAL ARICIU",227,"SALCIA TUDOR",43867,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 00:46:06",130,130,0,84,76,0,8,150,66,81,3,0,0,0,3,44,1,1,26,1,3,0,0,0,0,2,0
9,BRĂILA,"CĂMINUL CULTURAL BERTEȘTII DE JOS",162,"BERTEŞTII DE JOS",42842,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:22:58",669,669,0,396,390,0,6,700,304,354,42,0,0,2,2,289,12,2,40,1,0,0,2,2,1,1,0
9,BRĂILA,"CĂMINUL CULTURAL BERTEȘTII DE SUS",163,"BERTEŞTII DE JOS",42842,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-12 14:36:32",253,253,0,152,146,0,6,322,170,130,22,0,0,1,1,96,8,0,15,0,1,1,2,1,0,4,0
9,BRĂILA,"CĂMINUL CULTURAL COMĂNEASCA",258,"TUDOR VLADIMIRESCU",44257,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 15:05:55",166,166,0,112,103,0,9,200,88,106,6,1,1,0,32,50,6,2,7,0,1,1,1,1,1,2,0
9,BRĂILA,"CĂMINUL CULTURAL CORBU NOU",207,MĂXINENI,43563,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:26:20",673,673,0,444,423,0,21,765,315,421,22,3,0,4,4,336,27,2,34,1,0,1,4,1,0,3,1
9,BRĂILA,"CĂMINUL CULTURAL CORBU VECHI",208,MĂXINENI,43563,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 00:31:34",207,207,0,139,131,0,8,260,121,134,5,0,0,2,7,94,10,1,15,1,3,0,0,0,1,0,0
9,BRĂILA,"CĂMINUL CULTURAL DUDESCU",284,ZĂVOAIA,44532,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 14:07:35",583,583,0,372,362,0,10,676,304,354,18,0,1,1,4,281,26,2,26,1,1,0,2,3,4,2,0
9,BRĂILA,"CĂMINUL CULTURAL II",171,CHISCANI,42708,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 09:03:07",1703,1703,0,881,868,0,13,1843,962,822,59,1,1,8,21,494,85,11,148,10,14,1,7,12,0,9,0
9,BRĂILA,"CAMINUL CULTURAL JUGUREANU",266,ULMU,44328,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-12 14:50:04",725,725,0,474,455,0,19,800,324,431,43,1,0,3,7,340,31,1,35,4,0,0,2,1,2,4,0
9,BRĂILA,"CĂMINUL CULTURAL LIȘCOTEANCA",168,"BORDEI VERDE",42913,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:42:10",429,429,0,272,262,0,10,500,228,250,22,0,0,0,2,206,11,7,19,3,1,0,0,1,0,0,0
9,BRĂILA,"CĂMINUL CULTURAL MĂGURENI",203,MĂRAŞU,43493,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-12 14:55:58",397,397,0,232,226,0,6,450,218,203,29,0,0,2,3,166,8,0,18,0,2,1,1,0,0,2,0
9,BRĂILA,"CĂMINUL CULTURAL MĂRAȘU",201,MĂRAŞU,43493,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:11:37",716,716,0,469,458,0,11,800,331,423,46,3,0,2,14,303,31,15,45,0,1,1,1,0,2,4,1
9,BRĂILA,"CAMINUL CULTURAL MOHREANU",265,ULMU,44328,4,PROV,PRCNCT,EUP,EUP_SV,"2024-06-12 14:47:45",905,905,0,611,600,0,11,1004,393,560,51,1,1,5,4,479,19,2,33,5,5,1,1,0,1,2,1
9,BRĂILA,"CĂMINUL CULTURAL OLĂNEASCA",230,"SALCIA TUDOR",43867,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:11:29",307,307,0,187,176,0,11,350,163,172,15,0,1,1,13,58,5,3,80,1,2,2,1,1,2,2,0
9,BRĂILA,"CĂMINUL CULTURAL SALCIA TUDOR",226,"SALCIA TUDOR",43867,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:01:26",537,537,0,360,353,0,7,550,190,329,31,0,0,1,13,140,16,4,145,2,1,1,0,1,1,2,2
9,BRĂILA,"CĂMINUL CULTURAL SAT CĂLDĂRUȘA",254,TRAIAN,44202,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-12 14:23:44",152,152,0,112,100,0,12,200,88,103,9,1,0,1,2,74,6,0,12,2,0,1,2,0,0,1,1
9,BRĂILA,"CĂMINUL CULTURAL SAT LACU SĂRAT",173,CHISCANI,42708,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-12 14:39:54",1075,1075,0,547,542,0,5,1215,668,530,17,4,2,3,44,242,88,12,82,2,9,2,12,8,2,15,3
