precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,b,b1,b2,b3,c,d,e,f,"PARTIDUL ROMÂNIA MARE-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","ALIANȚA AUR-voturi","ȘTEFĂNUȚĂ NICOLAE-BOGDĂNEL-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","ROMÂNIA SOCIALISTĂ-voturi","GHEORGHE VLAD-DAN-voturi","ȘOȘOACĂ DUMITRU-SILVESTRU-voturi","PARTIDUL DIASPORA UNITĂ-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL PATRIOȚILOR-voturi","ALIANȚA ELECTORALĂ PSD PNL-voturi","PÎRVĂNESCU PAULA-MARINELA-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi"
12,CĂLĂRAŞI,"CAMIN CULTURAL",162,LEHLIU,93851,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 21:14:19",1321,1321,0,950,914,0,36,1454,504,871,79,4,50,10,4,95,7,2,1,7,4,4,17,11,646,3,6
12,CĂLĂRAŞI,"CĂMIN CULTURAL ȘTEFĂNEȘTI",155,ILEANA,103764,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 08:31:49",600,600,0,369,342,0,27,658,289,356,13,0,19,3,2,42,5,0,0,5,1,3,5,1,267,0,3
12,CĂLĂRAŞI,"CANTINA DE AJUTOR SOCIAL",50,"MUNICIPIUL CĂLĂRAŞI",92569,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:00:13",538,538,0,250,242,0,8,600,350,220,30,0,3,2,3,72,1,0,0,1,4,0,4,1,126,2,1
12,CĂLĂRAŞI,"CANTINA DE AJUTOR SOCIAL",53,"MUNICIPIUL OLTENIŢA",100610,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 20:00:20",1100,1100,0,582,567,0,15,1217,635,563,19,0,31,16,2,89,17,2,6,8,6,12,23,3,335,5,8
12,CĂLĂRAŞI,"CASA DE CULTURA",77,"ORAŞ LEHLIU-GARĂ",93888,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 10:41:40",1479,1479,0,925,886,0,39,1528,603,889,36,5,43,20,2,193,29,4,3,25,3,14,34,3,495,1,15
12,CĂLĂRAŞI,"CENTRUL CULTURAL MULTIFUNCȚIONAL",121,DOROBANŢU,93441,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-12 18:49:16",1150,1150,0,814,757,0,57,1258,444,722,92,5,33,4,2,88,11,0,1,16,7,3,7,5,532,2,6
12,CĂLĂRAŞI,"CENTRUL JUDEŢEAN DE RESURSE ŞI ASISTENŢĂ EDUCAŢIONALĂ CĂLĂRAŞI",4,"MUNICIPIUL CĂLĂRAŞI",92569,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:37:01",720,720,0,368,357,0,11,720,352,353,15,2,18,18,0,62,6,5,3,14,6,5,38,4,163,4,5
12,CĂLĂRAŞI,"CENTRUL JUDEŢEAN DE RESURSE ŞI ASISTENŢĂ EDUCAŢIONALĂ CĂLĂRAŞI",3,"MUNICIPIUL CĂLĂRAŞI",92569,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 20:20:37",941,941,0,471,375,0,96,1045,574,454,17,2,21,26,5,68,19,1,3,12,5,13,48,6,211,5,9
12,CĂLĂRAŞI,"COLEGIUL ECONOMIC SEDIU",51,"MUNICIPIUL CĂLĂRAŞI",92569,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:58:19",1299,1299,0,647,633,0,14,1437,790,628,19,4,23,20,2,98,11,3,5,23,6,12,75,2,322,1,21
12,CĂLĂRAŞI,"COLEGIUL ECONOMIC SEDIUL B",43,"MUNICIPIUL CĂLĂRAŞI",92569,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-12 16:09:56",1053,1053,0,477,461,0,16,1162,720,421,21,2,20,6,2,111,14,0,1,14,6,13,0,5,220,1,6
