precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,b,b1,b2,b3,c,d,e,f,"GHEORGHE VLAD-DAN-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","ROMÂNIA SOCIALISTĂ-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL PATRIOȚILOR-voturi","PÎRVĂNESCU PAULA-MARINELA-voturi","PARTIDUL DIASPORA UNITĂ-voturi","ALIANȚA ELECTORALĂ PSD PNL-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL ROMÂNIA MARE-voturi","ȘOȘOACĂ DUMITRU-SILVESTRU-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","ȘTEFĂNUȚĂ NICOLAE-BOGDĂNEL-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","ALIANȚA AUR-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi"
31,PRAHOVA,"AGENŢIA PENTRU PROTECŢIA MEDIULUI PRAHOVA",110,"MUNICIPIUL PLOIEŞTI",130534,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 16:29:16",1069,1069,0,476,474,0,2,1200,724,456,20,30,2,6,20,10,7,16,155,60,8,4,16,27,24,68,3
31,PRAHOVA,"ANEXA LICEULUI TEHNOLOGIC DE TRANSPORTURI (ANEXA GRUP SCOLAR INDUSTRIAL TRANSPORTURI (FOST LICEUL AUTO))",25,"MUNICIPIUL PLOIEŞTI",130534,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 07:58:25",1562,1562,0,642,628,0,14,1700,1058,609,33,29,6,6,33,10,14,18,180,94,11,5,11,51,45,89,7
31,PRAHOVA,"ANEXA PRIMARIE SAT OLOGENI",513,"POIENARII BURCHII",134559,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 17:32:07",1046,1046,0,755,721,0,34,1203,448,692,63,9,5,0,40,7,1,3,388,9,0,4,108,7,9,89,13
31,PRAHOVA,"ANEXA ŞCOLII GIMNAZIALE ”SFÂNTA VINERI”",14,"MUNICIPIUL PLOIEŞTI",130534,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 21:09:42",891,891,0,390,373,0,17,1000,617,365,18,0,6,4,14,7,6,21,133,48,0,4,10,17,26,67,2
31,PRAHOVA,"BAZA SPORTIVĂ STREJNICU",577,"TÂRGŞORU VECHI",130892,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 12:21:30",1861,1861,0,1010,997,0,13,2000,990,955,55,20,19,4,83,22,6,32,431,92,5,10,9,44,34,137,7
31,PRAHOVA,"BIBLIOTECA COMUNALĂ COSMINELE",390,COSMINELE,132841,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 10:57:20",798,798,0,628,593,0,35,900,272,589,39,10,6,7,36,4,1,5,367,12,7,3,9,14,9,98,1
31,PRAHOVA,"BIBLIOTECA ”DIMITRIE GUSTI” COMUNA POIANA-CĂMPINA",508,"POIANA CÂMPINA",131274,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:52:55",587,587,0,363,353,0,10,600,237,336,27,9,10,1,19,2,3,10,203,9,2,2,7,16,9,32,2
31,PRAHOVA,"BLOCUL 24B PARTER",40,"MUNICIPIUL PLOIEŞTI",130534,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 18:56:42",1239,1239,0,512,498,0,14,1400,921,464,15,18,6,5,24,6,15,14,191,65,8,8,9,24,0,68,3
31,PRAHOVA,"CABANA DE VANATOARE",607,"VALEA CĂLUGĂREASCĂ",135949,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 01:06:48",83,83,0,48,36,0,12,100,52,41,7,1,1,0,2,1,0,0,24,1,0,0,1,1,0,8,1
31,PRAHOVA,"CAMIN CULTURAL",575,TĂTARU,135681,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 13:33:58",203,203,0,242,154,0,88,300,58,227,15,0,1,0,4,4,2,1,181,9,0,0,3,2,4,14,2
