precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,b,b1,b2,b3,c,d,e,f,"PARTIDUL ROMÂNIA MARE-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","GHEORGHE VLAD-DAN-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","ALIANȚA ELECTORALĂ PSD PNL-voturi","ROMÂNIA SOCIALISTĂ-voturi","PÎRVĂNESCU PAULA-MARINELA-voturi","PARTIDUL DIASPORA UNITĂ-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","ALIANȚA AUR-voturi","PARTIDUL PATRIOȚILOR-voturi","ȘOȘOACĂ DUMITRU-SILVESTRU-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","ȘTEFĂNUȚĂ NICOLAE-BOGDĂNEL-voturi"
41,VRANCEA,"AGENŢIA JUDEŢEANĂ PENTRU PLĂŢI ŞI INSPECŢIE SOCIALĂ",33,"MUNICIPIUL FOCŞANI",174744,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-12 21:49:00",1384,1384,0,550,539,0,11,1528,976,522,28,10,30,14,23,3,246,2,6,11,0,21,72,2,0,59,23
41,VRANCEA,"AȘEZĂMÂNT CULTURAL",344,VINTILEASCA,178475,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 08:24:54",591,591,0,387,347,0,40,652,265,350,37,1,11,3,3,3,260,1,1,6,0,1,42,0,1,10,7
41,VRANCEA,"ATENEUL POPULAR „MAIOR GHEORGHE PASTIA” FOCȘANI",3,"MUNICIPIUL FOCŞANI",174744,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 09:22:50",1397,1397,0,663,621,0,42,1536,873,631,32,4,28,11,19,1,307,2,3,15,3,34,81,6,9,85,23
41,VRANCEA,"BIBLIOTECA ORĂȘENEASCĂ ”ANA GEORGESCU”",85,"ORAŞ ODOBEŞTI",175019,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:03:18",1460,1460,0,764,746,0,18,1615,851,726,38,3,30,11,14,10,462,7,1,1,13,13,104,4,2,38,13
41,VRANCEA,"CAMIN CULTURAL",119,BROŞTENI,175466,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 12:27:25",1361,1361,0,814,802,0,12,1501,687,748,66,1,27,5,13,1,507,3,2,8,4,5,116,6,12,19,19
41,VRANCEA,"CAMIN CULTURAL",291,STRĂOANE,177799,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 18:40:07",766,766,0,429,421,0,8,840,411,414,15,2,14,2,7,1,225,2,1,2,2,7,91,1,5,40,12
41,VRANCEA,"CĂMIN CULTURAL",128,CÂRLIGELE,175732,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 22:53:42",1108,1108,0,579,543,0,36,1217,638,546,33,0,27,1,6,0,344,0,4,10,6,6,92,24,1,19,6
41,VRANCEA,"CĂMIN CULTURAL",107,BILIEŞTI,178929,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 13:40:02",1053,1053,0,621,594,0,27,1158,537,588,33,3,35,1,6,1,428,4,0,7,2,11,52,0,7,21,10
41,VRANCEA,"CĂMIN CULTURAL",106,BILIEŞTI,178929,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 14:34:06",999,999,0,595,563,0,32,1109,514,562,33,0,14,1,12,3,404,2,3,3,1,3,57,6,6,33,14
41,VRANCEA,"CAMIN CULTURAL CALIENII-VECHI",224,NĂNEŞTI,176855,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 19:11:47",507,507,0,278,239,0,39,556,278,252,26,0,6,0,0,1,188,0,0,3,1,2,25,1,1,23,1
