precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,b,b1,b2,b3,c,d,e,f,"PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","ȘTEFĂNUȚĂ NICOLAE-BOGDĂNEL-voturi","ALIANȚA ELECTORALĂ PSD PNL-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PÎRVĂNESCU PAULA-MARINELA-voturi","PARTIDUL PATRIOȚILOR-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","ALIANȚA AUR-voturi","PARTIDUL DIASPORA UNITĂ-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","ȘOȘOACĂ DUMITRU-SILVESTRU-voturi","GHEORGHE VLAD-DAN-voturi","ROMÂNIA SOCIALISTĂ-voturi","PARTIDUL ROMÂNIA MARE-voturi"
37,TIMIŞ,"ANEXA ADMINISTRATIVĂ A FOSTEI UNITĂȚI MILITARE - GIROC",428,GIROC,155314,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 20:22:52",1714,1714,0,923,817,0,106,2000,1077,909,14,102,177,69,246,32,12,8,5,2,128,26,12,3,83,2,2
37,TIMIŞ,"ANEXA ADMINISTRATIVĂ A FOSTEI UNITĂȚI MILITARE - GIROC",429,GIROC,155314,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 19:25:39",1746,1745,1,908,826,0,82,2000,1092,894,14,133,243,71,216,19,18,9,0,6,77,20,9,3,62,2,6
37,TIMIŞ,"BAZĂ DE AGREMENT ȘI TRATAMENT (ȘTRAND TERMAL)",461,LOVRIN,157530,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 07:15:37",1733,1733,0,761,735,0,26,1800,1039,707,54,14,50,16,395,42,6,2,5,1,125,19,3,11,12,2,4
37,TIMIŞ,"BIBLIOTECA COMUNALĂ ORȚIȘOARA",498,ORŢIŞOARA,158010,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:10:07",973,973,0,598,562,0,36,1000,402,558,40,11,61,12,207,56,4,4,5,4,96,19,55,2,16,4,2
37,TIMIŞ,"BIBLIOTECA COMUNALĂ PESAC",513,PESAC,159507,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:12:32",890,890,0,457,438,0,19,1000,543,429,28,2,10,1,254,0,0,0,2,16,127,5,0,0,8,3,1
37,TIMIŞ,"BIBLIOTECA LOCALĂ ”DIMITRIE ŢICHINDEAL” BECICHERECU MIC",318,"BECICHERECU MIC",155760,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 07:34:46",1183,1183,0,566,532,0,34,1400,834,526,40,14,66,14,257,28,2,2,2,3,95,11,12,1,16,1,2
37,TIMIŞ,"BIROUL LOCUINŢE/DIRECŢIA CLĂDIRI, TERENURI ŞI DOTĂRI DIVERSE- PRIMĂRIA MUNICIPIULUI TIMIŞOARA",50,"MUNICIPIUL TIMIŞOARA",155243,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:26:17",632,632,0,335,270,0,65,1100,765,333,2,37,84,31,83,11,18,1,0,0,36,4,5,1,17,2,3
37,TIMIŞ,"CĂMIN CULTURAL CRAI NOU",437,GIULVĂZ,157317,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:58:23",344,344,0,165,149,0,16,401,236,153,12,3,17,5,52,24,0,0,0,0,39,0,0,4,4,4,1
37,TIMIŞ,"CĂMIN CULTURAL IVANDA",438,GIULVĂZ,157317,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:34:23",491,491,0,227,217,0,10,500,273,218,9,2,22,8,86,22,3,0,0,0,62,1,1,4,4,2,1
37,TIMIŞ,"CAMIN CULTURAL LUGOJEL",405,GAVOJDIA,157031,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:36:41",634,634,0,374,364,0,10,800,426,363,11,1,26,1,217,17,3,1,2,2,70,2,2,3,9,1,6
