precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,b,b1,b2,b3,c,d,e,f,"PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PÎRVĂNESCU PAULA-MARINELA-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL ROMÂNIA MARE-voturi","PARTIDUL PATRIOȚILOR-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","ROMÂNIA SOCIALISTĂ-voturi","GHEORGHE VLAD-DAN-voturi","ȘTEFĂNUȚĂ NICOLAE-BOGDĂNEL-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","ALIANȚA ELECTORALĂ PSD PNL-voturi","ALIANȚA AUR-voturi","ȘOȘOACĂ DUMITRU-SILVESTRU-voturi","PARTIDUL DIASPORA UNITĂ-voturi"
35,SUCEAVA,"AGENTIA PENTRU PROTECTIA MEDIULUI",34,"MUNICIPIUL SUCEAVA",146263,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-12 13:11:51",1903,1902,1,961,945,0,16,2100,1139,933,28,19,6,62,118,19,5,4,4,4,40,48,28,363,171,16,26
35,SUCEAVA,"AȘEZĂMÂNT CULTURAL",248,CACICA,147526,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 07:33:10",1533,1533,0,919,892,0,27,1700,781,853,66,2,2,14,42,5,8,7,4,2,15,13,34,573,117,6,9
35,SUCEAVA,"AȘEZĂMÂNT CULTURAL BASARABI",436,PREUTEŞTI,149968,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 21:09:59",1398,1398,0,893,886,0,7,1500,607,838,55,11,0,7,34,4,11,16,1,2,12,8,48,523,140,12,9
35,SUCEAVA,"ATELIER ZONĂ CFR",43,"MUNICIPIUL SUCEAVA",146263,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:47:35",1537,1537,0,440,420,0,20,1700,1260,415,25,4,3,11,47,4,8,2,2,0,16,8,47,154,91,5,13
35,SUCEAVA,"ATENEU DUMBRAVENI",296,DUMBRĂVENI,148426,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:37:56",1818,1818,0,877,832,0,45,2000,1123,841,36,0,5,5,17,0,13,6,0,2,9,5,52,527,181,9,10
35,SUCEAVA,"CAMIN CULTURAL",484,ŞCHEIA,146432,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:22:20",186,186,0,125,117,0,8,200,75,117,8,1,1,1,10,2,0,0,0,0,0,5,7,55,31,1,3
35,SUCEAVA,"CAMIN CULTURAL",454,"SATU MARE",150196,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 17:08:52",1189,1189,0,645,637,0,8,1300,655,615,30,2,0,5,32,3,16,1,3,0,9,12,41,308,172,8,3
35,SUCEAVA,"CĂMIN CULTURAL",256,CÂRLIBABA,147713,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 20:55:02",1576,1576,0,863,855,0,8,1700,837,814,49,5,7,4,14,6,10,19,1,4,12,4,28,535,144,10,11
35,SUCEAVA,"CĂMIN CULTURAL",487,ŞCHEIA,146432,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 21:57:43",1720,1720,0,977,965,0,12,1800,823,937,40,5,12,29,83,4,11,4,1,5,30,32,38,511,156,6,10
35,SUCEAVA,"CĂMIN CULTURAL",486,ŞCHEIA,146432,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 09:42:58",1717,1717,0,899,886,0,13,1800,901,857,42,7,7,34,66,3,14,22,1,3,17,48,52,394,163,6,20
35,SUCEAVA,"CĂMIN CULTURAL",488,ŞCHEIA,146432,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 09:40:51",1659,1659,0,862,858,0,4,1800,938,846,16,10,9,45,86,1,9,7,6,3,40,33,48,368,157,3,21
35,SUCEAVA,"CĂMIN CULTURAL BOTOŞANA",238,BOTOŞANA,147161,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 12:29:54",1048,1048,0,662,655,0,7,1200,538,630,32,8,3,6,63,1,6,4,3,4,11,9,25,363,109,9,6
35,SUCEAVA,"CAMIN CULTURAL BRASCA",367,ILIŞEŞTI,147660,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 01:19:29",320,320,0,180,169,0,11,500,320,169,11,0,0,0,1,0,1,1,0,1,8,0,10,98,48,0,1
35,SUCEAVA,"CĂMIN CULTURAL CAJVANA",137,"ORAŞ CAJVANA",147633,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 10:17:18",1902,1902,0,810,805,0,5,2100,1290,760,50,2,2,10,29,5,10,10,1,1,24,8,37,432,168,3,18
35,SUCEAVA,"CĂMIN CULTURAL COȘNA",271,COŞNA,151497,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:19:33",1223,1223,0,909,900,0,9,1348,439,883,26,1,2,23,28,3,6,1,21,2,7,11,45,579,129,8,17
35,SUCEAVA,"CĂMIN CULTURAL COSTIŞA",323,"FRĂTĂUŢII NOI",148667,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 14:00:54",817,817,0,359,347,0,12,900,541,337,22,2,1,8,12,4,1,5,0,0,10,5,10,212,60,4,3
35,SUCEAVA,"CĂMIN CULTURAL COZĂNEŞTI",283,DORNA-ARINI,148131,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 10:27:59",1209,1209,0,766,751,0,15,1900,1134,736,30,5,7,18,26,4,3,3,2,4,24,17,30,480,98,6,9
35,SUCEAVA,"CĂMIN CULTURAL DRAGOȘA",330,FRUMOSU,148729,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 08:08:07",346,346,0,219,213,0,6,400,181,199,20,9,0,1,1,0,1,2,0,1,1,5,6,123,48,1,0
35,SUCEAVA,"CAMIN CULTURAL FRATAUTII VECHI",325,"FRĂTĂUŢII VECHI",148694,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 12:08:31",1566,1566,0,695,686,0,9,1600,905,628,67,14,5,31,22,4,7,2,2,3,23,10,24,341,122,8,10
35,SUCEAVA,"CĂMIN CULTURAL GĂLĂNEŞTI",335,GĂLĂNEŞTI,148872,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:10:20",1019,1019,0,423,420,0,3,1100,677,393,30,7,2,7,67,3,20,2,0,1,14,3,22,201,37,0,7
