precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,b,b1,b2,b3,c,d,e,f,"ȘOȘOACĂ DUMITRU-SILVESTRU-voturi","ALIANȚA AUR-voturi","ALIANȚA ELECTORALĂ PSD PNL-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","GHEORGHE VLAD-DAN-voturi","PARTIDUL DIASPORA UNITĂ-voturi","PARTIDUL ROMÂNIA MARE-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","ROMÂNIA SOCIALISTĂ-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","ȘTEFĂNUȚĂ NICOLAE-BOGDĂNEL-voturi","PARTIDUL PATRIOȚILOR-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","PÎRVĂNESCU PAULA-MARINELA-voturi"
31,PRAHOVA,"AGENŢIA PENTRU PROTECŢIA MEDIULUI PRAHOVA",110,"MUNICIPIUL PLOIEŞTI",130534,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 16:29:16",1069,1069,0,476,474,0,2,1200,724,456,20,4,68,155,60,20,30,16,8,2,6,16,3,27,10,24,7
31,PRAHOVA,"ANEXA LICEULUI TEHNOLOGIC DE TRANSPORTURI (ANEXA GRUP SCOLAR INDUSTRIAL TRANSPORTURI (FOST LICEUL AUTO))",25,"MUNICIPIUL PLOIEŞTI",130534,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 07:58:25",1562,1562,0,642,628,0,14,1700,1058,609,33,5,89,180,94,33,29,18,11,6,6,11,7,51,10,45,14
31,PRAHOVA,"ANEXA PRIMARIE SAT OLOGENI",513,"POIENARII BURCHII",134559,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 17:32:07",1046,1046,0,755,721,0,34,1203,448,692,63,4,89,388,9,40,9,3,0,5,0,108,13,7,7,9,1
31,PRAHOVA,"ANEXA ŞCOLII GIMNAZIALE ”SFÂNTA VINERI”",14,"MUNICIPIUL PLOIEŞTI",130534,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 21:09:42",891,891,0,390,373,0,17,1000,617,365,18,4,67,133,48,14,0,21,0,6,4,10,2,17,7,26,6
31,PRAHOVA,"BAZA SPORTIVĂ STREJNICU",577,"TÂRGŞORU VECHI",130892,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 12:21:30",1861,1861,0,1010,997,0,13,2000,990,955,55,10,137,431,92,83,20,32,5,19,4,9,7,44,22,34,6
31,PRAHOVA,"BIBLIOTECA COMUNALĂ COSMINELE",390,COSMINELE,132841,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 10:57:20",798,798,0,628,593,0,35,900,272,589,39,3,98,367,12,36,10,5,7,6,7,9,1,14,4,9,1
31,PRAHOVA,"BIBLIOTECA ”DIMITRIE GUSTI” COMUNA POIANA-CĂMPINA",508,"POIANA CÂMPINA",131274,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:52:55",587,587,0,363,353,0,10,600,237,336,27,2,32,203,9,19,9,10,2,10,1,7,2,16,2,9,3
31,PRAHOVA,"BLOCUL 24B PARTER",40,"MUNICIPIUL PLOIEŞTI",130534,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 18:56:42",1239,1239,0,512,498,0,14,1400,921,464,15,8,68,191,65,24,18,14,8,6,5,9,3,24,6,0,15
31,PRAHOVA,"CABANA DE VANATOARE",607,"VALEA CĂLUGĂREASCĂ",135949,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 01:06:48",83,83,0,48,36,0,12,100,52,41,7,0,8,24,1,2,1,0,0,1,0,1,1,1,1,0,0
31,PRAHOVA,"CAMIN CULTURAL",575,TĂTARU,135681,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 13:33:58",203,203,0,242,154,0,88,300,58,227,15,0,14,181,9,4,0,1,0,1,0,3,2,2,4,4,2
31,PRAHOVA,"CAMIN CULTURAL",601,"VALEA CĂLUGĂREASCĂ",135949,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:56:07",1120,1118,2,595,582,0,13,1200,605,563,32,6,78,300,39,36,11,17,4,9,4,16,2,13,6,16,6
31,PRAHOVA,"CAMIN CULTURAL",576,TĂTARU,135681,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 13:45:03",437,437,0,401,307,0,94,597,196,372,29,2,54,256,10,19,6,5,2,4,1,3,0,4,2,4,0
31,PRAHOVA,"CĂMIN CULTURAL",484,MĂNEŞTI,134194,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:08:41",854,854,0,473,449,0,24,900,427,447,26,7,74,240,14,33,15,3,5,4,2,17,2,13,3,11,4
31,PRAHOVA,"CĂMIN CULTURAL",566,ŞOIMARI,135501,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:03:52",398,397,1,228,227,1,0,400,172,215,13,6,55,88,10,14,5,0,1,1,2,24,2,0,4,2,1
31,PRAHOVA,"CĂMIN CULTURAL",285,ADUNAŢI,131899,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:11:14",812,812,0,578,569,0,9,898,320,538,40,3,45,407,18,15,5,3,3,13,0,7,1,7,5,5,1
31,PRAHOVA,"CĂMIN CULTURAL",381,"COCORĂŞTII MISLII",132716,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 13:53:32",1519,1519,0,1075,1060,0,15,1656,581,1013,62,11,106,669,40,63,30,21,10,0,6,6,2,18,5,19,7
31,PRAHOVA,"CĂMIN CULTURAL",382,"COCORĂŞTII MISLII",132716,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 14:18:03",1183,1183,0,792,744,0,48,1300,508,762,30,6,133,493,28,36,12,16,0,1,0,8,4,0,6,13,6
31,PRAHOVA,"CĂMIN CULTURAL",329,BERCENI,130614,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:54:55",1209,1209,0,654,646,0,8,1300,646,625,29,4,128,345,45,30,7,12,5,1,1,7,3,13,9,13,2
31,PRAHOVA,"CĂMIN CULTURAL",444,"GURA VADULUI",133688,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 12:28:08",616,616,0,344,335,0,9,700,356,312,32,7,48,171,9,31,8,4,1,1,1,25,0,1,2,0,3
31,PRAHOVA,"CĂMİN CULTURAL BOLDEŞTİ",338,BOLDEŞTI-GRADIŞTEA,132379,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 09:51:20",581,581,0,423,400,0,23,600,177,382,41,7,35,212,58,27,2,2,5,9,3,15,0,3,1,3,0
31,PRAHOVA,"CAMIN CULTURAL CHITORANI",356,BUCOV,130785,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:47:16",1327,1327,0,655,638,0,17,1500,845,627,28,7,97,306,43,52,18,23,4,4,3,13,2,21,5,25,4
31,PRAHOVA,"CĂMIN CULTURAL COCORĂȘTII CAPLII, SAT COCORĂȘTII CAPLII, NR.130",474,MĂGURENI,134050,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:16:07",669,669,0,371,361,0,10,700,329,351,20,1,52,167,17,21,12,13,3,3,1,35,5,5,6,9,1
31,PRAHOVA,"CĂMIN CULTURAL DIN SAT PODENII NOI",502,"PODENII NOI",134443,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 13:51:03",1288,1288,0,807,759,0,48,1400,592,740,67,16,113,335,84,70,15,10,1,6,1,62,0,10,6,9,2
