precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,b,b1,b2,b3,c,d,e,f,"PARTIDUL PATRIOȚILOR-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","ROMÂNIA SOCIALISTĂ-voturi","ȘTEFĂNUȚĂ NICOLAE-BOGDĂNEL-voturi","PARTIDUL DIASPORA UNITĂ-voturi","GHEORGHE VLAD-DAN-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PÎRVĂNESCU PAULA-MARINELA-voturi","PARTIDUL ROMÂNIA MARE-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","ALIANȚA AUR-voturi","ȘOȘOACĂ DUMITRU-SILVESTRU-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","ALIANȚA ELECTORALĂ PSD PNL-voturi"
18,GALAŢI,"AȘEZĂMÂNTUL CULTURAL NEGREA",393,SCHELA,77153,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 09:15:09",533,533,0,340,311,0,29,587,247,309,31,0,1,0,10,1,6,1,0,12,0,1,3,29,4,6,235
18,GALAŢI,"BIBLIOTECA COMUNALA",350,MOVILENI,76745,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 22:53:51",1541,1541,0,729,709,0,20,1697,968,638,91,6,0,5,22,2,7,7,8,60,1,4,2,165,10,3,336
18,GALAŢI,"CĂMIN CULTURAL",239,BEREŞTI-MERIA,75356,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:55:28",209,209,0,126,106,0,20,232,106,121,5,0,1,1,8,0,0,3,1,8,1,2,1,5,3,0,87
18,GALAŢI,"CAMIN CULTURAL BURSUCANI",225,BĂLĂBĂNEŞTI,75542,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 09:43:17",481,481,0,265,258,0,7,529,264,245,20,1,0,1,4,0,0,8,1,5,1,0,1,20,1,0,202
18,GALAŢI,"CĂMIN CULTURAL DIN SAT FURCENII VECHI",275,COSMEŞTI,76040,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 22:39:30",1267,1267,0,574,544,0,30,1395,821,546,28,4,0,3,53,1,4,4,10,32,2,3,1,89,3,3,334
18,GALAŢI,"CĂMIN CULTURAL ”G-RAL EREMIA GRIGORESCU”",271,COSMEŞTI,76040,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 22:50:09",1202,1202,0,502,463,0,39,1328,826,471,31,5,1,10,38,0,4,9,11,31,1,2,8,81,5,2,263
18,GALAŢI,"CĂMIN CULTURAL OANCEA",368,OANCEA,76932,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 11:25:07",1215,1215,0,715,708,0,7,1200,485,681,34,3,2,3,12,0,4,3,6,32,0,2,2,41,7,4,560
18,GALAŢI,"CĂMIN CULTURAL PECHEA",374,PECHEA,76969,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 14:47:20",1928,1928,0,773,762,0,11,2111,1338,727,46,3,0,10,28,2,12,3,17,34,3,5,2,94,4,52,458
18,GALAŢI,"CĂMIN CULTURAL UMBRĂREȘTI",218,"ORAŞ TÂRGU BUJOR",75472,4,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 16:17:09",878,878,0,474,463,0,11,967,493,436,38,3,1,4,7,1,2,1,13,33,2,1,6,31,4,2,325
18,GALAŢI,"CAMINUL CULTURAL",437,VLĂDEŞTI,77536,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 14:37:19",1188,1188,0,563,540,0,23,1319,758,525,36,0,0,2,6,0,4,0,9,10,0,2,3,98,0,1,390
