precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,b,b1,b2,b3,c,d,e,f,"PÎRVĂNESCU PAULA-MARINELA-voturi","PARTIDUL ROMÂNIA MARE-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","PARTIDUL PATRIOȚILOR-voturi","ALIANȚA AUR-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL DIASPORA UNITĂ-voturi","ROMÂNIA SOCIALISTĂ-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","ȘTEFĂNUȚĂ NICOLAE-BOGDĂNEL-voturi","ALIANȚA ELECTORALĂ PSD PNL-voturi","GHEORGHE VLAD-DAN-voturi","ȘOȘOACĂ DUMITRU-SILVESTRU-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi"
5,BIHOR,"AFTER SCHOOL",525,ROŞIA,30844,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 23:10:18",492,492,0,392,376,0,16,532,140,360,32,2,1,1,1,57,1,0,1,2,2,1,12,248,12,8,11
5,BIHOR,"BLOC PARTER",152,"MUNICIPIUL BEIUŞ",26804,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 20:28:56",1149,1149,0,698,675,0,23,1258,560,678,20,0,2,15,8,120,3,41,7,4,50,4,14,365,15,3,27
5,BIHOR,"BLOCURILE ANL",145,"MUNICIPIUL ORADEA",26564,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 12:50:23",1780,1780,0,917,893,0,24,1943,1026,888,29,2,4,43,10,187,10,60,23,7,53,8,21,382,45,6,27
5,BIHOR,"CAMIN CULTURAL",616,TĂRCAIA,31609,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 00:58:06",325,325,0,315,264,0,51,370,55,280,35,0,0,0,0,29,0,14,2,1,14,0,0,217,0,0,3
5,BIHOR,"CAMIN CULTURAL",571,SÂRBI,31128,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 18:37:37",614,614,0,547,428,0,119,663,116,534,13,1,2,3,3,103,2,1,2,0,12,0,2,387,7,1,8
5,BIHOR,"CAMIN CULTURAL",617,TĂRCAIA,31609,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 18:55:53",205,205,0,193,174,0,19,233,40,186,7,1,0,1,1,33,3,6,3,2,10,2,1,114,3,2,4
5,BIHOR,"CAMIN CULTURAL",569,SÂRBI,31128,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 19:34:19",808,808,0,761,610,0,151,869,108,729,31,1,0,1,1,134,3,11,4,2,7,5,1,515,8,6,30
5,BIHOR,"CAMIN CULTURAL",560,"SÂNNICOLAU ROMÂN",32179,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 10:00:05",726,726,0,827,726,0,101,1069,242,759,68,2,5,3,1,79,0,18,10,1,25,6,7,561,8,2,31
5,BIHOR,"CAMIN CULTURAL",582,"SUPLACU DE BARCĂU",31262,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 10:56:51",729,729,0,511,501,0,10,799,288,459,52,0,1,5,4,67,0,14,8,0,6,2,4,318,4,6,20
5,BIHOR,"CĂMIN CULTURAL",627,TILEAGD,31716,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 20:40:18",336,336,0,166,157,0,9,377,211,147,19,1,1,2,1,16,0,76,4,0,1,0,0,36,2,3,4
