precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,b,b1,b2,b3,c,d,e,f,"PARTIDUL ROMÂNIA MARE-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL PATRIOȚILOR-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","ȘOȘOACĂ DUMITRU-SILVESTRU-voturi","ALIANȚA AUR-voturi","ȘTEFĂNUȚĂ NICOLAE-BOGDĂNEL-voturi","ROMÂNIA SOCIALISTĂ-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PÎRVĂNESCU PAULA-MARINELA-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","PARTIDUL DIASPORA UNITĂ-voturi","GHEORGHE VLAD-DAN-voturi","ALIANȚA ELECTORALĂ PSD PNL-voturi"
12,CĂLĂRAŞI,"COLEGIUL NAŢIONAL ” BARBU ŞTIRBEI” CĂLĂRAŞI",34,"MUNICIPIUL CĂLĂRAŞI",92569,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 08:01:41",1219,1219,0,546,524,0,22,1343,797,528,18,2,47,3,12,4,121,13,4,1,23,0,4,18,13,15,248
12,CĂLĂRAŞI,"COLEGIUL NAŢIONAL ” BARBU ŞTIRBEI” CĂLĂRAŞI",35,"MUNICIPIUL CĂLĂRAŞI",92569,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 22:27:28",1060,1060,0,488,475,0,13,1163,676,478,9,6,31,1,12,5,137,13,6,1,29,1,4,13,7,11,201
12,CĂLĂRAŞI,"COLEGIUL NAȚIONAL ”NEAGOE BASARAB”",59,"MUNICIPIUL OLTENIŢA",100610,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 18:14:42",1735,1735,0,877,837,0,40,1913,1033,846,31,9,38,4,11,7,111,17,5,3,35,4,3,15,13,18,553
12,CĂLĂRAŞI,"COLEGIUL NAŢIONAL ”NEAGOE BASARAB” - SALA DE SPORT",57,"MUNICIPIUL OLTENIŢA",100610,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 19:03:11",1646,1646,0,816,797,0,19,1813,992,786,30,5,61,3,16,5,92,21,9,2,41,2,3,13,31,18,464
12,CĂLĂRAŞI,"COLEGIUL NAŢIONAL ”NEAGOE BASARAB” - SALA DE SPORT",56,"MUNICIPIUL OLTENIŢA",100610,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 18:44:54",1653,1653,0,870,833,0,37,1828,951,832,36,9,2,0,54,0,110,8,5,42,15,7,12,11,16,10,531
12,CĂLĂRAŞI,"CONSILIUL LOCAL VILCELELE",233,VÂLCELELE,94731,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:45:55",467,467,0,298,278,0,20,512,214,276,22,1,2,4,2,0,16,1,0,0,7,0,1,2,0,1,239
12,CĂLĂRAŞI,"CREŞA NR. 1 CĂLĂRAŞI ( FOSTA CREŞA SĂPTĂMÂNALĂ CU 100 LOCURI)",29,"MUNICIPIUL CĂLĂRAŞI",92569,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:55:44",729,729,0,274,263,0,11,813,539,259,15,3,13,0,6,0,84,4,1,3,18,0,2,4,3,4,114
12,CĂLĂRAŞI,"CREŞA NR. 1 CĂLĂRAŞI ( FOSTA CREŞA SĂPTĂMÂNALĂ CU 100 LOCURI)",28,"MUNICIPIUL CĂLĂRAŞI",92569,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 11:18:00",1329,1329,0,535,525,0,10,1469,934,492,43,1,25,1,10,7,150,17,7,0,35,4,1,8,9,19,198
12,CĂLĂRAŞI,"DIRECŢIA DE CULTURĂ",62,"MUNICIPIUL OLTENIŢA",100610,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-12 18:11:06",1549,1549,0,726,708,0,18,1711,986,700,25,4,30,9,15,4,88,13,6,1,43,2,3,2,13,12,455
12,CĂLĂRAŞI,"FOSTA SCOALA PRIMARA ZIMBRU",223,ULMU,94606,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 00:20:20",83,83,0,80,59,0,21,90,10,78,2,0,0,0,0,0,4,0,0,1,3,0,0,0,1,1,68
12,CĂLĂRAŞI,"GRĂDINIŢA ALBĂ CA ZĂPADA",157,INDEPENDENŢA,93771,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:17:07",635,635,0,407,391,0,16,694,287,375,32,2,10,2,5,2,40,10,0,0,15,1,0,5,1,1,281
12,CĂLĂRAŞI,"GRADINITA CU 4 GRUPE",202,SĂRULEŞTI,104886,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 16:27:10",1184,1184,0,889,859,0,30,1302,413,842,47,2,2,2,3,4,47,5,1,0,26,1,4,2,2,2,739
12,CĂLĂRAŞI,"GRĂDINIŢA CU PR.NORMAL NR.4 CALARASI",8,"MUNICIPIUL CĂLĂRAŞI",92569,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 13:09:50",1451,1451,0,644,633,0,11,1596,956,574,66,3,34,5,13,0,133,7,1,1,39,4,4,9,7,9,305
12,CĂLĂRAŞI,"GRADINITA CU PROGRAM NORMAL COTOFANCA",150,GURBĂNEŞTI,103568,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:00:24",270,270,0,197,177,0,20,297,100,184,13,0,2,1,3,1,22,0,0,0,7,3,0,0,1,2,142
12,CĂLĂRAŞI,"GRĂDINIȚA CU PROGRAM NORMAL DRAGALINA",127,DRAGALINA,93487,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 19:03:53",1274,1274,0,723,699,0,24,1404,681,678,44,3,7,4,1,15,82,19,1,2,61,2,2,6,3,8,462
12,CĂLĂRAŞI,"GRĂDINIŢA CU PROGRAM NORMAL NR. 1,",55,"MUNICIPIUL OLTENIŢA",100610,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 18:43:53",1372,1372,0,711,688,0,23,1514,803,688,23,8,38,6,7,6,85,15,7,1,36,2,5,12,7,23,430
12,CĂLĂRAŞI,"GRĂDINIŢA CU PROGRAM NORMAL NR.1",54,"MUNICIPIUL OLTENIŢA",100610,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 07:14:09",1093,1093,0,562,541,0,21,1202,640,534,28,1,37,2,10,4,79,0,1,1,16,1,23,13,3,9,334
12,CĂLĂRAŞI,"GRADINIȚA CU PROGRAM NORMAL NR.2",65,"MUNICIPIUL OLTENIŢA",100610,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 19:32:32",1492,1492,0,774,764,0,10,1646,873,744,29,4,22,7,18,9,83,10,7,2,42,3,1,8,15,10,503
12,CĂLĂRAŞI,"GRĂDINIȚA CU PROGRAM NORMAL NR.2 CUNEȘTI",147,GRĂDIŞTEA,93664,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-13 14:25:39",666,666,0,471,437,0,34,733,262,438,33,2,17,0,3,6,36,0,0,0,23,3,4,2,2,5,335
12,CĂLĂRAŞI,"GRĂDINIȚA CU PROGRAM NORMAL NR.2 DUNĂREA",98,CHISELET,101822,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 21:25:40",589,589,0,368,340,0,28,651,283,340,28,0,2,2,3,3,25,10,2,0,13,0,1,1,0,6,272
12,CĂLĂRAŞI,"GRĂDINIŢA CU PROGRAM NORMAL NR. 3",207,SPANŢOV,105259,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:56:43",661,661,0,429,417,0,12,729,300,399,30,2,6,1,0,5,40,5,0,1,25,2,1,1,6,2,302
12,CĂLĂRAŞI,"GRĂDINIȚA CU PROGRAM NORMAL NR. 3",132,"DRAGOŞ VODĂ",93539,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:11:22",169,169,0,135,116,0,19,189,54,126,9,1,6,1,1,1,6,0,0,0,6,0,0,0,1,1,102
12,CĂLĂRAŞI,"GRADINITA CU PROGRAM NORMAL NR. 3 BORCEA",87,BORCEA,92961,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 20:18:56",822,822,0,471,454,0,17,878,407,457,14,3,9,1,11,2,64,7,1,2,24,5,3,2,1,10,312
12,CĂLĂRAŞI,"GRĂDINIŢA CU PROGRAM NORMAL NR. 3, COCONI",172,MÂNĂSTIREA,104181,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 19:58:52",620,620,0,335,311,0,24,679,344,313,22,1,4,2,6,4,33,3,0,0,15,2,0,0,1,1,241
12,CĂLĂRAŞI,"GRĂDINIȚA CU PROGRAM NORMAL NR. 3 FLORICA",154,ILEANA,103764,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:55:34",489,489,0,286,274,0,12,539,253,266,20,0,0,0,1,1,26,2,0,1,14,0,0,0,1,5,215
12,CĂLĂRAŞI,"GRĂDINIŢA CU PROGRAM NORMAL NR.3 GĂLĂŢUI",83,"ALEXANDRU ODOBESCU",94125,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 19:09:12",253,253,0,285,218,0,67,379,94,266,18,2,6,1,0,0,26,2,1,1,8,4,0,3,0,4,208
12,CĂLĂRAŞI,"GRĂDINIȚA CU PROGRAM NORMAL NR.3 INFRĂȚIREA",119,"DOR MĂRUNT",93370,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 17:12:00",265,265,0,211,195,0,16,294,83,193,18,0,3,0,3,1,15,0,0,1,16,1,0,0,2,1,150
12,CĂLĂRAŞI,"GRADINITA CU PROGRAM NORMAL NR.3 LUPSANU",166,LUPŞANU,93931,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 14:41:49",461,461,0,276,258,0,18,504,228,267,9,0,7,2,10,0,41,1,2,1,22,0,1,3,2,1,174
12,CĂLĂRAŞI,"GRĂDINIŢA CU PROGRAM NORMAL NR. 4",60,"MUNICIPIUL OLTENIŢA",100610,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 18:47:42",1580,1580,0,753,740,0,13,1740,991,694,55,6,35,4,18,5,61,18,4,2,22,6,4,13,7,20,469
12,CĂLĂRAŞI,"GRĂDINIŢA CU PROGRAM NORMAL NR.4",61,"MUNICIPIUL OLTENIŢA",100610,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:38:32",1595,1595,0,686,679,0,7,1756,1070,663,23,5,30,4,6,5,73,11,2,32,3,2,2,7,8,10,463
12,CĂLĂRAŞI,"GRADINITA CU PROGRAM NORMAL NR.4 NUCETU",167,LUPŞANU,93931,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 15:08:36",484,484,0,267,258,0,9,531,264,234,30,2,3,1,18,4,42,2,1,1,4,0,0,3,5,2,146
12,CĂLĂRAŞI,"GRĂDINIŢA CU PROGRAM NORMAL NR. 5",58,"MUNICIPIUL OLTENIŢA",100610,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 19:23:51",1700,1700,0,753,736,0,17,1876,1123,733,20,8,28,11,12,5,88,12,2,0,45,5,6,4,6,22,479
12,CĂLĂRAŞI,"GRĂDINIȚA CU PROGRAM NORMAL NR.5 PODU PITARULUI",192,PLĂTĂREŞTI,104635,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 22:25:32",320,320,0,229,212,0,17,355,126,217,11,0,5,0,0,2,22,1,1,0,18,0,0,0,1,5,162
12,CĂLĂRAŞI,"GRĂDINIȚA CU PROGRAM NORMAL NR.5 PODU PITARULUI",191,PLĂTĂREŞTI,104635,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 22:08:42",432,432,0,289,273,0,16,475,186,278,11,2,2,0,0,2,13,3,0,0,6,0,1,0,0,5,244
12,CĂLĂRAŞI,"GRADINIȚA CU PROGRAM NORMAL NR. 6 ( INCINTA ȘCOALA GIMNAZIALĂ” ALEXANDRU D. GHICA”)",52,"MUNICIPIUL OLTENIŢA",100610,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 19:07:25",1893,1893,0,915,896,0,19,2082,1167,860,55,7,22,6,17,12,107,9,6,2,62,3,5,10,10,16,566
12,CĂLĂRAŞI,"GRĂDINIȚA CU PROGRAM NORMAL ȘTEFAN VODĂ",215,"ŞTEFAN VODĂ",94580,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 13:08:04",774,774,0,525,508,0,17,853,328,499,26,5,2,2,3,5,69,2,1,1,31,3,2,6,4,5,358
12,CĂLĂRAŞI,"GRĂDINIȚA CU PROGRAM NORMAL ȘTEFAN VODĂ",214,"ŞTEFAN VODĂ",94580,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 12:36:16",1030,1030,0,714,651,0,63,1132,418,674,37,5,17,0,4,8,64,2,1,1,24,2,4,0,4,7,531
12,CĂLĂRAŞI,"GRADINITA CU PROGRAM NORMAL VALEA PRESNEI",151,GURBĂNEŞTI,103568,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:03:50",126,126,0,131,88,0,43,138,7,121,9,1,2,2,1,1,4,0,0,1,1,2,0,0,1,1,104
12,CĂLĂRAŞI,"GRĂDINIȚA CU PROGRAM NORMAL VASILAȚI",229,VASILAŢI,105829,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 16:16:38",1733,1733,0,1234,1140,0,94,1914,680,1149,85,4,228,0,1,1,102,25,1,0,56,2,0,2,0,15,712
12,CĂLĂRAŞI,"GRADINITA CU PROGRAM PRELUNGIT",72,"ORAŞ FUNDULEA",103032,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 20:57:25",1394,1394,0,983,931,0,52,1542,559,946,37,2,1,5,7,3,75,11,3,4,54,1,4,18,5,13,740
12,CĂLĂRAŞI,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”ARICEL” CĂLĂRAŞI",42,"MUNICIPIUL CĂLĂRAŞI",92569,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 22:04:04",740,740,0,325,314,0,11,820,505,313,2,7,24,3,9,2,68,9,6,2,9,0,2,5,5,11,151
12,CĂLĂRAŞI,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”ROSTOGOL” CĂLĂRAŞI(FOSTA GRĂDINIŢA CU PROGRAM NORMAL NR.2)",23,"MUNICIPIUL CĂLĂRAŞI",92569,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 09:22:30",1571,1571,0,666,654,0,12,1738,1065,638,28,3,34,5,23,0,122,19,4,1,55,4,1,14,7,15,331
12,CĂLĂRAŞI,"GRĂDINIŢA CU PROGRAM PRELUNGIT STEP BY STEP CĂLĂRAŞI (FOSTA GRĂDINIŢA CU PR. PREL. MICRO6)",9,"MUNICIPIUL CĂLĂRAŞI",92569,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 17:04:53",1222,1222,0,568,561,0,7,1353,792,541,20,4,42,7,12,5,90,12,5,3,27,2,2,23,6,16,285
12,CĂLĂRAŞI,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”ŢARA COPILĂRIEI” CĂLĂRAŞI(FOSTA GRĂDINIŢĂ CU PR. PREL. NR.1)",22,"MUNICIPIUL CĂLĂRAŞI",92569,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 11:15:40",1009,1009,0,480,468,0,12,1110,630,465,15,3,51,3,17,4,68,13,2,2,19,1,5,10,6,14,247
12,CĂLĂRAŞI,"GRĂDINIȚA CU PROGRAM PRELUNGIT ”TĂRÂMUL VESELIEI” (CRÂNGU)",74,"ORAŞ FUNDULEA",103032,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:02:12",1312,1312,0,939,910,0,29,1439,500,904,35,0,8,6,5,10,76,3,3,3,26,7,1,4,5,12,735
12,CĂLĂRAŞI,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”VOINICEL” CĂLĂRAŞI",40,"MUNICIPIUL CĂLĂRAŞI",92569,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 12:55:16",1417,1417,0,643,633,0,10,1553,910,621,22,3,32,2,21,5,158,16,3,3,40,2,3,10,15,6,302
12,CĂLĂRAŞI,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”VOINICEL” CĂLĂRAŞI",41,"MUNICIPIUL CĂLĂRAŞI",92569,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 16:06:12",1066,1066,0,513,503,0,10,1175,664,488,23,3,49,0,9,8,79,9,2,1,37,0,5,11,6,19,250
12,CĂLĂRAŞI,"GRADINITA DE COPII",158,INDEPENDENŢA,93771,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:59:12",445,445,0,286,271,0,15,492,206,262,24,0,9,2,8,0,42,0,2,1,17,0,0,2,4,1,174
12,CĂLĂRAŞI,"GRADINITA DE COPII",156,INDEPENDENŢA,93771,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-13 14:30:57",1738,1738,0,1282,1222,0,60,1909,627,1195,87,8,37,3,7,10,63,10,0,4,53,4,3,7,5,10,971
12,CĂLĂRAŞI,"GRĂDINIȚA MIHAI VITEAZU",235,"VLAD ŢEPEŞ",94768,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 09:52:40",500,500,0,352,323,0,29,552,200,332,20,1,4,0,8,2,15,0,2,0,25,6,0,4,6,7,252
12,CĂLĂRAŞI,"GRADINITA NR.1 SARBI",101,CIOCĂNEŞTI,93085,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 09:25:51",999,999,0,735,670,0,65,1102,367,694,41,3,18,5,30,6,54,8,0,2,34,1,1,4,4,5,519
12,CĂLĂRAŞI,"LICEUL AGRICOL ”SANDU ALDEA” CĂLĂRAŞI",12,"MUNICIPIUL CĂLĂRAŞI",92569,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:03:41",952,952,0,337,334,0,3,1061,724,317,20,1,27,8,4,3,94,2,0,2,27,2,1,4,5,9,128
12,CĂLĂRAŞI,"LICEUL AGRICOL ”SANDU ALDEA” CĂLĂRAŞI",10,"MUNICIPIUL CĂLĂRAŞI",92569,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 12:18:49",1062,1062,0,488,470,0,18,1181,693,443,45,3,43,1,9,1,95,13,1,1,16,3,6,14,11,6,220
12,CĂLĂRAŞI,"LICEUL AGRICOL ”SANDU ALDEA” CĂLĂRAŞI",11,"MUNICIPIUL CĂLĂRAŞI",92569,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 08:07:04",916,916,0,461,452,0,9,1013,552,443,18,5,41,1,8,2,73,3,4,2,15,1,2,16,21,10,239
12,CĂLĂRAŞI,"LICEUL ”DANUBIUS” CĂLĂRAŞI",25,"MUNICIPIUL CĂLĂRAŞI",92569,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 11:20:22",1424,1424,0,592,583,0,9,1576,984,568,24,4,35,4,14,5,127,14,3,0,45,3,7,4,12,10,281
12,CĂLĂRAŞI,"LICEUL ”DANUBIUS” CĂLĂRAŞI",26,"MUNICIPIUL CĂLĂRAŞI",92569,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:32:41",1918,1918,0,760,751,0,9,2111,1351,699,61,4,30,5,9,17,248,16,6,0,60,3,4,16,4,14,263
12,CĂLĂRAŞI,"LICEUL ”DANUBIUS” CĂLĂRAŞI",24,"MUNICIPIUL CĂLĂRAŞI",92569,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:25:47",1456,1456,0,597,587,0,10,1614,1017,572,25,2,33,2,11,11,135,8,5,4,43,5,1,13,15,12,272
12,CĂLĂRAŞI,"LICEUL ”DANUBIUS” CĂLĂRAŞI",27,"MUNICIPIUL CĂLĂRAŞI",92569,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 15:13:45",1462,1462,0,560,549,0,11,1606,1046,477,83,3,14,6,5,9,169,4,2,0,26,4,0,6,6,8,215
12,CĂLĂRAŞI,"LICEUL TEHNOLOGIC MATEI BASARAB",171,MÂNĂSTIREA,104181,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 20:23:41",1379,1379,0,771,746,0,25,1514,743,733,38,3,0,10,8,7,76,10,2,0,35,5,1,9,3,13,551
12,CĂLĂRAŞI,"LICEUL TEHNOLOGIC MATEI BASARAB",170,MÂNĂSTIREA,104181,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-13 15:33:19",1340,1340,0,701,684,0,17,1482,781,667,34,0,3,3,3,4,85,11,1,2,35,2,1,6,6,7,498
12,CĂLĂRAŞI,"LICEUL TEHNOLOGIC NR. 1",71,"ORAŞ FUNDULEA",103032,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 09:45:08",870,870,0,598,565,0,33,956,358,568,30,0,30,0,8,6,45,19,3,0,22,2,3,10,12,8,400
12,CĂLĂRAŞI,"LICEUL TEHNOLOGIC NR. 1 BORCEA CLASELE I-IV SALA A",88,BORCEA,92961,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 09:29:36",1482,1482,0,859,841,0,18,1627,768,795,64,1,16,7,19,13,74,7,2,0,61,5,1,8,4,4,573
12,CĂLĂRAŞI,"LICEUL TEHNOLOGIC NR. 1 BORCEA CLASELE I-IV SALA B",89,BORCEA,92961,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:50:14",1384,1384,0,766,755,0,11,1517,751,735,31,4,21,1,16,10,89,10,0,1,47,8,10,9,3,10,496
12,CĂLĂRAŞI,"LICEUL TEHNOLOGIC TRANSPORTURI AUTO CĂLĂRAŞI",44,"MUNICIPIUL CĂLĂRAŞI",92569,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 16:00:18",1191,1191,0,577,559,0,18,1300,724,542,34,4,20,2,11,10,119,9,3,1,36,2,3,11,5,10,296
12,CĂLĂRAŞI,"LIC. TEORETIC ”MIHAI EMINESCU”",15,"MUNICIPIUL CĂLĂRAŞI",92569,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 22:28:17",1196,1196,0,531,515,0,16,1327,796,510,21,1,38,4,10,5,99,12,8,2,30,6,5,12,9,14,255
12,CĂLĂRAŞI,"LIC. TEORETIC ”MIHAI EMINESCU”",14,"MUNICIPIUL CĂLĂRAŞI",92569,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:06:51",1318,1318,0,577,568,0,9,1461,887,551,23,5,35,1,12,4,97,19,1,3,24,1,2,14,7,26,300
12,CĂLĂRAŞI,"LIC. TEORETIC ”MIHAI EMINESCU”",13,"MUNICIPIUL CĂLĂRAŞI",92569,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:38:38",975,975,0,490,476,0,14,1075,585,470,20,4,40,2,11,0,81,19,3,1,24,0,4,9,8,12,252
12,CĂLĂRAŞI,"PRIMĂRIA PLĂTĂREŞTI",189,PLĂTĂREŞTI,104635,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 22:23:17",983,983,0,686,620,0,66,1078,392,658,28,2,32,4,2,8,77,8,0,0,31,1,0,4,6,6,477
