precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,b,b1,b2,b3,c,d,e,f,"PARTIDUL S.O.S. ROMÂNIA-voturi","ROMÂNIA SOCIALISTĂ-voturi","ALIANȚA AUR-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","ȘOȘOACĂ DUMITRU-SILVESTRU-voturi","ALIANȚA ELECTORALĂ PSD PNL-voturi","ȘTEFĂNUȚĂ NICOLAE-BOGDĂNEL-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL PATRIOȚILOR-voturi","PARTIDUL DIASPORA UNITĂ-voturi","GHEORGHE VLAD-DAN-voturi","PARTIDUL ROMÂNIA MARE-voturi","PÎRVĂNESCU PAULA-MARINELA-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi"
19,GIURGIU,"AFTER SCHOOL VALEA DRAGULUI",232,"VALEA DRAGULUI",105776,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 17:26:14",1046,1046,0,875,852,0,23,1140,265,821,54,33,0,321,0,5,8,407,11,5,7,4,2,10,3,3,2
19,GIURGIU,"AGENȚIA PENTRU PROTECȚIA MEDIULUI GIURGIU SALA DE CONSILIU",23,"MUNICIPIUL GIURGIU",100521,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 07:28:13",1744,1728,16,648,632,3,13,1866,1218,602,46,39,1,130,13,7,0,357,7,2,7,13,6,11,4,3,2
19,GIURGIU,"CAMIN CULTURAL",110,DAIA,102446,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 14:40:03",497,497,0,415,354,0,61,547,132,375,40,12,0,41,4,3,5,289,2,2,1,3,1,8,3,0,1
19,GIURGIU,"CAMIN CULTURAL BUTURUGENI",87,BUTURUGENI,101617,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 19:11:09",605,605,0,480,440,0,40,660,180,462,18,19,1,48,9,11,4,344,5,0,3,6,3,7,2,0,0
19,GIURGIU,"CĂMIN CULTURAL VEDEA",244,VEDEA,105909,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 10:19:33",711,711,0,609,520,0,89,765,156,537,72,23,0,68,0,0,0,446,0,0,0,0,0,0,0,0,0
19,GIURGIU,"CĂMINUL CULTURAL",96,COLIBAŞI,102071,4,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 19:50:44",820,796,24,655,609,24,22,908,253,637,18,21,0,38,10,1,5,548,5,1,2,0,0,4,0,2,0
19,GIURGIU,"CĂMINUL CULTURAL BOLINTIN - DEAL",75,BOLINTIN-DEAL,101163,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 19:39:54",1418,1418,0,831,788,0,43,1560,729,779,52,29,9,100,25,9,10,536,14,0,6,4,9,13,7,5,3
19,GIURGIU,"CĂMINUL CULTURAL BULBUCATA",85,BULBUCATA,101519,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:14:44",1084,1082,2,917,763,2,152,1180,263,869,48,31,2,62,20,5,5,715,7,0,7,0,2,10,2,1,0
19,GIURGIU,"CĂMINUL CULTURAL CLEJANI",94,CLEJANI,101984,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:54:52",1321,1316,5,969,888,0,81,1441,472,903,66,19,0,63,6,3,3,786,6,6,0,4,5,2,0,0,0
19,GIURGIU,"CĂMINUL CULTURAL FRĂTEŞTI",120,FRĂTEŞTI,102909,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 18:48:29",1324,1324,0,891,844,0,47,1457,566,830,61,37,2,82,5,0,15,648,8,2,7,12,5,3,1,3,0
