precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,b,b1,b2,b3,c,d,e,f,"ȘOȘOACĂ DUMITRU-SILVESTRU-voturi","PARTIDUL PATRIOȚILOR-voturi","PARTIDUL ROMÂNIA MARE-voturi","ALIANȚA AUR-voturi","ȘTEFĂNUȚĂ NICOLAE-BOGDĂNEL-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","ROMÂNIA SOCIALISTĂ-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","GHEORGHE VLAD-DAN-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","PARTIDUL DIASPORA UNITĂ-voturi","ALIANȚA ELECTORALĂ PSD PNL-voturi","PÎRVĂNESCU PAULA-MARINELA-voturi"
23,IALOMIŢA,"AGENȚIA NAȚIONALĂ DE ÎMBUNĂTĂȚIRI FUNCIARE – FILIALA IALOMIȚA",18,"MUNICIPIUL SLOBOZIA",92658,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 12:22:33",1338,1338,0,604,585,0,19,1500,896,586,18,5,7,10,67,22,67,8,8,3,1,32,13,21,19,290,13
23,IALOMIŢA,"CĂMIN CULTURAL",218,"VALEA MĂCRIŞULUI",105794,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:55:23",356,356,0,254,224,0,30,400,146,233,21,3,0,0,21,2,39,1,0,4,0,5,1,2,0,154,1
23,IALOMIŢA,"CĂMIN CULTURAL",102,BALACIU,92907,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 10:31:31",375,375,0,257,193,0,64,400,143,233,24,3,2,2,27,1,13,3,0,1,0,19,6,1,0,154,1
23,IALOMIŢA,"CĂMIN CULTURAL",217,"VALEA MĂCRIŞULUI",105794,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 15:07:16",884,884,0,674,640,0,34,950,276,627,47,5,2,7,47,20,87,5,0,4,2,26,8,3,2,409,0
23,IALOMIŢA,"CĂMIN CULTURAL FRĂȚILEȘTI",203,SĂVENI,94376,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 11:28:32",344,344,0,173,169,0,4,350,177,159,14,2,0,0,21,4,41,0,0,0,0,4,3,0,0,84,0
23,IALOMIŢA,"CĂMIN CULTURAL GHIMPAŢI",128,CIULNIŢA,93156,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:48:24",196,196,0,139,132,0,7,200,61,135,4,0,1,1,16,2,7,0,1,0,0,5,0,0,0,100,2
23,IALOMIŢA,"CĂMIN CULTURAL ION GHICA",126,CIULNIŢA,93156,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:19:01",460,460,0,296,280,0,16,500,204,284,12,7,3,1,30,1,6,3,0,0,1,12,5,1,3,211,0
23,IALOMIŢA,"CĂMIN CULTURAL MIHAIL KOGĂLNICEANU",172,"MIHAIL KOGĂLNICEANU",93995,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 16:17:07",1340,1340,0,899,855,0,44,1500,601,852,47,13,6,8,123,3,71,56,6,13,6,49,11,9,7,467,4
23,IALOMIŢA,"CAMIN CULTURAL PLATONEŞTI",189,PLATONEŞTI,180000,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:05:54",726,726,0,487,459,0,28,800,313,466,21,2,0,1,70,3,84,1,3,2,2,19,5,3,4,263,4
23,IALOMIŢA,"CĂMIN CULTURAL POIANA - SALA DE FESTIVITĂȚI",127,CIULNIŢA,93156,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 01:55:37",350,350,0,222,216,0,6,400,178,212,10,2,3,1,22,0,11,1,0,0,1,19,3,0,0,149,0
