precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,b,b1,b2,b3,c,d,e,f,"PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","PARTIDUL ROMÂNIA MARE-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","ROMÂNIA SOCIALISTĂ-voturi","GHEORGHE VLAD-DAN-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","ALIANȚA ELECTORALĂ PSD PNL-voturi","ȘTEFĂNUȚĂ NICOLAE-BOGDĂNEL-voturi","PARTIDUL PATRIOȚILOR-voturi","ȘOȘOACĂ DUMITRU-SILVESTRU-voturi","PÎRVĂNESCU PAULA-MARINELA-voturi","PARTIDUL DIASPORA UNITĂ-voturi","ALIANȚA AUR-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi"
40,VÂLCEA,"ANEXĂ PRIMĂRIE",303,MILCOIU,171469,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 08:12:09",248,248,0,176,132,0,44,270,94,153,23,3,1,0,0,1,1,3,0,115,1,0,2,0,1,23,2
40,VÂLCEA,"AȘEZĂMÂNT CULTURAL BĂILE GOVORA ( FOST CINEMATOGRAF)",115,"ORAŞ BĂILE GOVORA",167641,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 10:58:10",1103,1103,0,846,695,0,151,1220,374,821,25,15,12,8,5,5,23,57,6,459,28,8,8,3,12,132,40
40,VÂLCEA,"BLOC B1 - LICEUL TEHNOLOGIC DE TURISM CĂLIMĂNEŞTI",139,"ORAŞ CĂLIMĂNEŞTI",167909,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:05:44",892,892,0,520,478,0,42,990,470,493,27,2,16,4,1,3,15,45,2,270,17,5,3,2,11,75,22
40,VÂLCEA,"CAMIN CULTURAL",314,"NICOLAE BĂLCESCU",171628,4,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 11:20:19",667,660,7,412,386,7,19,730,318,377,35,1,2,0,0,1,4,18,2,275,5,1,2,2,1,45,18
40,VÂLCEA,"CĂMIN CULTURAL(ATENEU SĂTESC)",343,PRUNDENI,172457,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 08:39:42",1146,1146,0,681,642,0,39,1260,579,620,61,6,5,3,0,2,3,23,3,446,4,4,7,3,7,77,27
40,VÂLCEA,"CĂMIN CULTURAL FÂRTĂŢEŞTI",221,FÂRTĂŢEŞTI,169681,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:16:20",300,300,0,253,224,0,29,380,127,223,30,1,0,1,0,0,0,6,3,133,6,1,0,1,1,61,9
40,VÂLCEA,"CĂMIN CULTURAL(FOSTUL CĂMIN CULTURAL DIN CURTEA PRIMĂRIEI)",320,ORLEŞTI,171879,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:07:44",1407,1407,0,941,922,0,19,1550,609,862,79,8,6,4,8,3,23,26,2,498,23,141,3,1,7,72,37
40,VÂLCEA,"CĂMIN CULTURAL GREBLEŞTI",189,CÂINENI,169119,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 12:39:11",542,542,0,378,334,0,44,600,222,347,31,26,1,1,0,2,5,11,5,213,2,4,5,0,1,60,11
40,VÂLCEA,"CĂMIN CULTURAL RUDA",179,BUDEŞTI,168791,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:19:37",458,458,0,279,266,0,13,510,231,265,14,0,9,1,0,0,4,5,1,161,2,1,11,0,7,36,27
40,VÂLCEA,"CĂMIN CULTURAL VOICEŞTI",427,VOICEŞTI,174218,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 17:32:41",1287,1168,119,918,799,1,118,1287,369,888,30,2,3,3,2,0,9,10,9,645,18,9,6,2,2,127,41
40,VÂLCEA,"CĂMINUL CULTURAL BALOTA",347,RACOVIŢA,172509,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:12:50",338,337,1,173,157,1,15,369,196,149,24,1,0,1,0,0,1,2,0,129,0,2,0,0,0,11,2
40,VÂLCEA,"CĂMINUL CULTURAL BĂRBĂTEŞTI",166,BĂRBĂTEŞTI,168559,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:26:42",1152,1152,0,707,696,0,11,1270,563,649,58,7,10,5,2,2,13,7,1,467,13,1,5,0,5,89,22
40,VÂLCEA,"CĂMINUL CULTURAL BÂRLOGU",378,STOENEŞTI,173230,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:54:12",270,270,0,235,198,0,37,300,65,222,13,1,5,2,0,7,4,17,1,136,2,0,6,0,1,34,6
40,VÂLCEA,"CĂMINUL CULTURAL BLIDARI",248,GOLEŞTI,170220,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:16:38",856,856,0,654,624,0,30,940,286,614,40,3,7,2,0,6,7,13,3,434,10,1,8,3,16,73,28
40,VÂLCEA,"CĂMINUL CULTURAL BOGDĂNEȘTI",413,TOMŞANI,173935,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:20:26",562,558,4,389,366,4,19,620,231,340,49,2,3,2,3,2,9,9,2,206,7,3,6,0,9,63,14
