precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"MUREŞAN CORNELIU-PARTIDUL SOCIAL DEMOCRAT-voturi","DUMITREL ION-PARTIDUL NAȚIONAL LIBERAL-voturi","OLAR CORNELIU-DAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","GHINESCU ION-PARTIDUL S.O.S. ROMÂNIA-voturi","ROF MARIUS-NICOLAE-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","TALPAŞ CONSTANTIN-PARTIDUL UMANIST SOCIAL LIBERAL-voturi"
1,ALBA,"AŞEZĂMÂNTUL SOCIAL - GRĂDINIŢA ”SFÂNTA IRINA”",79,"MUNICIPIUL BLAJ",1348,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-05-29 10:29:17",2697,2679,10,5,3,2666,2662,1,3,0,2541,125,3127,461,236,334,7,1460,390,114
1,ALBA,"ASOCIAŢIA JUDEŢEANĂ A VÂNĂTORILOR SI PESCARILOR SPORTIVI ALBA - CLUBUL BLAJ",84,"MUNICIPIUL BLAJ",1348,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-05-29 10:29:17",3370,3351,7,10,2,2982,2966,7,9,0,2727,255,3794,812,40,497,684,990,196,320
1,ALBA,"BAZA DE AGREMENT A MUNICIPIULUI BLAJ",78,"MUNICIPIUL BLAJ",1348,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-05-29 10:29:17",546,525,2,10,9,518,509,2,7,0,508,10,652,134,19,16,86,107,176,104
1,ALBA,"BAZIN OLIMPIC",30,"MUNICIPIUL ALBA IULIA",1017,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-05-29 10:29:12",1996,1985,2,3,6,1969,1965,2,1,1,1616,353,2387,418,113,318,784,103,105,193
1,ALBA,"BAZIN OLIMPIC",31,"MUNICIPIUL ALBA IULIA",1017,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-05-29 10:29:12",3761,3752,0,1,8,2896,2888,0,0,8,2888,8,3921,1025,199,679,53,33,1553,371
1,ALBA,"BIBLIOTECA COMUNALĂ",240,CRICĂU,4142,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-05-29 10:29:29",3023,3014,1,0,8,2645,2639,0,0,6,2516,129,3311,666,148,309,344,946,187,582
1,ALBA,"CĂMIN CULTURAL",225,"CETATEA DE BALTĂ",3958,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-05-29 10:29:28",886,872,0,6,8,830,824,0,0,6,819,11,915,85,170,98,21,274,28,228
1,ALBA,"CĂMIN CULTURAL",250,FĂRĂU,4302,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-05-29 10:29:30",1474,1459,2,3,10,1162,1155,0,1,6,718,444,1801,639,336,5,135,164,72,6
1,ALBA,"CĂMIN CULTURAL",226,"CETATEA DE BALTĂ",3958,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-05-29 10:29:28",1611,1596,6,0,9,1588,1575,6,0,7,1423,165,1830,242,500,21,115,219,417,151
1,ALBA,"CĂMIN CULTURAL ASINIP",297,"LOPADEA NOUĂ",5210,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-05-29 10:29:34",2109,2108,0,0,1,1824,1824,0,0,0,1597,227,2403,579,132,85,61,720,84,515
1,ALBA,"CĂMIN CULTURAL BĂLCACIU",288,JIDVEI,5103,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-05-29 10:29:33",2674,2664,6,1,3,2380,2378,1,1,0,1820,560,2844,464,172,797,460,264,43,84
1,ALBA,"CĂMIN CULTURAL CĂPUD",171,"ORAŞ TEIUŞ",8096,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-05-29 10:29:45",1646,1632,1,6,7,1284,1275,0,4,5,1072,212,1680,396,615,8,146,50,52,201
1,ALBA,"CĂMIN CULTURAL CISTEI",317,MIHALŢ,5700,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-05-29 10:29:36",3849,3838,1,5,5,3760,3754,1,5,0,2974,786,4004,244,211,282,671,79,23,1708
1,ALBA,"CĂMIN CULTURAL DOŞTAT",246,DOŞTAT,4268,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-05-29 10:29:29",2649,2635,0,5,9,2474,2463,0,5,6,2109,365,2834,360,487,119,107,92,130,1174
1,ALBA,"CĂMIN CULTURAL DRÎMBAR",231,CIUGUD,1071,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-05-29 10:29:14",754,728,9,7,10,662,644,9,2,7,518,144,1238,576,41,78,46,327,8,18
1,ALBA,"CĂMIN CULTURAL HĂPRIA",232,CIUGUD,1071,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-05-29 10:29:14",2097,2086,2,4,5,2091,2083,1,3,4,2005,86,2437,346,135,124,882,22,564,278
1,ALBA,"CĂMIN CULTURAL HOPÎRTA",266,HOPÂRTA,4703,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-05-29 10:29:31",2610,2595,0,7,8,2348,2343,0,5,0,1959,389,3009,661,754,211,517,119,0,358
