precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"STĂVĂRACHE COSTEL-CONSTANTIN-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","FLOREA GABRIEL-FLORINEL-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","GÂDEA ADRIAN-IONUŢ-PARTIDUL SOCIAL DEMOCRAT-voturi","MARDALE GEORGE-CĂTĂLIN-PARTIDUL S.O.S. ROMÂNIA-voturi","ŢOLE MARIN-PARTIDUL NAȚIONAL LIBERAL-voturi"
36,TELEORMAN,"CĂMIN CULTURAL",115,BRÂNCENI,152252,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 15:13:01",1223,1155,1,16,51,901,834,0,16,51,769,65,1338,504,20,121,544,23,61
36,TELEORMAN,"CĂMIN CULTURAL",121,BUZESCU,152332,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:32:48",1208,1074,1,81,52,774,641,0,81,52,741,33,1240,466,10,52,481,16,182
36,TELEORMAN,"CĂMIN CULTURAL",256,RĂDOIEŞTI,153865,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 09:01:13",474,442,0,6,26,282,250,0,6,26,282,0,510,228,2,3,227,0,50
36,TELEORMAN,"CĂMIN CULTURAL",147,CRÂNGENI,152617,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 14:07:42",1113,1067,0,1,45,591,552,0,1,38,541,48,1180,589,41,29,185,32,254
36,TELEORMAN,"CĂMIN CULTURAL",141,CIUPERCENI,151709,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:01:57",755,681,0,39,35,509,435,0,39,35,504,5,790,281,11,18,385,7,83
36,TELEORMAN,"CĂMIN CULTURAL",300,TALPA,154521,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 09:26:14",689,532,0,82,75,617,460,0,82,75,605,12,670,53,0,0,240,0,365
36,TELEORMAN,"CĂMIN CULTURAL CONŢEŞTI",144,CONŢEŞTI,152564,4,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 17:24:44",1225,1156,0,11,58,802,733,0,11,58,770,32,1270,468,4,42,652,17,55
36,TELEORMAN,"CĂMIN CULTURAL CUCUEŢI",272,SCRIOAŞTEA,154013,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:02:40",701,645,0,32,24,514,458,0,32,24,507,7,700,186,14,19,459,9,6
36,TELEORMAN,"CĂMIN CULTURAL SAT PURANI",331,VITĂNEŞTI,153776,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:38:03",567,519,1,13,34,337,290,0,13,34,320,17,605,268,9,52,216,18,25
36,TELEORMAN,"CĂMIN CULTURAL SAT SILIŞTEA",332,VITĂNEŞTI,153776,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 23:38:06",663,560,1,29,73,416,314,0,29,73,416,0,695,279,0,6,389,0,21
36,TELEORMAN,"CĂMIN CULTURAL SCRIOAȘTEA",270,SCRIOAŞTEA,154013,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:55:52",1750,1209,437,58,46,1313,1209,0,58,46,1295,18,1920,607,19,32,1207,19,18
36,TELEORMAN,"CĂMIN CULTURAL STEJARU",291,STEJARU,154415,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:55:04",638,566,0,36,36,427,359,0,34,34,415,12,610,183,2,95,298,3,17
36,TELEORMAN,"CĂMINUL CULTURAL",333,ZÂMBREASCA,154978,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:18:00",744,669,0,3,72,480,405,0,3,72,447,33,735,255,10,27,237,11,162
36,TELEORMAN,"CĂMINUL CULTURAL",242,PLOSCA,153605,5,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-14 21:31:13",1207,1185,1,12,9,864,843,0,12,9,828,33,1310,446,40,51,452,44,241
36,TELEORMAN,"CĂMINUL CULTURAL",184,ISLAZ,151736,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:54:35",1066,1040,1,15,10,630,605,0,15,10,605,25,1120,490,60,46,280,16,203
36,TELEORMAN,"CĂMINUL CULTURAL",313,TROIANUL,154790,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:17:10",39,23,0,11,5,39,23,0,11,5,35,4,55,16,6,4,21,1,3
36,TELEORMAN,"CĂMINUL CULTURAL",120,BUJORU,152314,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:55:32",780,686,0,46,48,692,598,0,46,48,545,50,750,155,4,40,217,13,271
36,TELEORMAN,"CĂMINUL CULTURAL",113,BRAGADIRU,152234,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:28:38",930,882,0,7,41,567,519,0,7,41,563,4,970,403,13,42,473,9,26
36,TELEORMAN,"CĂMINUL CULTURAL BALCI",92,BALACI,151996,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:59:21",753,644,0,62,47,508,399,0,62,47,484,24,700,192,10,119,304,12,39
36,TELEORMAN,"CĂMINUL CULTURAL BEUCA",98,BEUCA,155092,5,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 14:58:08",876,704,1,76,95,666,494,1,76,95,639,23,875,212,33,26,332,11,237
36,TELEORMAN,"CĂMINUL CULTURAL BUJORENI",117,BUJORENI,152270,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:18:19",409,374,0,25,10,198,163,0,25,10,189,9,420,222,11,13,135,6,24
36,TELEORMAN,"CĂMINUL CULTURAL DIDEȘTI",155,DIDEŞTI,152724,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:56:21",948,849,0,45,54,669,570,0,45,54,648,21,930,261,7,58,124,14,445
36,TELEORMAN,"CĂMINUL CULTURAL DIN SATUL CRÂNGU",151,CRÂNGU,152662,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 17:21:11",948,832,0,59,57,464,348,0,59,57,457,5,905,443,0,22,390,7,38
36,TELEORMAN,"CĂMINUL CULTURAL FRUMOASA",174,FRUMOASA,152993,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 10:24:26",705,671,0,12,22,510,476,0,12,22,478,32,760,250,32,36,283,24,103
36,TELEORMAN,"CĂMINUL CULTURAL GĂRĂGĂU",321,VÂRTOAPE,154932,4,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-12 16:15:23",541,496,0,20,25,405,360,0,20,25,394,11,550,145,3,2,202,0,187
36,TELEORMAN,"CĂMINUL CULTURAL GURUIENI",200,MĂGURA,153240,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-12 14:42:04",719,691,1,9,18,485,458,0,9,18,471,14,760,275,5,78,339,15,34
36,TELEORMAN,"CĂMINUL CULTURAL MĂGURA",199,MĂGURA,153240,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-12 14:46:28",1405,1332,0,21,52,920,847,0,21,52,895,25,1460,540,24,148,615,21,87
36,TELEORMAN,"CĂMINUL CULTURAL PERETU",231,PERETU,153543,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:07:25",1230,1224,0,5,1,712,706,0,5,1,674,38,1340,628,16,37,424,17,180
36,TELEORMAN,"CĂMINUL CULTURAL PLOPI",99,BEUCA,155092,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-12 06:36:56",142,120,0,8,14,118,96,0,8,14,111,7,150,32,0,6,24,1,80
