precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"MĂDULĂREA GEORGEL-PARTIDUL SOCIAL DEMOCRAT-voturi","DOBRESCU ANDREI-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","MĂGEANU NORRIS-MARCU-PARTIDUL NAȚIONAL LIBERAL-voturi","LASCONI ELENA-VALERICA-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","DUMITRESCU MARIUS-PARTIDUL S.O.S. ROMÂNIA-voturi","STUPARU IOAN-VIRGIL-PARTIDUL UMANIST SOCIAL LIBERAL-voturi","ZICHIL ALEXANDRU-IONUŢ-PARTIDUL ALTERNATIVA DREAPTĂ-voturi"
3,ARGEŞ,"AȘEZĂMÂNTUL SOCIAL DE LA PAROHIA MĂRCUȘ",113,"MUNICIPIUL CÂMPULUNG",13490,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:06:44",483,475,0,8,0,275,267,0,8,0,269,6,600,325,24,3,16,221,0,5,0
3,ARGEŞ,"BIBLIOTECA MUNICIPALA ION BARBU - FILIALA GRUI",96,"MUNICIPIUL CÂMPULUNG",13490,1,PROV,PRCNCT,P,P_SV,"2024-06-10 07:46:24",1426,1418,1,7,0,701,694,0,7,0,684,17,1600,899,95,19,71,485,5,7,2
3,ARGEŞ,"COLEGIUL NAŢIONAL ”DINICU GOLESCU”",114,"MUNICIPIUL CÂMPULUNG",13490,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:43:46",1193,1177,0,15,1,584,568,0,15,1,569,15,1200,616,90,21,61,381,5,11,0
3,ARGEŞ,"COLEGIUL NAŢIONAL PEDAGOGIC ”CAROL I”",109,"MUNICIPIUL CÂMPULUNG",13490,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:09:07",733,726,0,7,0,378,371,0,7,0,370,8,800,422,56,16,58,230,4,4,2
3,ARGEŞ,"GRĂDINIȚA CU PROGRAM NORMAL NR. 9",93,"MUNICIPIUL CÂMPULUNG",13490,1,PROV,PRCNCT,P,P_SV,"2024-06-10 07:08:49",1564,1550,2,12,0,803,791,0,12,0,787,16,1750,947,83,14,70,602,7,6,5
3,ARGEŞ,"GRĂDINIȚA CU PROGRAM NORMAL NR. 9 - II",94,"MUNICIPIUL CÂMPULUNG",13490,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:27:19",1464,1451,0,12,1,738,725,0,12,1,727,11,1613,875,67,22,54,560,8,15,1
3,ARGEŞ,"GRĂDINIȚA CU PROGRAM NORMAL NR. 9 - III",95,"MUNICIPIUL CÂMPULUNG",13490,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:38:44",1346,1338,1,7,0,663,656,0,7,0,652,11,1400,737,67,27,69,475,4,10,0
3,ARGEŞ,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”SFÂNTA MARINA” - I",102,"MUNICIPIUL CÂMPULUNG",13490,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:49:24",1257,1249,0,7,1,548,540,0,7,1,540,8,1400,852,64,12,64,390,5,4,1
3,ARGEŞ,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”SFÂNTA MARINA” - II",103,"MUNICIPIUL CÂMPULUNG",13490,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:33:55",1199,1191,0,8,0,516,508,0,8,0,508,8,1400,884,84,8,51,357,2,4,2
3,ARGEŞ,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”SFÂNTA MARINA” - III",104,"MUNICIPIUL CÂMPULUNG",13490,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:35:36",1482,1472,0,9,1,652,642,0,9,1,644,8,1600,948,108,21,53,437,20,5,0
3,ARGEŞ,"GRĂDINIȚA NR. 6",110,"MUNICIPIUL CÂMPULUNG",13490,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:45:42",914,909,0,5,0,478,473,0,5,0,463,15,1000,522,44,7,37,365,3,7,0
3,ARGEŞ,"GRĂDINIŢA VALEA ROMÂNEŞTILOR",108,"MUNICIPIUL CÂMPULUNG",13490,1,PROV,PRCNCT,P,P_SV,"2024-06-10 07:12:52",389,384,0,5,0,234,229,0,5,0,222,10,400,168,102,0,9,106,3,2,0
3,ARGEŞ,"LICEUL TEHNOLOGIC AUTO",111,"MUNICIPIUL CÂMPULUNG",13490,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:56:27",1114,1104,0,9,1,506,496,0,9,1,492,14,1200,694,81,13,37,347,8,4,2
3,ARGEŞ,"LICEUL TEORETIC DAN BARBILIAN I",105,"MUNICIPIUL CÂMPULUNG",13490,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:29:18",963,957,0,6,0,485,479,0,6,0,471,14,1000,515,79,17,79,281,7,7,1
3,ARGEŞ,"LICEUL TEORETIC DAN BARBILIAN II",106,"MUNICIPIUL CÂMPULUNG",13490,1,PROV,PRCNCT,P,P_SV,"2024-06-10 03:49:18",1468,1459,0,9,0,536,527,0,9,0,518,9,1600,1064,73,21,41,368,7,5,3
3,ARGEŞ,"LICEUL TEORETIC DAN BARBILIAN III",107,"MUNICIPIUL CÂMPULUNG",13490,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:29:36",1396,1386,1,9,0,666,657,0,9,0,652,14,1600,934,95,14,68,457,8,10,0
3,ARGEŞ,"S.C. HIDROELECTRICA S.A.",98,"MUNICIPIUL CÂMPULUNG",13490,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:48:51",936,930,1,5,0,485,480,0,5,0,471,14,1000,515,51,8,57,345,4,4,2
3,ARGEŞ,"ŞCOALA GENERALĂ NR.4 ”APA SĂRATĂ”",112,"MUNICIPIUL CÂMPULUNG",13490,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:20:22",714,704,0,9,1,312,302,0,9,1,307,5,800,488,46,11,20,225,2,3,0
3,ARGEŞ,"ŞCOALA GENERALĂ NR. 5",97,"MUNICIPIUL CÂMPULUNG",13490,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:25:35",1096,1090,3,3,0,530,526,1,3,0,519,11,1200,670,67,21,71,351,3,5,1
3,ARGEŞ,"ŞCOALA GIMNAZIALĂ ”C.D. ARICESCU”",115,"MUNICIPIUL CÂMPULUNG",13490,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:03:21",828,813,1,7,7,431,417,0,7,7,425,6,1000,569,56,18,63,273,5,9,1
3,ARGEŞ,"ŞCOALA GIMNAZIALĂ NANU MUSCEL",92,"MUNICIPIUL CÂMPULUNG",13490,1,PROV,PRCNCT,P,P_SV,"2024-06-10 07:57:21",1099,1094,0,5,0,561,556,0,5,0,551,10,1200,639,86,28,89,329,4,14,1
3,ARGEŞ,"ŞCOALA GIMNAZIALĂ ”OPREA IORGULESCU” - I",90,"MUNICIPIUL CÂMPULUNG",13490,1,PROV,PRCNCT,P,P_SV,"2024-06-10 10:10:30",704,688,0,14,2,371,355,0,14,2,360,11,800,429,51,12,74,205,3,11,4
3,ARGEŞ,"ŞCOALA GIMNAZIALĂ ”OPREA IORGULESCU” - II",91,"MUNICIPIUL CÂMPULUNG",13490,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:26:20",771,766,0,5,0,402,397,0,5,0,392,10,800,398,53,23,56,249,3,5,3
3,ARGEŞ,"ŞCOALA GIMNAZIALĂ ”THEODOR AMAN” - I",99,"MUNICIPIUL CÂMPULUNG",13490,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:45:27",1338,1335,0,3,0,686,683,0,3,0,674,9,1500,817,79,18,82,490,1,4,0
3,ARGEŞ,"ŞCOALA GIMNAZIALĂ ”THEODOR AMAN” - II",100,"MUNICIPIUL CÂMPULUNG",13490,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:54:04",1049,1041,0,8,0,477,469,0,8,0,469,8,1200,723,68,13,47,327,8,5,1
3,ARGEŞ,"ŞCOALA GIMNAZIALĂ ”THEODOR AMAN” - III",101,"MUNICIPIUL CÂMPULUNG",13490,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:45:22",1220,1215,0,5,0,498,493,0,5,0,490,8,1400,902,73,14,50,347,2,4,0
