precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL LEGE EDUCAȚIE UNITATE-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP-voturi","ILIEŞ BOGDAN-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi"
33,SĂLAJ,"CASA MUNICIPALĂ DE CULTURĂ",2,"MUNICIPIUL ZALĂU",139704,3,PART,PRCNCT,CL,CL_SV,"2024-06-13 13:03:54",1875,1846,15,8,6,948,934,0,8,6,934,10,2050,1092,3,40,115,5,286,387,61,9,28
33,SĂLAJ,"CLĂDIREA TRANSILVANIA",10,"MUNICIPIUL ZALĂU",139704,2,PART,PRCNCT,CL,CL_SV,"2024-06-13 13:41:48",1335,1311,13,10,1,638,627,0,10,1,624,14,1400,762,2,30,104,6,282,101,63,9,27
33,SĂLAJ,"CLUB S.C. COMPANIA DE APĂ SOMEŞ S.A. SUCURSALA MUNICIPIULUI ZALĂU",37,"MUNICIPIUL ZALĂU",139704,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:22:19",1206,1199,2,5,0,484,479,0,5,0,477,7,1350,866,5,28,86,4,206,62,44,13,29
33,SĂLAJ,"COLEGIUL NAŢIONAL ”SILVANIA”",1,"MUNICIPIUL ZALĂU",139704,2,PART,PRCNCT,CL,CL_SV,"2024-06-13 12:58:22",1887,1857,19,9,2,982,970,1,9,2,967,15,2056,1074,2,42,205,17,330,244,75,13,39
33,SĂLAJ,"COLEGIUL TEHNIC ”ALESANDRU PAPIU ILARIAN”",33,"MUNICIPIUL ZALĂU",139704,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:47:32",1062,1056,0,6,0,401,395,0,6,0,394,7,1200,799,2,38,61,5,168,61,16,13,30
33,SĂLAJ,"COLEGIUL TEHNIC ”ALESANDRU PAPIU ILARIAN”",34,"MUNICIPIUL ZALĂU",139704,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:46:32",881,874,0,7,0,365,358,0,7,0,353,12,1000,635,1,21,56,5,172,59,23,4,12
33,SĂLAJ,"DIRECŢIA DE SĂNĂTATE PUBLICĂ SĂLAJ",9,"MUNICIPIUL ZALĂU",139704,3,PART,PRCNCT,CL,CL_SV,"2024-06-13 13:36:07",1067,1049,7,11,0,533,522,0,11,0,520,13,1150,617,1,39,95,8,221,100,32,10,14
33,SĂLAJ,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”LICURICI”",29,"MUNICIPIUL ZALĂU",139704,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 11:38:01",1636,1619,4,10,3,623,610,0,10,3,609,14,1849,1226,1,66,109,13,254,63,56,15,32
33,SĂLAJ,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 1",3,"MUNICIPIUL ZALĂU",139704,2,PART,PRCNCT,CL,CL_SV,"2024-06-13 13:10:19",1848,1831,10,6,1,894,887,0,6,1,881,13,2000,1106,3,41,156,14,318,231,68,10,40
33,SĂLAJ,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”PITICII ISTEȚI”",32,"MUNICIPIUL ZALĂU",139704,3,PART,PRCNCT,CL,CL_SV,"2024-06-13 14:05:45",1507,1473,2,10,22,632,599,1,10,22,628,4,1650,1018,1,63,115,23,283,55,50,12,26
