precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"BODOR ATTILA-BELA-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","OLARIU DUMITRU-PARTIDUL SOCIAL DEMOCRAT-voturi","CALINOVICI MIHAI-ACHIM-ALIANȚA DREAPTA UNITĂ USR - PMP-voturi","BUZILĂ VICTOR-SEBASTIAN-PARTIDUL NAȚIONAL LIBERAL-voturi","MANOLACHE LUDOVIC-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PUŞCAŞ VASILE-voturi"
21,HARGHITA,"CABANA OCOLULUI SILVIC",66,"MUNICIPIUL TOPLIŢA",83632,1,PART,PRCNCT,P,P_SV,"2024-06-10 00:55:09",68,56,1,11,0,28,17,0,11,0,28,0,183,155,8,6,2,8,4,0
21,HARGHITA,"COLEGIUL NAŢIONAL ”MIHAI EMINESCU” TOPLIŢA",62,"MUNICIPIUL TOPLIŢA",83632,1,PROV,PRCNCT,P,P_SV,"2024-06-10 03:40:13",960,951,0,8,1,433,424,0,8,1,421,12,1000,567,57,136,11,191,14,12
21,HARGHITA,"GRĂDINIŢA VOINICEL NR.1 TOPLIŢA",60,"MUNICIPIUL TOPLIŢA",83632,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:19:46",1025,1021,2,2,0,445,443,0,2,0,427,18,1100,655,47,119,16,203,26,16
21,HARGHITA,"LICEUL ”O.C.TĂSLĂUANU” TOPLIŢA",64,"MUNICIPIUL TOPLIŢA",83632,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:13:41",1206,1203,2,1,0,458,457,0,1,0,446,12,1300,842,45,124,16,192,37,32
21,HARGHITA,"LICEUL TEORETIC ”KEMENY JANOS” TOPLIŢA",59,"MUNICIPIUL TOPLIŢA",83632,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:03:08",1329,1321,0,8,0,660,652,0,8,0,639,21,1500,840,96,140,43,329,26,5
21,HARGHITA,"ŞCOALA GIMNAZIALĂ ”ANDREI ŞAGUNA” CĂLIMĂNEL",65,"MUNICIPIUL TOPLIŢA",83632,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:59:09",965,956,0,9,0,448,439,0,9,0,428,20,996,548,5,207,7,175,26,8
21,HARGHITA,"ŞCOALA GIMNAZIALĂ ”ANDREI ŞAGUNA” VALE",61,"MUNICIPIUL TOPLIŢA",83632,1,PROV,PRCNCT,P,P_SV,"2024-06-10 07:55:26",1505,1496,0,8,1,782,773,0,8,1,760,22,1700,918,22,420,13,271,25,9
21,HARGHITA,"ŞCOALA GIMNAZIALĂ ”MIRON CRISTEA” TOPLIŢA",57,"MUNICIPIUL TOPLIŢA",83632,1,PROV,PRCNCT,P,P_SV,"2024-06-10 08:39:53",1537,1526,0,1,10,675,664,0,1,10,624,50,1700,802,46,230,24,256,51,17
21,HARGHITA,"ŞCOALA GIMNAZIALĂ ”MIRON CRISTEA” TOPLIŢA",58,"MUNICIPIUL TOPLIŢA",83632,1,PART,PRCNCT,P,P_SV,"2024-06-10 09:39:05",1535,1523,0,0,12,721,709,0,0,12,706,15,1700,979,55,220,32,339,39,21
21,HARGHITA,"ŞCOALA GIMNAZIALĂ ”SF. ILIE” TOPLIŢA",63,"MUNICIPIUL TOPLIŢA",83632,1,PROV,PRCNCT,P,P_SV,"2024-06-10 02:39:32",1012,1004,0,8,0,431,423,0,8,0,415,16,1100,669,50,93,11,227,24,10
21,HARGHITA,"ŞCOALA GIMNAZIALĂ ”SF. ILIE” ZENCANI",67,"MUNICIPIUL TOPLIŢA",83632,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:51:26",1513,1506,0,7,0,677,670,0,7,0,642,35,1600,923,78,192,17,297,43,15
