precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi"
19,GIURGIU,"AFTER SCHOOL VALEA DRAGULUI",232,"VALEA DRAGULUI",105776,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 10:43:37",1064,1034,0,18,12,861,831,0,18,12,822,39,1130,269,484,13,230,3,87,5
19,GIURGIU,"AGENȚIA PENTRU PROTECȚIA MEDIULUI GIURGIU SALA DE CONSILIU",23,"MUNICIPIUL GIURGIU",100521,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 13:57:57",1741,1725,4,9,3,648,636,0,9,3,608,40,1914,1266,246,20,94,21,219,8
19,GIURGIU,"CAMIN CULTURAL",110,DAIA,102446,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 11:22:16",545,477,1,47,20,402,335,0,47,20,375,27,546,144,260,7,25,2,78,3
19,GIURGIU,"CAMIN CULTURAL BUTURUGENI",87,BUTURUGENI,101617,4,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 14:14:49",622,588,0,17,17,474,440,0,17,17,466,8,660,186,308,14,30,3,109,2
19,GIURGIU,"CĂMIN CULTURAL VEDEA",244,VEDEA,105909,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 11:38:10",795,711,0,56,28,688,604,0,56,28,585,103,765,77,369,4,32,3,176,1
19,GIURGIU,"CĂMINUL CULTURAL",96,COLIBAŞI,102071,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 16:55:51",826,795,0,6,25,642,612,0,6,24,631,11,908,266,492,15,32,6,85,1
19,GIURGIU,"CĂMINUL CULTURAL BOLINTIN - DEAL",75,BOLINTIN-DEAL,101163,4,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 12:37:15",1446,1411,3,25,7,820,788,0,25,7,788,32,1562,742,397,37,57,7,280,10
19,GIURGIU,"CĂMINUL CULTURAL BULBUCATA",85,BULBUCATA,101519,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:14:45",1235,1082,2,149,2,914,763,0,149,2,901,13,1180,266,740,30,12,6,113,0
19,GIURGIU,"CĂMINUL CULTURAL CLEJANI",94,CLEJANI,101984,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:54:53",1340,1260,5,18,57,961,886,0,18,57,887,74,1441,480,819,6,36,2,22,2
19,GIURGIU,"CĂMINUL CULTURAL FRĂTEŞTI",120,FRĂTEŞTI,102909,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 19:32:18",1367,1286,2,41,38,875,796,0,41,38,826,49,1451,576,476,10,60,0,271,9
19,GIURGIU,"CĂMINUL CULTURAL GOGOŞARI",139,GOGOŞARI,103309,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 09:50:09",576,545,0,13,18,399,368,0,13,18,388,11,632,233,312,4,22,2,48,0
19,GIURGIU,"CĂMINUL CULTURAL HULUBEŞTI",92,CĂLUGĂRENI,101662,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 17:44:16",1248,1222,0,26,0,924,898,0,26,0,881,43,1342,418,575,12,33,6,253,2
19,GIURGIU,"CĂMINUL CULTURAL IEPUREŞTI",158,IEPUREŞTI,103693,4,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 14:36:16",1068,771,1,296,0,918,622,0,296,0,882,34,924,8,397,22,56,1,405,1
19,GIURGIU,"CĂMINUL CULTURAL LETCA NOUĂ",171,"LETCA NOUĂ",104047,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:36:23",795,665,0,103,27,640,510,0,103,27,634,6,755,115,510,15,24,0,85,0
19,GIURGIU,"CĂMINUL CULTURAL LETCA VECHE",172,"LETCA NOUĂ",104047,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 10:52:53",749,670,2,52,25,552,473,2,52,25,542,10,755,203,352,10,12,2,166,0
19,GIURGIU,"CĂMINUL CULTURAL MALU",174,MALU,179739,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:53:35",875,796,1,42,36,673,595,0,42,36,651,22,914,241,306,8,58,3,271,5
19,GIURGIU,"CĂMINUL CULTURAL MILCOVĂȚU",173,"LETCA NOUĂ",104047,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 11:00:39",1255,1071,0,146,38,1052,868,0,146,38,1007,45,1209,157,610,5,52,8,330,2
19,GIURGIU,"CĂMINUL CULTURAL OINACU",184,OINACU,104519,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:24:28",1350,1207,2,20,121,900,759,0,20,121,869,31,1471,571,786,2,22,3,52,4
19,GIURGIU,"CĂMINUL CULTURAL REMUŞ",124,FRĂTEŞTI,102909,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:35:54",1769,1632,6,91,40,1148,1017,0,91,40,1096,52,1789,641,801,27,87,12,157,12
19,GIURGIU,"CĂMINUL CULTURAL STOENEŞTI",218,STOENEŞTI,105348,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:05:39",936,818,0,79,39,696,578,0,79,39,674,22,901,205,427,8,40,5,188,6
19,GIURGIU,"CANTINA DE AJUTOR SOCIAL",39,"MUNICIPIUL GIURGIU",100521,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 12:37:29",771,763,0,7,1,239,231,0,7,1,231,8,843,604,117,8,21,8,72,5
19,GIURGIU,"CANTINA SEMINARULUI TEOLOGIC TEOCTIST PATRIARHUL",7,"MUNICIPIUL GIURGIU",100521,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 14:25:24",839,835,0,3,1,337,333,0,3,1,331,6,926,589,144,21,57,8,95,6
19,GIURGIU,"CASA DE CULTURĂ PUTINEIU",190,PUTINEIU,104715,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 12:38:32",1011,900,0,98,13,814,703,0,98,13,786,28,989,175,506,7,24,7,231,11
19,GIURGIU,"CENTRUL DE ASISTENŢĂ DUPĂ PROGRAMUL ŞCOLAR, DĂRĂŞTI-VLAŞCA",66,ADUNAŢII-COPĂCENI,100781,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:04:04",1606,1589,0,16,1,867,850,0,16,1,844,23,1745,878,699,13,60,0,72,0
