precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","ŞERBAN MARCEL-IULIAN-voturi"
8,BRAŞOV,"AGENȚIA POȘTALĂ",258,"ORAŞ PREDEAL",40303,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:34:56",277,270,0,5,2,169,162,0,5,2,160,9,306,137,14,4,22,66,10,40,4
8,BRAŞOV,"AŞEZAMÂNT CULTURAL",381,MÂNDRA,41417,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:46:18",695,681,0,9,5,372,358,0,9,5,336,36,750,329,47,5,111,75,14,79,5
8,BRAŞOV,"AŞEZAMÂNT CULTURAL",382,MÂNDRA,41417,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:23:17",469,453,0,11,5,284,268,0,11,5,261,23,500,216,29,11,88,69,14,47,3
8,BRAŞOV,"AŞEZAMÂNT CULTURAL",383,MÂNDRA,41417,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:23:01",209,194,1,14,0,123,109,0,14,0,116,7,200,77,12,2,39,36,1,24,2
8,BRAŞOV,"AŞEZAMÂNT CULTURAL",384,MÂNDRA,41417,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:09:47",237,220,0,8,9,138,121,0,8,9,133,5,300,162,19,4,55,28,4,23,0
8,BRAŞOV,"AȘEZĂMÎNT CULTURAL MÂNDRA",380,MÂNDRA,41417,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:17:38",1012,990,1,13,8,598,577,0,13,8,557,41,1050,452,69,8,218,107,16,132,7
8,BRAŞOV,"CAMIN CULTURAL",433,TĂRLUNGENI,42003,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 09:39:30",1786,1762,7,9,8,923,906,0,9,8,763,160,1900,977,116,164,61,301,42,75,4
8,BRAŞOV,"CAMIN CULTURAL",351,HĂLCHIU,41033,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:53:30",1055,1043,2,8,2,570,559,1,8,2,526,44,1100,530,28,228,56,164,19,25,6
8,BRAŞOV,"CĂMIN CULTURAL ACRIȘ",452,"VAMA BUZĂULUI",42183,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:50:23",1046,1044,0,2,0,474,472,0,2,0,393,81,1100,626,102,7,184,53,17,23,7
8,BRAŞOV,"CAMIN CULTURAL BECLEAN",299,BECLEAN,40544,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:14:00",777,720,2,42,13,432,376,1,42,13,404,28,762,330,54,5,85,218,12,25,5
8,BRAŞOV,"CĂMIN CULTURAL BEIA",322,CAŢA,40768,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:58:42",326,316,0,10,0,210,200,0,10,0,192,18,350,140,31,8,17,127,5,2,2
8,BRAŞOV,"CAMIN CULTURAL BOHOLT",300,BECLEAN,40544,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:35:50",186,159,0,24,3,148,121,0,24,3,143,5,200,52,16,3,43,72,6,3,0
8,BRAŞOV,"CAMIN CULTURAL CALBOR",301,BECLEAN,40544,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:19:38",236,215,0,19,2,163,142,0,19,2,152,9,215,52,17,0,13,100,4,16,2
8,BRAŞOV,"CĂMIN CULTURAL DRĂUȘENI",323,CAŢA,40768,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:46:07",413,406,1,6,0,242,236,0,6,0,221,21,450,208,14,100,37,67,1,2,0
8,BRAŞOV,"CAMIN CULTURAL GRID",392,PĂRĂU,41578,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 10:31:08",234,220,1,11,2,158,144,1,11,2,146,12,229,71,26,7,37,53,6,14,3
8,BRAŞOV,"CAMIN CULTURAL HOMOROD",368,HOMOROD,41248,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:32:49",1218,1207,0,8,3,556,545,0,8,3,466,90,1300,744,126,50,203,73,6,5,3
8,BRAŞOV,"CAMIN CULTURAL JIMBOR",369,HOMOROD,41248,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:54:59",389,382,0,7,0,211,204,0,7,0,190,21,441,230,4,133,31,17,3,1,1
8,BRAŞOV,"CAMIN CULTURAL LUTA",303,BECLEAN,40544,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:53:12",90,69,0,19,2,74,53,0,19,2,74,0,103,29,10,1,12,40,4,7,0
8,BRAŞOV,"CAMIN CULTURAL MERCHEASA",370,HOMOROD,41248,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:39:42",443,434,1,8,0,265,257,0,8,0,222,33,500,230,43,7,72,98,1,0,1
8,BRAŞOV,"CAMIN CULTURAL RUCAR",456,VIŞTEA,42236,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:20:19",398,331,0,60,7,302,235,0,60,7,278,24,350,48,22,8,68,175,1,3,1
8,BRAŞOV,"CĂMIN CULTURAL ŞERCAIA",416,ŞERCAIA,41818,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:15:33",1471,1427,7,8,29,764,725,2,8,29,676,81,1600,836,132,52,78,336,28,45,5
8,BRAŞOV,"CĂMIN CULTURAL VAD",418,ŞERCAIA,41818,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:31:17",486,456,1,24,5,286,256,1,24,5,266,17,504,216,19,9,74,111,10,32,11
