precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"THUMA HUBERT PETRU ŞTEFAN-ALIANȚA ELECTORALĂ PSD PNL-voturi","MIHALCEA SERGIU-DANIEL-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","BOBEI VICTOR-HORIA-PARTIDUL S.O.S. ROMÂNIA-voturi","TĂNĂSESCU CLAUDIU-PARTIDUL ROMÂNIA MARE-voturi","DANCĂ IONEL-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
25,ILFOV,"AFTER SCHOOL DOMNESTI",215,DOMNEŞTI,102570,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-12 15:58:05",1825,1735,1,81,8,1089,1000,0,81,8,1063,26,1900,811,856,90,33,19,65
25,ILFOV,"AȘEZĂMÂNTUL SOCIAL AL BISERICII SF. DUMITRU",191,COPĂCENI,179588,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 21:45:27",1506,1494,1,9,2,982,971,0,9,2,861,106,1600,632,527,181,68,17,68
25,ILFOV,"BAZA SPORTIVĂ - CAMERA 12 (VESTIAR GAZDE)",277,"ŞTEFĂNEŞTII DE JOS",105419,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-13 12:07:23",1637,1601,0,23,13,1197,1161,0,23,13,1173,24,1700,503,1074,25,51,10,13
25,ILFOV,"CAMIN CULTURAL",182,CIOLPANI,101902,4,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 18:04:46",713,704,0,8,1,429,420,0,8,1,406,23,764,335,314,37,11,5,39
25,ILFOV,"CĂMINUL CULTURAL MULTIFUNCŢIONAL",235,GRĂDIŞTEA,103443,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 15:27:12",1651,1598,0,6,47,1138,1085,0,6,47,1104,34,1800,662,681,96,47,13,267
25,ILFOV,"CASA DE CULTURĂ",121,"ORAŞ VOLUNTARI",179551,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:46:04",1802,1770,13,16,3,934,914,1,16,3,891,43,2000,1066,550,102,64,29,146
25,ILFOV,"CASA DE CULTURĂ GHERMĂNEŞTI",269,SNAGOV,105160,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:28:51",1387,1339,5,43,0,932,887,2,43,0,880,52,1492,560,610,127,45,26,72
25,ILFOV,"CASA DE CULTURĂ GHERMĂNEŞTI",270,SNAGOV,105160,4,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 12:54:42",1202,1163,2,35,2,852,814,1,35,2,815,37,1300,448,572,110,32,25,76
25,ILFOV,"CENTRUL DE ASISTENȚĂ DUPĂ PROGROMUL ȘCOLAR",283,TUNARI,105570,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:45:26",326,318,0,8,0,176,168,0,8,0,172,4,336,160,92,26,7,6,41
25,ILFOV,"CLĂDIREA AFTER SCHOOL",195,CORBEANCA,102160,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 12:11:30",1941,1863,29,48,1,1113,1056,8,48,1,1080,33,1995,882,314,91,38,29,608
25,ILFOV,"CLĂDIRE POLICLINICĂ",136,BALOTEŞTI,100969,4,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 18:10:19",1047,1032,5,8,2,567,557,0,8,2,547,20,1089,522,328,72,28,8,111
25,ILFOV,"COMPLEX REZIDENȚIAL COSMOPOLIS - COSMOPOLIS PLAZA",275,"ŞTEFĂNEŞTII DE JOS",105419,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 09:07:42",1146,1087,42,17,0,516,499,0,17,0,501,15,1200,684,163,35,23,16,264
25,ILFOV,"COMPLEX REZIDENȚIAL COSMOPOLIS, SPAȚIUL NR. 7 (SHOWROOM)",272,"ŞTEFĂNEŞTII DE JOS",105419,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 13:54:29",1730,1635,71,23,1,748,723,1,23,1,723,25,1800,1052,236,42,43,17,385
25,ILFOV,"CREȘA PRICHINDEL NR. 3",105,"ORAŞ VOLUNTARI",179551,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:57:03",1975,1959,0,16,0,650,634,0,16,0,629,21,2200,1550,192,73,30,13,321
25,ILFOV,"DIRECȚIA DE IMPOZITE ȘI TAXE POPEȘTI-LEORDENI",80,"ORAŞ POPEŞTI-LEORDENI",179533,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:27:12",1760,1661,21,78,0,953,875,0,78,0,866,23,1800,911,294,122,32,14,404
25,ILFOV,"DIRECȚIA DE IMPOZITE ȘI TAXE POPEȘTI-LEORDENI",81,"ORAŞ POPEŞTI-LEORDENI",179533,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 18:10:20",1252,1175,12,65,0,630,565,0,65,0,596,19,1300,670,186,82,27,16,285
25,ILFOV,"DIRECȚIA POLIȚIEI LOCALE BUFTEA",30,"ORAŞ BUFTEA",100576,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:42:50",1431,1392,0,27,12,1100,1061,0,27,12,1032,68,1500,400,732,114,76,37,73
25,ILFOV,"FOSTA ŞCOALA NR. 3 PERIS",260,PERIŞ,104546,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-13 12:57:33",687,669,1,13,4,446,428,1,13,4,421,20,750,304,157,71,24,26,143
25,ILFOV,"FOSTA SCOALA SI GRADINITA ALUNISU",47,"ORAŞ MĂGURELE",179409,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:38:31",1293,1273,1,10,9,726,707,0,10,9,696,30,1400,674,514,76,41,15,50
