precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL LEGE EDUCAȚIE UNITATE-voturi"
23,IALOMIŢA,"AGENȚIA NAȚIONALĂ DE ÎMBUNĂTĂȚIRI FUNCIARE – FILIALA IALOMIȚA",18,"MUNICIPIUL SLOBOZIA",92658,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:29:36",1352,1337,1,13,1,601,587,0,13,1,577,24,1496,895,169,47,230,4,21,12,62,32
23,IALOMIŢA,"CĂMIN CULTURAL",218,"VALEA MĂCRIŞULUI",105794,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:55:23",361,339,0,5,17,248,226,0,5,17,224,24,400,152,9,13,154,0,5,4,39,0
23,IALOMIŢA,"CĂMIN CULTURAL",102,BALACIU,92907,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:20:13",429,369,0,12,48,255,195,0,12,48,242,13,400,144,75,23,98,1,16,4,23,2
23,IALOMIŢA,"CĂMIN CULTURAL",217,"VALEA MĂCRIŞULUI",105794,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:43:38",901,845,0,17,39,663,607,0,17,39,593,70,965,302,63,40,369,3,23,9,83,3
23,IALOMIŢA,"CĂMIN CULTURAL FRĂȚILEȘTI",203,SĂVENI,94376,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:38:06",344,344,0,0,0,172,172,0,0,0,153,19,413,241,8,25,68,4,4,2,42,0
23,IALOMIŢA,"CĂMIN CULTURAL GHIMPAŢI",128,CIULNIŢA,93156,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:22:22",201,196,0,5,0,137,132,0,5,0,128,9,200,63,52,10,61,0,0,2,3,0
23,IALOMIŢA,"CĂMIN CULTURAL ION GHICA",126,CIULNIŢA,93156,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:19:01",474,460,0,14,0,294,280,0,14,0,283,11,500,206,134,23,107,0,8,2,8,1
23,IALOMIŢA,"CĂMIN CULTURAL MIHAIL KOGĂLNICEANU",172,"MIHAIL KOGĂLNICEANU",93995,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 09:58:32",1374,1340,3,11,20,887,855,1,11,20,833,54,1484,597,160,142,366,2,29,54,73,7
23,IALOMIŢA,"CAMIN CULTURAL PLATONEŞTI",189,PLATONEŞTI,180000,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:05:54",757,726,1,21,9,480,450,0,21,9,444,36,800,320,25,66,242,5,15,5,85,1
23,IALOMIŢA,"CĂMIN CULTURAL POIANA - SALA DE FESTIVITĂȚI",127,CIULNIŢA,93156,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:55:44",355,350,0,5,0,222,217,0,5,0,213,9,400,178,66,12,101,3,11,5,15,0
23,IALOMIŢA,"CĂMIN CULTURAL, SAT SINTEŞTI",114,BORĂNEŞTI,179784,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:26:08",318,311,0,7,0,227,220,0,7,0,219,8,347,120,87,18,65,0,5,8,35,1
23,IALOMIŢA,"CĂMINUL CULTURAL",220,VLĂDENI,94795,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:04:39",737,725,0,4,8,473,461,0,4,8,446,27,800,327,87,37,277,1,30,9,3,2
23,IALOMIŢA,"CĂMINUL CULTURAL",118,BUCU,93021,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 10:01:14",1021,1012,2,1,6,565,558,0,1,6,528,37,1100,535,80,65,281,12,20,4,59,7
23,IALOMIŢA,"CĂMINUL CULTURAL",154,GRINDU,93717,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:08:00",752,725,5,19,3,497,474,1,19,3,460,33,800,307,105,40,292,0,10,4,8,1
23,IALOMIŢA,"CĂMINUL CULTURAL",155,GRINDU,93717,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:38:57",725,708,0,16,1,501,484,0,16,1,478,23,788,287,126,33,289,0,14,4,10,2
23,IALOMIŢA,"CĂMINUL CULTURAL",119,BUCU,93021,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:18:06",1007,991,0,3,13,545,529,0,3,13,515,30,1103,558,123,41,269,3,26,3,41,9
23,IALOMIŢA,"CĂMINUL CULTURAL",219,VLĂDENI,94795,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 10:46:33",848,842,0,0,6,536,530,0,0,6,508,28,934,398,86,45,337,2,23,11,4,0
23,IALOMIŢA,"CĂMINUL CULTURAL COSÂMBEŞTI",132,COSÂMBEŞTI,93236,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 10:30:18",817,782,1,16,18,524,489,1,16,18,504,20,872,348,198,64,196,5,17,2,17,5
23,IALOMIŢA,"CAMINUL CULTURAL COSERENI",134,COŞERENI,102240,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:49:46",1252,1223,1,18,10,848,820,0,18,10,802,46,1360,512,252,65,296,3,42,106,33,5
23,IALOMIŢA,"CĂMINUL CULTURAL DRĂGOEŞTI",137,DRĂGOEŞTI,102641,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:39:27",768,693,0,50,25,582,507,0,50,25,543,39,789,207,26,78,383,1,15,4,36,0
23,IALOMIŢA,"CĂMINUL CULTURAL MALU,SALONUL DE NUNŢI SITUATĂ ÎN MALU",208,"SFÂNTU GHEORGHE",94456,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 18:31:26",844,839,2,2,1,573,569,1,2,1,546,27,927,354,256,42,171,2,22,6,46,1
23,IALOMIŢA,"CĂMINUL CULTURAL SAT LILIECI",210,SINEŞTI,105026,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:37:32",891,875,2,14,0,476,462,0,14,0,458,18,951,475,58,118,229,1,34,4,11,3
23,IALOMIŢA,"CĂMINUL CULTURAL SITUATĂ ÎN SATUL SINEŞTI, SINEŞTI",209,SINEŞTI,105026,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:55:11",1302,1273,0,29,0,824,795,0,29,0,761,63,1400,576,87,98,507,0,25,5,39,0
23,IALOMIŢA,"CASA DE CULTURĂ",62,"MUNICIPIUL URZICENI",100683,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:38:43",1123,1114,0,9,0,564,555,0,9,0,542,22,1250,686,187,40,173,6,42,11,80,3
