precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL PRO ROMÂNIA-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP-voturi"
20,GORJ,"CASA DE CULTURĂ MOTRU",61,"MUNICIPIUL MOTRU",78141,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:38:47",1542,1521,2,17,2,725,706,0,17,2,705,20,1800,1075,282,85,284,20,34
20,GORJ,"COLEGIUL NAŢIONAL GEORGE COŞBUC MOTRU",62,"MUNICIPIUL MOTRU",78141,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 13:28:14",1422,1402,3,15,2,602,585,0,15,2,585,17,1500,898,235,85,238,12,15
20,GORJ,"COLEGIUL TEHNIC MOTRU",60,"MUNICIPIUL MOTRU",78141,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:57:38",902,891,3,7,1,464,456,0,7,1,441,23,1000,536,183,56,164,18,20
20,GORJ,"GRĂDINIŢA CATOLICĂ MOTRU",65,"MUNICIPIUL MOTRU",78141,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:18:32",1471,1463,3,5,0,668,662,1,5,0,651,17,1700,1032,251,100,269,18,13
20,GORJ,"GRĂDINIŢA CREŞĂ NR.1 MOTRU",66,"MUNICIPIUL MOTRU",78141,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 14:32:36",1582,1565,0,11,6,723,706,0,11,6,701,22,1800,1077,248,89,324,18,22
20,GORJ,"ŞCOALA GIMNAZIALĂ NR.1 MOTRU",63,"MUNICIPIUL MOTRU",78141,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:22:34",1487,1475,1,9,2,682,671,0,9,2,654,28,1700,1018,257,78,273,26,20
20,GORJ,"ȘCOALA GIMNAZIALĂ NR. 1 MOTRU",68,"MUNICIPIUL MOTRU",78141,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 10:19:04",1489,1480,0,9,0,676,667,0,9,0,655,21,1700,1024,267,88,251,18,31
20,GORJ,"ŞCOALA GIMNAZIALĂ NR. 2 MOTRU",59,"MUNICIPIUL MOTRU",78141,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 07:12:10",1368,1348,0,18,2,635,615,0,18,2,587,30,1500,865,196,67,265,11,48
20,GORJ,"ŞCOALA HORĂŞTI",69,"MUNICIPIUL MOTRU",78141,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 04:11:00",373,354,0,7,12,230,211,0,7,12,222,8,400,170,90,75,51,3,3
20,GORJ,"ŞCOALA LEURDA",70,"MUNICIPIUL MOTRU",78141,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:40:57",614,609,0,5,0,344,339,0,5,0,329,15,800,456,146,41,136,2,4
20,GORJ,"ŞCOALA PRIMARĂ PLOŞTINA",71,"MUNICIPIUL MOTRU",78141,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:14:10",971,964,0,6,1,578,571,0,6,1,565,13,1100,522,190,56,299,11,9
20,GORJ,"ŞCOALA PRIMARĂ ROŞIUŢA",73,"MUNICIPIUL MOTRU",78141,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:33:07",432,423,0,9,0,281,272,0,9,0,269,6,545,270,79,30,145,9,6
20,GORJ,"ŞCOALA RÂPA",72,"MUNICIPIUL MOTRU",78141,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:34:33",255,247,0,8,0,155,147,0,8,0,154,1,300,145,48,14,83,3,6
20,GORJ,"ȘCOALA SFÂNTUL IOAN",64,"MUNICIPIUL MOTRU",78141,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 10:52:51",1105,1097,1,6,1,471,464,0,6,1,459,12,1200,729,210,48,169,11,21
20,GORJ,"SEDIUL IMPOZITE ŞI TAXE LOCALE MOTRU",67,"MUNICIPIUL MOTRU",78141,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:15:49",1491,1478,2,10,1,709,698,0,10,1,686,23,1700,991,263,89,270,38,26
