precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi","PARTIDUL NAȚIONAL CONSERVATOR ROMÂN-voturi","PARTIDUL VERTICALA NOUĂ-voturi","FORȚA DREPTEI-voturi","UNIUNEA UCRAINENILOR DIN ROMÂNIA-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL PATRIOȚILOR-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi"
26,MARAMUREŞ,"ADMINISTRAȚIA BAZELOR SPORTIVE",47,"MUNICIPIUL BAIA MARE",106318,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:11:01",1390,1373,5,12,0,637,625,0,12,0,607,18,1504,879,155,129,38,31,10,15,5,81,25,2,5,1,103,7
26,MARAMUREŞ,"AGENȚIA DE PLĂȚI ȘI INTERVENȚIE PENTRU AGRICULTURĂ MARAMUREȘ",1,"MUNICIPIUL BAIA MARE",106318,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 12:07:58",1741,1711,16,14,0,917,903,0,14,0,893,24,1800,883,251,181,30,72,10,11,8,121,26,3,10,5,145,20
26,MARAMUREŞ,"ANSAMBLUL FOLCLORIC NAȚIONAL „TRANSILVANIA”",42,"MUNICIPIUL BAIA MARE",106318,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 09:59:42",1309,1286,12,11,0,579,556,12,11,0,556,14,1400,830,125,118,59,25,5,22,2,60,20,2,3,5,99,11
26,MARAMUREŞ,"BIBLIOTECA JUDEȚEANĂ „PETRE DULFU”",50,"MUNICIPIUL BAIA MARE",106318,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:18:30",1206,1195,1,9,1,623,613,0,9,1,610,13,1303,680,103,126,139,27,8,15,3,40,32,2,6,2,91,16
26,MARAMUREŞ,"CĂMIN CULTURAL",318,FĂRCAŞA,108106,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:21:05",463,427,5,23,8,325,291,3,23,8,316,8,500,176,70,189,2,19,0,2,1,21,4,0,0,0,6,2
26,MARAMUREŞ,"CĂMIN CULTURAL",280,CICÂRLĂU,107662,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:00:14",1164,1137,1,26,0,642,616,0,26,0,584,32,1300,684,361,108,3,44,6,11,0,6,11,0,1,0,17,16
26,MARAMUREŞ,"CĂMIN CULTURAL",256,"BOGDAN VODĂ",107403,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:43:15",537,494,0,16,27,260,217,0,16,27,225,35,500,240,50,154,0,10,1,0,1,1,0,4,1,0,2,1
26,MARAMUREŞ,"CĂMIN CULTURAL",277,CICÂRLĂU,107662,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:10:05",1928,1907,2,13,6,922,903,0,13,6,906,16,2080,1158,453,259,6,30,5,16,2,34,24,0,5,3,44,25
26,MARAMUREŞ,"CĂMIN CULTURAL",317,FĂRCAŞA,108106,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:49:30",628,592,0,20,16,322,286,0,20,16,307,15,600,278,82,160,0,19,5,4,0,9,4,1,1,0,17,5
26,MARAMUREŞ,"CĂMIN CULTURAL",378,REMEŢI,108552,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:41:04",319,315,0,3,1,152,148,0,3,1,133,19,400,248,41,31,35,3,0,1,0,0,2,8,0,0,3,9
