precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","SECARĂ SORIN-voturi"
41,VRANCEA,"LICEUL TEORETIC ”GRIGORE GHEBA” DUMITREȘTI",155,DUMITREŞTI,175983,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:45:26",615,576,0,19,20,431,392,0,19,20,403,9,652,240,223,74,32,30,44
41,VRANCEA,"ȘCOALA GIMNAZIALĂ LĂSTUNI",161,DUMITREŞTI,175983,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 03:05:51",269,245,0,11,13,186,163,0,11,12,182,4,267,81,134,18,27,1,2
41,VRANCEA,"ȘCOALA PRIMARĂ BICEȘTII DE JOS",156,DUMITREŞTI,175983,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 14:26:34",555,537,0,7,11,350,332,0,7,11,305,27,601,269,228,27,37,8,5
41,VRANCEA,"ȘCOALA PRIMARĂ BICEȘTII DE SUS",157,DUMITREŞTI,175983,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 09:23:29",570,534,0,16,20,447,411,0,16,20,403,38,609,168,201,126,41,3,32
41,VRANCEA,"ȘCOALA PRIMARĂ DUMITREȘTII DE SUS",158,DUMITREŞTI,175983,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:03:47",215,206,0,6,3,158,149,0,6,3,151,7,231,73,96,29,12,6,8
41,VRANCEA,"ȘCOALA PRIMARĂ DUMITREȘTII - FAȚĂ",159,DUMITREŞTI,175983,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:44:31",172,156,0,9,7,124,108,0,9,7,113,11,171,47,83,17,7,0,6
41,VRANCEA,"ȘCOALA PRIMARĂ GĂLOIEȘTI",160,DUMITREŞTI,175983,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:33:47",472,454,1,12,5,324,307,0,12,5,311,13,495,171,234,42,15,12,8
41,VRANCEA,"ȘCOALA PRIMARĂ MOTNĂU",162,DUMITREŞTI,175983,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 11:55:50",235,217,0,7,11,188,170,0,7,11,179,9,258,70,102,45,11,13,8
41,VRANCEA,"ȘCOALA PRIMARĂ POIENIȚA",163,DUMITREŞTI,175983,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:01:10",176,159,0,6,11,148,132,0,6,10,146,2,185,37,124,9,11,1,1
41,VRANCEA,"ȘCOALA PRIMARĂ TINOASA",164,DUMITREŞTI,175983,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:42:01",129,109,0,13,7,103,83,0,13,7,102,1,118,15,82,2,11,5,2
41,VRANCEA,"ȘCOALA PRIMARĂ TRESTIA",165,DUMITREŞTI,175983,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:08:13",120,110,0,5,5,90,80,0,5,5,86,4,122,32,59,14,8,5,0
