precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL LEGE EDUCAȚIE UNITATE-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","ILIEŞ BOGDAN-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","PARTIDUL PRO ROMÂNIA-voturi"
33,SĂLAJ,"ŞCOALA GIMNAZIALĂ ”CORNELIU COPOSU”",25,"MUNICIPIUL ZALĂU",139704,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:15:33",1176,1167,0,9,0,585,576,0,9,0,566,19,1350,765,1,36,63,102,249,87,8,13,7
33,SĂLAJ,"ŞCOALA GIMNAZIALĂ ”CORNELIU COPOSU”",24,"MUNICIPIUL ZALĂU",139704,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:22:23",1211,1211,0,0,0,463,463,0,0,0,448,15,1450,987,2,39,46,90,205,40,5,18,3
33,SĂLAJ,"ŞCOALA GIMNAZIALĂ ”CORNELIU COPOSU”",23,"MUNICIPIUL ZALĂU",139704,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:25:52",1440,1430,0,10,0,573,563,0,10,0,562,11,1600,1027,2,36,53,95,276,59,12,19,10
33,SĂLAJ,"ȘCOALA GIMNAZIALĂ ”CORNELIU COPOSU”",22,"MUNICIPIUL ZALĂU",139704,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:37:54",1237,1224,4,8,1,468,459,0,8,1,464,4,1400,932,1,34,51,79,236,32,9,16,6
33,SĂLAJ,"ŞCOALA GIMNAZIALĂ ”GHEORGHE LAZĂR”",12,"MUNICIPIUL ZALĂU",139704,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 11:41:31",1710,1697,4,6,3,779,770,0,6,3,762,17,1900,1121,1,56,79,137,342,99,7,29,12
33,SĂLAJ,"ŞCOALA GIMNAZIALĂ ”IULIU MANIU”",17,"MUNICIPIUL ZALĂU",139704,4,PART,PRCNCT,CL,CL_SV,"2024-06-13 13:53:56",1629,1614,7,8,0,548,540,0,8,0,533,15,1798,1250,5,53,41,77,257,63,5,24,8
33,SĂLAJ,"ŞCOALA GIMNAZIALĂ ”MIHAI EMINESCU”",36,"MUNICIPIUL ZALĂU",139704,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:09:08",1533,1525,1,6,1,636,629,0,6,1,621,15,1700,1064,1,45,52,120,268,78,6,35,16
33,SĂLAJ,"ŞCOALA GIMNAZIALĂ ”POROLISSUM”",15,"MUNICIPIUL ZALĂU",139704,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:03:24",1691,1678,7,5,1,754,748,0,5,1,740,14,1860,1106,1,50,72,141,358,64,13,27,14
33,SĂLAJ,"ŞCOALA GIMNAZIALĂ ”POROLISSUM”",16,"MUNICIPIUL ZALĂU",139704,2,PART,PRCNCT,CL,CL_SV,"2024-06-13 13:47:36",1826,1811,8,7,0,823,816,0,7,0,808,15,1950,1127,2,56,72,175,368,66,20,36,13
33,SĂLAJ,"ȘCOALA GIMNAZIALĂ ”SIMION BĂRNUȚIU”",11,"MUNICIPIUL ZALĂU",139704,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:33:38",1410,1395,4,10,1,690,679,0,10,1,677,4,1900,1210,3,39,56,142,316,87,9,16,9
33,SĂLAJ,"ŞCOALA POSTLICEALĂ SANITARĂ",31,"MUNICIPIUL ZALĂU",139704,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:37:20",1264,1250,5,7,2,508,499,0,7,2,505,3,1450,942,1,36,35,81,262,64,6,14,6
33,SĂLAJ,"ŞCOALA PRIMARĂ STÎNA",39,"MUNICIPIUL ZALĂU",139704,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:43:02",231,221,0,9,1,114,104,0,9,1,111,3,300,186,0,9,3,17,77,0,4,0,1
33,SĂLAJ,"STADIONUL MUNICIPAL SEDIUL CLUBULUI SPORTIV MUNICIPAL",5,"MUNICIPIUL ZALĂU",139704,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:53:16",1343,1329,3,9,2,617,606,0,9,2,592,25,1400,772,1,34,51,94,244,128,10,20,10
