precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ALIANȚA ELECTORALĂ PSD PNL-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL ROMÂNIA MARE-voturi","PARTIDUL VERDE-voturi","PARTIDUL PRO ROMÂNIA-voturi","ROMÂNIA SOCIALISTĂ-voturi"
25,ILFOV,"AFTER SCHOOL DOMNESTI",215,DOMNEŞTI,102570,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:58:46",1824,1735,0,81,8,1089,1000,0,81,8,1062,27,1900,811,121,804,34,6,63,19,6,5,4
25,ILFOV,"AȘEZĂMÂNTUL SOCIAL AL BISERICII SF. DUMITRU",191,COPĂCENI,179588,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 18:50:33",1506,1494,1,9,2,982,971,0,9,2,982,0,1600,618,182,561,42,105,65,11,6,6,4
25,ILFOV,"BAZA SPORTIVĂ - CAMERA 12 (VESTIAR GAZDE)",277,"ŞTEFĂNEŞTII DE JOS",105419,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 11:52:57",1637,1601,0,23,13,1201,1165,0,23,13,1181,20,1700,478,26,1082,39,0,34,0,0,0,0
25,ILFOV,"CAMIN CULTURAL",182,CIOLPANI,101902,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:14:44",713,704,0,8,1,429,420,0,8,1,406,23,764,326,39,302,16,4,37,5,2,1,0
25,ILFOV,"CĂMINUL CULTURAL MULTIFUNCŢIONAL",235,GRĂDIŞTEA,103443,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:31:21",1651,1598,0,6,47,1191,1138,0,6,47,1074,62,1800,660,123,674,33,5,218,14,0,2,5
25,ILFOV,"CASA DE CULTURĂ",121,"ORAŞ VOLUNTARI",179551,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:46:04",1802,1770,13,16,3,934,914,1,16,3,895,39,2000,1066,139,566,38,12,94,29,9,3,5
25,ILFOV,"CASA DE CULTURĂ GHERMĂNEŞTI",269,SNAGOV,105160,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:28:51",1387,1339,5,43,0,932,887,2,43,0,875,57,1500,568,104,611,37,3,71,18,17,7,7
25,ILFOV,"CASA DE CULTURĂ GHERMĂNEŞTI",270,SNAGOV,105160,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 11:30:37",1202,1163,2,35,2,852,814,1,35,2,820,30,1300,450,99,568,19,3,78,26,10,8,9
25,ILFOV,"CENTRUL DE ASISTENȚĂ DUPĂ PROGROMUL ȘCOLAR",283,TUNARI,105570,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:45:26",326,318,0,8,0,176,168,0,8,0,171,5,336,160,24,89,3,3,39,2,7,3,1
25,ILFOV,"CLĂDIREA AFTER SCHOOL",195,CORBEANCA,102160,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 12:11:30",1941,1863,29,48,1,1113,1056,8,48,1,1088,25,1998,885,99,301,17,11,603,12,32,10,3
