precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL PATRIOȚILOR QANON-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL LEGE EDUCAȚIE UNITATE-voturi","BOCIOAGĂ IULIU-CIPRIAN-voturi"
23,IALOMIŢA,"AGENȚIA NAȚIONALĂ DE ÎMBUNĂTĂȚIRI FUNCIARE – FILIALA IALOMIȚA",18,"MUNICIPIUL SLOBOZIA",92658,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:29:35",1352,1337,1,13,1,601,587,0,13,1,580,21,1497,896,175,52,225,59,8,9,29,23
23,IALOMIŢA,"CASA MUNICIPALĂ DE CULTURĂ „NICOLAE ROTARU”",13,"MUNICIPIUL SLOBOZIA",92658,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:40:59",1295,1288,2,4,1,494,489,0,4,1,474,20,1424,930,112,65,198,44,3,10,22,20
23,IALOMIŢA,"CENTRUL DE EDUCAȚIE NON-FORMALĂ",10,"MUNICIPIUL SLOBOZIA",92658,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:11:54",1370,1365,1,4,0,614,610,0,4,0,593,21,1550,936,139,60,283,41,2,12,29,27
23,IALOMIŢA,"COLEGIUL NAȚIONAL „MIHAI VITEAZUL” (FOST LICEU DE MATEMATICĂ-FIZICĂ)",5,"MUNICIPIUL SLOBOZIA",92658,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 07:20:50",1131,1125,0,6,0,499,493,0,6,0,488,11,1250,750,137,42,214,41,7,11,23,13
23,IALOMIŢA,"DIRECȚIA PENTRU AGRICULTURĂ JUDEȚEANĂ IALOMIȚA",11,"MUNICIPIUL SLOBOZIA",92658,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:19:25",933,927,0,6,0,364,358,0,6,0,344,19,1050,687,89,29,176,11,2,8,13,16
23,IALOMIŢA,"GRÃDINIŢA CU PROGRAM PRELUNGIT ”DUMBRAVA MINUNATĂ”",28,"MUNICIPIUL SLOBOZIA",92658,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:46:14",1280,1270,0,10,0,633,623,0,10,0,629,4,1455,822,160,52,264,71,7,11,39,25
23,IALOMIŢA,"GRĂDINIȚA CU PROGRAM PRELUNGIT „ PITICOT”",17,"MUNICIPIUL SLOBOZIA",92658,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:57:15",1448,1439,1,8,0,694,686,0,8,0,682,12,1600,906,207,56,303,73,0,6,13,24
23,IALOMIŢA,"LICEUL DE ARTE ”IONEL PERLEA”",27,"MUNICIPIUL SLOBOZIA",92658,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:07:09",1372,1362,2,6,2,652,644,0,6,2,644,8,1402,750,225,55,248,60,2,10,27,17
23,IALOMIŢA,"LICEUL DE ARTE ”IONEL PERLEA”",26,"MUNICIPIUL SLOBOZIA",92658,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:30:18",1130,1121,0,8,1,466,457,0,8,1,456,10,1250,784,129,37,199,46,4,4,15,22
23,IALOMIŢA,"LICEUL DE ARTE „IONEL PERLEA” - ATELIERELE DE CREAȚIE",29,"MUNICIPIUL SLOBOZIA",92658,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 10:15:12",1791,1781,0,9,1,904,894,0,9,1,874,30,1950,1046,255,80,386,65,4,10,57,17
23,IALOMIŢA,"LICEUL DE ARTE „IONEL PERLEA” (FOSTA ȘCOALA GENERALĂ NR. 1)",24,"MUNICIPIUL SLOBOZIA",92658,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:07:06",1052,1043,0,8,1,530,521,0,8,1,481,49,1150,620,156,32,217,43,3,2,7,21
23,IALOMIŢA,"LICEUL DE ARTE „IONEL PERLEA” (FOSTA ȘCOALA GENERALĂ NR. 1)",25,"MUNICIPIUL SLOBOZIA",92658,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:51:42",965,955,2,8,0,491,483,0,8,0,476,15,1050,559,149,41,182,51,2,10,25,16
23,IALOMIŢA,"LICEUL PEDAGOGIC ”MATEI BASARAB” (FOSTĂ ȘCOALA NORMALĂ)",6,"MUNICIPIUL SLOBOZIA",92658,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 12:12:27",1413,1405,0,8,0,646,638,0,8,0,631,15,1550,904,183,69,257,57,5,13,25,22
23,IALOMIŢA,"LICEUL TEHNOLOGIC”ALEXANDRU IOAN CUZA”(FOSTUL LICEU DE CONSTRUCȚII)",2,"MUNICIPIUL SLOBOZIA",92658,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:04:29",1383,1376,2,5,0,612,606,1,5,0,587,18,1500,895,183,66,243,41,4,7,28,15
23,IALOMIŢA,"LICEUL TEHNOLOGIC”ALEXANDRU IOAN CUZA”(FOSTUL LICEU DE CONSTRUCȚII)",1,"MUNICIPIUL SLOBOZIA",92658,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:30:40",1538,1517,5,8,8,606,590,0,8,8,586,20,1700,1094,162,75,270,31,1,13,16,18
23,IALOMIŢA,"LICEUL TEHNOLOGIC „ÎNĂLȚAREA DOMNULUI” (FOSTA ȘCOALA GENERALĂ NR. 6)",8,"MUNICIPIUL SLOBOZIA",92658,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:37:25",1430,1420,2,7,1,638,630,0,7,1,620,18,1603,965,166,61,240,55,12,10,43,33
23,IALOMIŢA,"LICEUL TEHNOLOGIC „ÎNĂLȚAREA DOMNULUI” (FOSTA ȘCOALA GENERALĂ NR. 6)",9,"MUNICIPIUL SLOBOZIA",92658,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:29:24",1245,1238,2,5,0,482,477,0,5,0,468,14,1410,928,121,52,225,27,2,8,17,16
23,IALOMIŢA,"LICEUL TEHNOLOGIC ”MIHAI EMINESCU” (LICEUL DE CHIMIE)",14,"MUNICIPIUL SLOBOZIA",92658,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:57:40",1042,1022,7,13,0,399,386,0,13,0,388,11,1150,751,109,47,170,29,2,3,18,10
23,IALOMIŢA,"MUZEUL NAȚIONAL AL AGRICULTURII",7,"MUNICIPIUL SLOBOZIA",92658,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:23:36",1424,1415,0,8,1,610,601,0,8,1,596,14,1600,990,165,72,239,57,10,8,26,19
23,IALOMIŢA,"PALATUL COPIILOR SLOBOZIA",22,"MUNICIPIUL SLOBOZIA",92658,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 08:25:11",1390,1377,2,11,0,649,638,0,11,0,633,16,1556,907,195,57,253,42,4,13,31,38
23,IALOMIŢA,"PALATUL COPIILOR SLOBOZIA",23,"MUNICIPIUL SLOBOZIA",92658,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:52:52",1148,1142,0,6,0,564,558,0,6,0,552,12,1250,686,170,44,215,62,4,14,23,20
23,IALOMIŢA,"S.C. DRUMURI ŞI PODURI IALOMIŢA",21,"MUNICIPIUL SLOBOZIA",92658,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:31:11",1682,1670,6,6,0,837,831,0,6,0,824,13,1854,1017,253,49,357,90,4,11,29,31
23,IALOMIŢA,"ŞCOALA GIMNAZIALÃ BORA",31,"MUNICIPIUL SLOBOZIA",92658,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 04:21:53",1028,1023,0,5,0,434,429,0,5,0,394,35,1154,725,171,38,150,11,0,5,15,4
23,IALOMIŢA,"ȘCOALA GIMNAZIALĂ BORA",30,"MUNICIPIUL SLOBOZIA",92658,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:57:03",762,747,0,15,0,319,304,0,15,0,313,6,850,531,137,29,113,8,1,11,11,3
23,IALOMIŢA,"ŞCOALA GIMNAZIALĂ ”GHEORGHE LAZĂR”",16,"MUNICIPIUL SLOBOZIA",92658,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:45:34",1378,1365,0,5,8,568,555,0,5,8,557,11,1500,932,145,97,211,40,4,10,24,26
23,IALOMIŢA,"ŞCOALA GIMNAZIALÃ ”GHEORGHE LAZĂR”",15,"MUNICIPIUL SLOBOZIA",92658,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:22:50",1472,1465,0,7,0,643,636,0,7,0,623,20,1600,957,150,69,272,48,4,11,48,21
23,IALOMIŢA,"ȘCOALA GIMNAZIALĂ NR. 3",4,"MUNICIPIUL SLOBOZIA",92658,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 07:24:17",899,891,0,8,0,381,373,0,8,0,373,8,996,615,100,42,148,43,3,7,22,8
23,IALOMIŢA,"ȘCOALA GIMNAZIALĂ NR. 3",3,"MUNICIPIUL SLOBOZIA",92658,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 10:50:10",1076,1061,0,10,5,421,406,0,10,5,407,14,1200,779,112,52,163,41,1,8,16,14
23,IALOMIŢA,"ŞCOALA GIMNAZIALÃ NR.5 SLOBOZIA NOUÃ",32,"MUNICIPIUL SLOBOZIA",92658,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:49:12",1049,1043,0,6,0,509,503,0,6,0,482,18,1150,650,124,65,231,19,1,8,22,12
23,IALOMIŢA,"ŞCOALA GIMNAZIALÃ NR.5 SLOBOZIA NOUÃ",33,"MUNICIPIUL SLOBOZIA",92658,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:48:54",996,988,1,7,0,468,461,0,7,0,444,24,967,499,113,61,206,14,1,3,33,13
23,IALOMIŢA,"ŞCOALA GIMNAZIALĂ ”SF. ANDREI”",19,"MUNICIPIUL SLOBOZIA",92658,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:04:24",1465,1454,3,8,0,677,669,0,8,0,656,21,1600,923,206,47,290,51,1,9,20,32
23,IALOMIŢA,"ȘCOALA GIMNAZIALĂ „SF. ANDREI”",20,"MUNICIPIUL SLOBOZIA",92658,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:35:35",1324,1312,0,12,0,632,620,0,12,0,619,13,1452,820,193,56,255,53,1,7,33,21
23,IALOMIŢA,"SEMINARUL TEOLOGIC ORTODOX ”SF. IOAN GURĂ DE AUR”,",12,"MUNICIPIUL SLOBOZIA",92658,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:43:18",887,881,1,5,0,422,417,0,5,0,406,16,1000,578,92,46,180,37,0,13,26,12
