precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"OLĂRAŞU COSMIN-ALIN-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","PARTIDUL NAȚIONAL CONSERVATOR ROMÂN-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi"
22,HUNEDOARA,"ADĂPOSTUL DE URGENŢĂ PE TIMP DE NOAPTE",43,"MUNICIPIUL DEVA",86687,4,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 18:50:36",882,873,3,4,2,450,444,0,4,2,403,41,900,456,19,165,75,5,77,35,7,4,16
22,HUNEDOARA,"AFTER SCHOOL",318,BUCEŞ,88788,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:08:02",331,324,0,3,4,228,221,0,3,4,203,25,340,112,1,67,53,1,73,5,2,0,1
22,HUNEDOARA,"AMFITEATRUL UNIVERSITĂȚII",143,"MUNICIPIUL PETROŞANI",86990,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:44:06",1300,1289,2,9,0,454,445,0,9,0,435,19,1400,946,16,169,94,2,68,46,3,10,27
22,HUNEDOARA,"ASOCIAȚIA COMPOSESORALĂ ”NOBIL” ZEICANI - MAGAZIN ZEICANI",455,SARMIZEGETUSA,91054,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:03:15",90,82,0,1,7,70,62,0,1,7,68,2,101,31,0,33,9,1,19,2,0,0,4
22,HUNEDOARA,"BIBLIOTECA MUNICIPALĂ PETROȘANI",156,"MUNICIPIUL PETROŞANI",86990,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:53:32",1392,1383,1,8,0,493,485,0,8,0,458,35,1500,1007,27,196,122,12,53,14,4,11,19
22,HUNEDOARA,"BIBLIOTECA MUNICIPALĂ PETROȘANI",157,"MUNICIPIUL PETROŞANI",86990,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:26:54",1642,1615,0,3,24,544,517,0,3,24,517,27,1800,1256,29,222,150,5,37,31,20,3,20
22,HUNEDOARA,"CĂMIN CULTURAL BOŞ (GRĂDINIŢA)",107,"MUNICIPIUL HUNEDOARA",86810,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:40:58",514,503,2,9,0,224,215,0,9,0,219,5,550,326,6,101,28,13,30,20,2,0,19
22,HUNEDOARA,"CĂMIN CULTURAL MERIA",394,"LUNCA CERNII DE JOS",90119,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 00:59:06",191,191,0,0,0,159,159,0,0,0,140,19,210,51,0,12,12,0,86,27,0,0,3
22,HUNEDOARA,"CĂMIN CULTURAL MUNCELU MARE",514,VEŢEL,91982,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-09 23:55:16",59,51,0,8,0,38,30,0,8,0,37,1,73,35,0,9,7,1,15,0,0,0,5
22,HUNEDOARA,"CĂMIN CULTURAL NEGOIU",395,"LUNCA CERNII DE JOS",90119,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 00:02:30",155,143,7,5,0,103,98,0,5,0,101,2,160,57,0,18,9,0,69,3,0,1,1
