precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","BOCIOAGĂ IULIU-CIPRIAN-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL LEGE EDUCAȚIE UNITATE-voturi","PARTIDUL PATRIOȚILOR QANON-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi"
23,IALOMIŢA,"AGENȚIA NAȚIONALĂ DE ÎMBUNĂTĂȚIRI FUNCIARE – FILIALA IALOMIȚA",18,"MUNICIPIUL SLOBOZIA",92658,2,PART,PRCNCT,CL,CL_SV,"2024-06-13 15:29:32",1351,1336,1,13,1,601,587,0,13,1,580,21,1497,896,59,9,23,225,29,8,52,175
23,IALOMIŢA,"CASA MUNICIPALĂ DE CULTURĂ „NICOLAE ROTARU”",13,"MUNICIPIUL SLOBOZIA",92658,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:40:59",1295,1288,2,4,1,494,489,0,4,1,474,20,1424,930,44,10,20,198,22,3,65,112
23,IALOMIŢA,"CENTRUL DE EDUCAȚIE NON-FORMALĂ",10,"MUNICIPIUL SLOBOZIA",92658,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:32:19",1370,1365,1,4,0,614,610,0,4,0,593,21,1550,936,41,12,27,283,29,2,60,139
23,IALOMIŢA,"COLEGIUL NAȚIONAL „MIHAI VITEAZUL” (FOST LICEU DE MATEMATICĂ-FIZICĂ)",5,"MUNICIPIUL SLOBOZIA",92658,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 10:09:59",1131,1125,0,6,0,499,493,0,6,0,488,11,1250,750,41,11,13,214,23,7,42,137
23,IALOMIŢA,"DIRECȚIA PENTRU AGRICULTURĂ JUDEȚEANĂ IALOMIȚA",11,"MUNICIPIUL SLOBOZIA",92658,3,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:26:48",933,927,0,6,0,364,358,0,6,0,344,20,1050,686,11,8,16,176,13,2,29,89
23,IALOMIŢA,"GRÃDINIŢA CU PROGRAM PRELUNGIT ”DUMBRAVA MINUNATĂ”",28,"MUNICIPIUL SLOBOZIA",92658,2,PART,PRCNCT,CL,CL_SV,"2024-06-13 15:22:03",1281,1270,1,10,0,633,623,0,10,0,629,4,1455,822,71,11,25,264,39,7,52,160
23,IALOMIŢA,"GRĂDINIȚA CU PROGRAM PRELUNGIT „ PITICOT”",17,"MUNICIPIUL SLOBOZIA",92658,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:57:15",1448,1439,1,8,0,694,686,0,8,0,682,12,1600,906,73,6,24,303,13,0,56,207
23,IALOMIŢA,"LICEUL DE ARTE ”IONEL PERLEA”",27,"MUNICIPIUL SLOBOZIA",92658,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:07:09",1372,1362,2,6,2,652,644,0,6,2,644,8,1402,750,60,10,17,248,27,2,55,225
23,IALOMIŢA,"LICEUL DE ARTE ”IONEL PERLEA”",26,"MUNICIPIUL SLOBOZIA",92658,3,PART,PRCNCT,CL,CL_SV,"2024-06-13 15:27:53",1129,1120,0,8,1,466,457,0,8,1,456,10,1250,784,46,4,22,199,15,4,37,129
23,IALOMIŢA,"LICEUL DE ARTE „IONEL PERLEA” - ATELIERELE DE CREAȚIE",29,"MUNICIPIUL SLOBOZIA",92658,2,PART,PRCNCT,CL,CL_SV,"2024-06-13 15:15:31",1795,1781,4,9,1,904,894,0,9,1,874,30,1950,1046,65,10,17,386,57,4,80,255
