precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"NAȚIUNE OAMENI ÎMPREUNĂ-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","FORȚA DREPTEI-voturi","PARTIDUL PRO ROMÂNIA-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL ROMÂNIA MARE-voturi","PARTIDUL MIȘCAREA ROMÂNIA SUVERANĂ-voturi","ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA""-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANŢA PENTRU REFORMĂ ECHITATE SOCIALĂ EMANCIPARE ŞI LIBERTATE-voturi"
40,VÂLCEA,"COLEGIUL NAȚIONAL GIB MIHĂESCU",100,"MUNICIPIUL DRĂGĂŞANI",167981,2,PART,PRCNCT,CL,CL_SV,"2024-06-13 09:33:14",1437,1425,1,11,0,717,706,0,11,0,696,21,1570,853,49,108,191,102,3,38,6,12,2,182,3
40,VÂLCEA,"GRĂDINIȚA CAPUL DEALULUI",105,"MUNICIPIUL DRĂGĂŞANI",167981,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:36:44",754,738,2,8,6,387,373,0,8,6,367,20,820,433,22,111,67,44,1,8,2,8,1,101,2
40,VÂLCEA,"GRĂDINIŢA CU PROGRAM NORMAL NR. 8",103,"MUNICIPIUL DRĂGĂŞANI",167981,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:08:07",596,588,0,8,0,223,215,0,8,0,177,46,669,446,0,14,32,90,0,2,0,0,0,10,29
40,VÂLCEA,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR. 2",96,"MUNICIPIUL DRĂGĂŞANI",167981,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:23:38",1226,1215,0,11,0,554,543,0,11,0,531,20,1340,786,31,111,120,82,3,22,4,8,2,146,2
40,VÂLCEA,"GRĂDINIŢA I.C. BRĂTIANU",97,"MUNICIPIUL DRĂGĂŞANI",167981,3,PART,PRCNCT,CL,CL_SV,"2024-06-13 10:21:43",866,858,0,8,0,469,461,0,8,0,412,57,950,481,16,115,68,61,16,11,8,6,15,88,8
40,VÂLCEA,"LICEUL TEHNOLOGIC BRĂTIANU",94,"MUNICIPIUL DRĂGĂŞANI",167981,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:32:49",1328,1315,3,10,0,596,585,1,10,0,556,40,1450,854,50,127,120,66,4,13,8,1,1,161,5
40,VÂLCEA,"LICEUL TEHNOLOGIC BRĂTIANU",95,"MUNICIPIUL DRĂGĂŞANI",167981,4,PART,PRCNCT,CL,CL_SV,"2024-06-12 17:53:42",1226,1216,2,8,0,541,533,0,8,0,511,30,1350,809,38,137,92,71,4,17,3,3,0,145,1
40,VÂLCEA,"LICEUL TEHNOLOGIC BRĂTIANU - ȘCOALA PROFESIONALĂ",101,"MUNICIPIUL DRĂGĂŞANI",167981,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:00:00",1176,1165,0,11,0,603,592,0,11,0,555,48,1320,717,21,136,120,98,29,13,9,7,8,74,40
40,VÂLCEA,"ŞCOALA GIMNAZIALĂ NR. 5",104,"MUNICIPIUL DRĂGĂŞANI",167981,2,PART,PRCNCT,CL,CL_SV,"2024-06-11 20:36:36",695,690,0,5,0,351,346,0,5,0,331,20,760,409,15,55,84,44,3,9,4,11,1,103,2
40,VÂLCEA,"ŞCOALA GIMNAZIALĂ NR. 8 (BÂRSANU)",102,"MUNICIPIUL DRĂGĂŞANI",167981,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:11:36",841,832,0,7,2,455,446,0,7,2,435,20,920,465,13,103,95,66,7,11,2,8,5,115,10
40,VÂLCEA,"ŞCOALA NICOLAE BĂLCESCU",99,"MUNICIPIUL DRĂGĂŞANI",167981,2,PART,PRCNCT,CL,CL_SV,"2024-06-11 20:20:15",1190,1173,1,15,1,650,634,0,15,1,633,17,1300,650,59,95,157,95,8,22,9,6,2,176,4
40,VÂLCEA,"ȘCOALA NICOLAE BĂLCESCU",98,"MUNICIPIUL DRĂGĂŞANI",167981,2,PART,PRCNCT,CL,CL_SV,"2024-06-11 20:04:49",1172,1161,1,10,0,608,598,0,10,0,573,35,1280,672,34,105,119,99,2,33,9,18,2,150,2
40,VÂLCEA,"ŞCOALA TUDOR VLADIMIRESCU",93,"MUNICIPIUL DRĂGĂŞANI",167981,4,PART,PRCNCT,CL,CL_SV,"2024-06-11 21:01:09",1170,1159,1,9,1,583,573,0,9,1,564,19,1270,687,40,106,130,99,2,32,10,6,1,134,4
40,VÂLCEA,"ŞCOALA TUDOR VLADIMIRESCU",92,"MUNICIPIUL DRĂGĂŞANI",167981,2,PART,PRCNCT,CL,CL_SV,"2024-06-11 20:25:25",1282,1269,0,13,0,669,656,0,13,0,642,27,1400,731,89,84,137,96,5,41,14,11,0,162,3
40,VÂLCEA,"ȘCOALA ZLĂTĂREI",106,"MUNICIPIUL DRĂGĂŞANI",167981,2,PART,PRCNCT,CL,CL_SV,"2024-06-11 20:15:38",1164,1157,3,4,0,638,633,1,4,0,594,44,1270,632,37,89,156,72,2,20,5,8,1,200,4
