precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"BÎRSAN CRISTIAN-CLAUDIU-PARTIDUL NAȚIONAL LIBERAL-voturi","CIUNT IONEL-PARTIDUL SOCIAL DEMOCRAT-voturi","OLAR GABRIELA-CARMEN-ALIANȚA DREAPTA UNITĂ USR - PMP-voturi","FAZAKAS NICOLAE-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","TALOŞ IOAN-DANIEL-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PRUNEAN ALIN-COSTEL-PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi"
33,SĂLAJ,"CASA MUNICIPALĂ DE CULTURĂ",2,"MUNICIPIUL ZALĂU",139704,1,PROV,PRCNCT,P,P_SV,"2024-06-10 07:36:23",1881,1852,15,8,6,948,934,0,8,6,937,11,2050,1087,114,379,31,354,34,25
33,SĂLAJ,"CLĂDIREA TRANSILVANIA",10,"MUNICIPIUL ZALĂU",139704,1,PART,PRCNCT,P,P_SV,"2024-06-10 10:11:30",1336,1312,13,10,1,638,627,0,10,1,626,12,1400,762,93,348,36,89,38,22
33,SĂLAJ,"CLUB S.C. COMPANIA DE APĂ SOMEŞ S.A. SUCURSALA MUNICIPIULUI ZALĂU",37,"MUNICIPIUL ZALĂU",139704,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:22:19",1206,1199,2,5,0,484,479,0,5,0,472,12,1350,866,68,260,27,60,28,29
33,SĂLAJ,"COLEGIUL NAŢIONAL ”SILVANIA”",1,"MUNICIPIUL ZALĂU",139704,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:27:16",1908,1859,38,9,2,982,970,1,9,2,970,12,2056,1074,164,453,54,230,24,45
33,SĂLAJ,"COLEGIUL TEHNIC ”ALESANDRU PAPIU ILARIAN”",33,"MUNICIPIUL ZALĂU",139704,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:47:32",1062,1056,0,6,0,401,395,0,6,0,392,9,1200,799,42,219,17,52,24,38
33,SĂLAJ,"COLEGIUL TEHNIC ”ALESANDRU PAPIU ILARIAN”",34,"MUNICIPIUL ZALĂU",139704,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:46:32",881,874,0,7,0,365,358,0,7,0,360,5,1000,635,38,216,22,58,15,11
33,SĂLAJ,"DIRECŢIA DE SĂNĂTATE PUBLICĂ SĂLAJ",9,"MUNICIPIUL ZALĂU",139704,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:37:24",1074,1049,14,11,0,533,522,0,11,0,529,4,1150,617,82,284,21,98,29,15
33,SĂLAJ,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”LICURICI”",29,"MUNICIPIUL ZALĂU",139704,1,PROV,PRCNCT,P,P_SV,"2024-06-10 10:24:35",1636,1619,4,10,3,623,610,0,10,3,595,28,1850,1223,82,335,47,56,46,29
33,SĂLAJ,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 1",3,"MUNICIPIUL ZALĂU",139704,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:12:07",1859,1832,20,6,1,894,887,0,6,1,880,14,2000,1106,106,450,35,210,27,52
33,SĂLAJ,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”PITICII ISTEȚI”",32,"MUNICIPIUL ZALĂU",139704,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:35:08",1529,1495,2,10,22,632,599,1,10,22,630,2,1650,1018,69,405,32,46,48,30
33,SĂLAJ,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”VOINICEL”",18,"MUNICIPIUL ZALĂU",139704,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:29:50",924,915,0,9,0,344,335,0,9,0,341,3,1000,656,46,202,31,29,23,10
33,SĂLAJ,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”VOINICEL”",19,"MUNICIPIUL ZALĂU",139704,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:42:50",1080,1076,0,4,0,372,368,0,4,0,367,5,1200,828,34,220,23,43,26,21
33,SĂLAJ,"LICEUL CU PROGRAM SPORTIV ”AVRAM IANCU”",7,"MUNICIPIUL ZALĂU",139704,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:20:33",1764,1756,0,8,0,684,676,0,8,0,671,13,1900,1216,82,401,28,103,31,26
33,SĂLAJ,"LICEUL CU PROGRAM SPORTIV ”AVRAM IANCU”",6,"MUNICIPIUL ZALĂU",139704,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:39:07",1939,1906,21,4,8,996,984,0,4,8,993,3,2100,1104,161,561,57,116,35,63
33,SĂLAJ,"LICEUL CU PROGRAM SPORTIV ”AVRAM IANCU”",8,"MUNICIPIUL ZALĂU",139704,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:15:11",1658,1648,3,5,2,709,702,0,5,2,697,12,1800,1091,87,377,48,121,29,35
