precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"POTOR DĂNUŢ-ALEXANDRU-PARTIDUL SOCIAL DEMOCRAT-voturi","MUSGOCI NINA-PARTIDUL PATRIOȚILOR QANON-voturi","SOARE DRAGOŞ-PARTIDUL NAȚIONAL LIBERAL-voturi","BOCIOAGĂ IULIU-CIPRIAN-voturi","BOANCĂ RODICA-PARTIDUL LEGE EDUCAȚIE UNITATE-voturi","GAE IONEL-PARTIDUL UMANIST SOCIAL LIBERAL-voturi","RADU PAROŞ-MIHĂIŢĂ-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","TĂNĂSESCU MIHAI-ANDREI-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
23,IALOMIŢA,"AGENȚIA NAȚIONALĂ DE ÎMBUNĂTĂȚIRI FUNCIARE – FILIALA IALOMIȚA",18,"MUNICIPIUL SLOBOZIA",92658,2,PART,PRCNCT,P,P_SV,"2024-06-13 15:30:27",1351,1336,1,13,1,601,587,0,13,1,589,12,1488,887,229,7,218,18,36,9,44,28
23,IALOMIŢA,"CASA MUNICIPALĂ DE CULTURĂ „NICOLAE ROTARU”",13,"MUNICIPIUL SLOBOZIA",92658,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:40:59",1295,1288,2,4,1,494,489,0,4,1,475,19,1450,956,212,5,135,20,21,10,43,29
23,IALOMIŢA,"CENTRUL DE EDUCAȚIE NON-FORMALĂ",10,"MUNICIPIUL SLOBOZIA",92658,2,PART,PRCNCT,P,P_SV,"2024-06-10 08:32:20",1370,1365,1,4,0,614,610,0,4,0,591,23,1550,936,268,2,177,24,37,10,41,32
23,IALOMIŢA,"COLEGIUL NAȚIONAL „MIHAI VITEAZUL” (FOST LICEU DE MATEMATICĂ-FIZICĂ)",5,"MUNICIPIUL SLOBOZIA",92658,2,PART,PRCNCT,P,P_SV,"2024-06-10 10:09:59",1131,1125,0,6,0,499,493,0,6,0,492,7,1246,747,202,7,168,17,29,12,37,20
23,IALOMIŢA,"DIRECȚIA PENTRU AGRICULTURĂ JUDEȚEANĂ IALOMIȚA",11,"MUNICIPIUL SLOBOZIA",92658,3,PART,PRCNCT,P,P_SV,"2024-06-10 09:26:48",933,927,0,6,0,364,358,0,6,0,353,11,1050,686,171,3,109,25,17,7,19,2
23,IALOMIŢA,"GRÃDINIŢA CU PROGRAM PRELUNGIT ”DUMBRAVA MINUNATĂ”",28,"MUNICIPIUL SLOBOZIA",92658,2,PART,PRCNCT,P,P_SV,"2024-06-13 15:22:34",1281,1270,1,10,0,633,623,0,10,0,625,8,1449,816,265,6,202,29,40,7,40,36
23,IALOMIŢA,"GRĂDINIȚA CU PROGRAM PRELUNGIT „ PITICOT”",17,"MUNICIPIUL SLOBOZIA",92658,1,PART,PRCNCT,P,P_SV,"2024-06-10 09:57:14",1448,1439,1,8,0,694,686,0,8,0,680,14,1600,906,297,0,259,28,21,9,33,33
23,IALOMIŢA,"LICEUL DE ARTE ”IONEL PERLEA”",27,"MUNICIPIUL SLOBOZIA",92658,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:07:13",1372,1362,2,6,2,652,644,0,6,2,646,6,1413,761,237,1,268,27,33,13,41,26
23,IALOMIŢA,"LICEUL DE ARTE ”IONEL PERLEA”",26,"MUNICIPIUL SLOBOZIA",92658,3,PART,PRCNCT,P,P_SV,"2024-06-13 15:28:00",1129,1120,0,8,1,466,457,0,8,1,458,8,1250,784,191,5,159,27,12,4,32,28
23,IALOMIŢA,"LICEUL DE ARTE „IONEL PERLEA” - ATELIERELE DE CREAȚIE",29,"MUNICIPIUL SLOBOZIA",92658,2,PART,PRCNCT,P,P_SV,"2024-06-13 15:17:36",1795,1781,4,9,1,904,894,0,9,1,892,12,1942,1038,380,4,329,30,49,10,55,35
