precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALEXANDRU IONUŢ-CIPRIAN-UNIUNEA SALVAȚI ROMÂNIA-voturi","COBZARU SILE-PARTIDUL MIȘCAREA POPULARĂ-voturi","MINA MARIAN-PARTIDUL SOCIAL DEMOCRAT-voturi","PETCU TOMA-FLORIN-PARTIDUL NAȚIONAL LIBERAL-voturi","CÂNDEA IOSIF-DORIN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","BUDURU CONSTANTIN-PARTIDUL UMANIST SOCIAL LIBERAL-voturi"
19,GIURGIU,"CLĂDIRE DE INTERES PUBLIC",166,IZVOARELE,103899,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:33:06",105,53,0,45,7,84,32,0,45,7,84,0,113,29,0,0,11,71,1,1
19,GIURGIU,"CLUBUL CADRELOR MILITARE ÎN RETRAGERE",24,"MUNICIPIUL GIURGIU",100521,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-12 13:18:48",1470,1462,0,7,1,593,585,0,7,1,571,22,1608,1015,42,13,160,256,52,48
19,GIURGIU,"COLEGIUL NAŢIONAL ”ION MAIORESCU”",45,"MUNICIPIUL GIURGIU",100521,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:39:43",1012,1000,6,6,0,440,433,1,6,0,421,19,1124,684,27,11,121,207,28,27
19,GIURGIU,"COLEGIUL NAŢIONAL ”ION MAIORESCU”",44,"MUNICIPIUL GIURGIU",100521,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:56:10",825,809,6,10,0,410,400,0,10,0,387,23,884,474,21,10,124,183,24,25
19,GIURGIU,"COLEGIUL TEHNIC VICEAMIRAL IOAN BĂLĂNESCU",8,"MUNICIPIUL GIURGIU",100521,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:25:19",983,974,1,8,0,393,385,0,8,0,383,10,1078,685,21,6,131,147,52,26
19,GIURGIU,"CREȘA DE COPII CU PROGRAM NORMAL",150,GREACA,103470,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 10:45:43",1300,1168,0,78,54,947,815,0,78,54,929,18,1353,406,25,12,628,39,220,5
19,GIURGIU,"DIRECŢIA PENTRU AGRICULTURĂ JUDEŢEANĂ",15,"MUNICIPIUL GIURGIU",100521,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-12 15:41:35",1145,1137,0,8,0,476,468,0,8,0,444,32,1264,788,25,8,108,233,41,29
19,GIURGIU,"DISPENSAR UMAN IZVORU",141,GOGOŞARI,103309,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:53:57",507,481,0,10,16,348,322,0,10,16,344,4,545,197,4,1,25,309,5,0
19,GIURGIU,"FOSTA PRIMĂRIE",140,GOGOŞARI,103309,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 10:52:54",92,83,0,6,3,75,66,0,6,3,74,1,89,14,0,0,24,45,3,2
19,GIURGIU,"FOSTA ŞCOALA CU CLASELE I-IV PODU POPA NAE",130,GĂISENI,103087,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 21:10:01",124,118,0,3,3,89,83,0,3,3,88,1,132,43,2,0,13,62,11,0
19,GIURGIU,"FOSTA ŞCOALA RĂLEŞTI",142,GOGOŞARI,103309,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:08:14",129,120,0,6,3,86,77,0,6,3,85,1,131,45,1,0,22,55,7,0
19,GIURGIU,"GALERIILE DE ARTĂ",2,"MUNICIPIUL GIURGIU",100521,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:09:34",905,896,1,7,1,433,425,0,7,1,415,18,995,562,35,12,113,195,23,37
19,GIURGIU,"GRADINITA BRĂNIŞTARI",91,CĂLUGĂRENI,101662,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:57:53",563,538,2,23,0,343,320,0,23,0,326,17,590,247,6,8,106,168,35,3
19,GIURGIU,"GRĂDINIŢA CĂSUŢA FERMECATĂ",38,"MUNICIPIUL GIURGIU",100521,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-12 15:16:48",929,919,1,8,1,352,343,0,8,1,331,21,1022,670,10,5,120,134,45,17
19,GIURGIU,"GRĂDINIŢA CRIVINA",54,"ORAŞ BOLINTIN-VALE",101190,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:51:17",738,724,0,6,8,368,354,0,6,8,352,16,793,425,11,3,72,234,32,0
19,GIURGIU,"GRĂDINIŢA CU PN NR.3 NEAJLOV",95,CLEJANI,101984,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:59:26",1251,1142,1,60,48,1020,912,0,60,48,981,39,1294,274,2,2,42,903,32,0
19,GIURGIU,"GRĂDINIŢA CU PN NR.8 CĂRĂMIDARI",16,"MUNICIPIUL GIURGIU",100521,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-12 13:59:01",1699,1692,0,6,1,804,797,0,6,1,778,26,1851,1047,31,15,211,407,69,45
19,GIURGIU,"GRĂDINIŢA CU PN NR.9",36,"MUNICIPIUL GIURGIU",100521,5,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-12 15:14:08",887,877,1,8,1,287,278,0,8,1,274,13,971,684,19,12,97,94,35,17
19,GIURGIU,"GRĂDINIŢA CU PP NR.9",37,"MUNICIPIUL GIURGIU",100521,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-12 15:13:07",966,953,0,11,2,337,324,0,11,2,319,18,1058,721,13,13,115,114,42,22
19,GIURGIU,"GRĂDINIŢĂ CU PROGRAM NORMAL",219,STOENEŞTI,105348,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 10:10:47",377,295,2,55,25,326,246,0,55,25,315,11,354,28,0,4,28,272,10,1
19,GIURGIU,"GRĂDINIŢA CU PROGRAM NORMAL CARTOJANI",198,"ROATA DE JOS",104831,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 18:45:43",743,737,0,6,0,403,397,0,6,0,387,16,810,407,8,1,88,253,29,8
19,GIURGIU,"GRĂDINIȚA CU PROGRAM NORMAL CU 3 SĂLI DE GRUPĂ GHIMPAȚI",137,GHIMPAŢI,103238,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 14:16:44",1238,1089,1,35,113,828,680,0,35,113,826,2,1321,493,6,0,38,774,8,0
19,GIURGIU,"GRĂDINIŢA CU PROGRAM NORMAL GRĂDIŞTEA",103,COMANA,102106,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:06:23",1110,1043,0,19,48,693,626,0,19,48,671,22,1200,507,12,2,553,32,54,18
19,GIURGIU,"GRADINITA CU PROGRAM NORMAL NR. 1 BUDENI",101,COMANA,102106,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 17:57:39",623,577,0,28,18,380,334,0,28,18,354,26,649,269,0,1,286,17,45,5
19,GIURGIU,"GRĂDINIŢA CU PROGRAM NORMAL NR.1 PIETRIŞU",133,GĂUJANI,103194,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:59:47",853,766,0,54,33,611,524,0,54,33,568,43,846,235,198,3,222,102,40,3
19,GIURGIU,"GRADINITA CU PROGRAM NORMAL NR. 1 ROATA MICA",201,"ROATA DE JOS",104831,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:10:20",427,419,0,8,0,302,294,0,8,0,294,8,461,159,6,3,58,195,27,5
19,GIURGIU,"GRADINITA CU PROGRAM NORMAL NR. 2",155,HOTARELE,103639,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:39:29",567,515,0,49,3,435,383,0,49,3,423,12,569,134,12,3,155,193,41,19
19,GIURGIU,"GRADINITA CU PROGRAM NORMAL NR. 2 GORNENI",159,IEPUREŞTI,103693,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-12 14:51:53",563,492,1,65,5,458,388,0,65,5,427,31,466,8,6,18,182,187,26,8
19,GIURGIU,"GRADINIŢA CU PROGRAM NORMAL NR.2 PLOPŞORU",112,DAIA,102446,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 20:31:19",577,559,0,14,4,381,363,0,14,4,361,20,622,241,18,16,99,204,17,7
19,GIURGIU,"GRADINITA CU PROGRAM NORMAL NR. 3",157,HOTARELE,103639,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:11:54",600,552,0,46,2,464,416,0,46,2,451,13,611,147,10,2,164,236,37,2
19,GIURGIU,"GRĂDINIȚA CU PROGRAM NORMAL NR 3",60,"ORAŞ MIHĂILEŞTI",104136,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:19:51",1201,1137,0,64,0,906,842,0,64,0,881,25,1245,339,10,5,406,397,54,9
19,GIURGIU,"GRADINITA CU PROGRAM NORMAL NR 3 CETATEA",122,FRĂTEŞTI,102909,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:23:46",439,391,1,24,23,247,200,0,24,23,238,9,427,180,5,5,51,152,23,2
19,GIURGIU,"GRĂDINIȚA CU PROGRAM NORMAL NR. 3 ONCEŞTI",217,STĂNEŞTI,105295,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:49:15",332,279,2,29,22,219,168,0,29,22,202,17,303,84,7,2,38,130,17,8
19,GIURGIU,"GRĂDINIŢA CU PROGRAM NORMAL NR.3 PLOPŞORU",113,DAIA,102446,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 10:44:26",684,661,0,15,8,447,424,0,15,8,424,23,725,278,4,5,141,241,28,5
19,GIURGIU,"GRĂDINIŢA CU PROGRAM NORMAL NR. 3 STEJARU",211,SINGURENI,105106,4,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-12 18:42:27",570,525,0,28,17,468,423,0,28,17,450,18,600,132,3,0,286,108,51,2
19,GIURGIU,"GRADINITA CU PROGRAM NORMAL NR.3 VALEA BUJORULUI",168,IZVOARELE,103899,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:28:24",416,325,1,47,43,318,228,0,47,43,309,9,404,86,0,2,19,281,4,3
19,GIURGIU,"GRĂDINIȚA CU PROGRAM NORMAL NR. 3 VARLAAM",68,ADUNAŢII-COPĂCENI,100781,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:33:47",478,465,0,13,0,236,223,0,13,0,228,8,511,275,10,3,23,173,19,0
19,GIURGIU,"GRĂDINIȚA CU PROGRAM NORMAL NR. 4 BĂLANU",215,STĂNEŞTI,105295,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:13:43",475,443,0,23,9,296,264,0,23,9,292,4,489,193,15,0,49,206,18,4
19,GIURGIU,"GRADINITA CU PROGRAM NORMAL NR 4 CETATEA (BĂLĂNOAIA)",123,FRĂTEŞTI,102909,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 19:04:48",248,220,0,21,7,154,126,0,21,7,148,6,240,86,0,2,33,95,14,4
19,GIURGIU,"GRĂDINIȚA CU PROGRAM NORMAL NR. 4 MOGOŞEŞTI",67,ADUNAŢII-COPĂCENI,100781,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:46:25",375,366,0,9,0,220,211,0,9,0,211,9,401,181,9,3,36,133,28,2
19,GIURGIU,"GRĂDINIŢA CU PROGRAM NORMAL NR. 4 POŞTA",89,BUTURUGENI,101617,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 13:45:41",359,343,0,12,4,237,221,0,12,4,231,6,389,152,3,1,42,165,17,3
19,GIURGIU,"GRĂDINIŢA CU PROGRAM NORMAL NR.5 COPACIU",136,GHIMPAŢI,103238,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 14:10:17",669,608,1,9,51,441,380,1,9,51,438,3,724,283,3,0,10,419,6,0
19,GIURGIU,"GRĂDINIŢA CU PROGRAM NORMAL NR.6",25,"MUNICIPIUL GIURGIU",100521,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 12:32:18",1195,1187,2,5,1,498,492,0,5,1,480,18,1009,511,53,15,135,186,60,31
19,GIURGIU,"GRĂDINIȚA CU PROGRAM NORMAL NR. 6",81,BUCŞANI,101378,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 09:22:24",391,357,0,30,4,311,277,0,30,4,301,10,397,86,7,0,54,232,6,2
19,GIURGIU,"GRĂDINIŢA CU PROGRAM NORMAL NR.8 GORNENI",14,"MUNICIPIUL GIURGIU",100521,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:11:36",1210,1201,0,8,1,406,397,0,8,1,371,35,1327,921,19,12,110,162,44,24
19,GIURGIU,"GRĂDINIŢA CU PROGRAM PRELUNGIT",65,ADUNAŢII-COPĂCENI,100781,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 13:24:47",1158,1124,1,29,4,609,576,0,29,4,593,16,1230,621,19,6,57,470,37,4
19,GIURGIU,"GRĂDINIŢA DE COPII BOLINTIN - DEAL",77,BOLINTIN-DEAL,101163,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:24:13",965,947,5,8,5,488,473,2,8,5,456,32,1048,560,26,13,79,291,42,5
19,GIURGIU,"GRĂDINIŢA DE COPII COSOBA",105,COSOBA,179748,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 19:51:37",1106,1078,0,15,13,753,725,0,15,13,725,28,1191,438,186,4,218,224,86,7
19,GIURGIU,"GRĂDINIŢA DE COPII COSOBA",106,COSOBA,179748,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 20:03:47",1110,1100,0,2,8,758,748,0,2,8,738,20,1214,456,200,7,244,224,60,3
19,GIURGIU,"GRĂDINIŢA DE COPII SLOBOZIA",213,SLOBOZIA,100549,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 16:33:45",1105,1101,0,3,1,618,614,0,3,1,585,33,1206,588,10,2,420,95,35,23
19,GIURGIU,"GRĂDINIŢA ” IRIS” OGREZENI",182,OGREZENI,104485,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-12 09:27:08",808,770,0,24,14,564,526,0,24,14,550,14,860,296,58,3,140,315,29,5
19,GIURGIU,"GRĂDINIŢA ”MARIN MOGESCU”",225,ULMI,105623,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 17:42:17",669,653,0,16,0,458,442,0,16,0,441,17,715,257,41,7,230,32,44,87
19,GIURGIU,"GRADINITA NR. 2 BRANISTEA",185,OINACU,104519,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:43:44",787,703,3,18,63,593,512,0,18,63,584,9,847,254,4,1,33,530,14,2
19,GIURGIU,"GRADINITA NR. 3 COMASCA",186,OINACU,104519,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 14:41:02",549,510,0,4,35,345,306,0,4,35,330,15,560,215,1,2,27,289,10,1
19,GIURGIU,"GRADINITA NR.4 GHIONEA",226,ULMI,105623,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 15:40:48",466,458,2,6,0,308,302,0,6,0,296,12,505,197,38,8,106,29,20,95
19,GIURGIU,"LICEUL ”NICOLAE CARTOJAN”",10,"MUNICIPIUL GIURGIU",100521,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:22:07",1360,1349,1,10,0,522,512,0,10,0,505,17,1488,966,20,10,163,214,65,33
19,GIURGIU,"LICEUL ”NICOLAE CARTOJAN”",9,"MUNICIPIUL GIURGIU",100521,5,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-12 13:48:41",1169,1157,3,6,3,441,432,0,6,3,422,19,1280,839,17,9,149,185,39,23
19,GIURGIU,"LICEUL TEHNOLOGIC TIU DUMITRESCU",57,"ORAŞ MIHĂILEŞTI",104136,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-12 17:27:42",1106,1048,3,52,3,872,817,0,52,3,867,5,1138,266,23,4,283,500,46,11
19,GIURGIU,"LICEUL TEHNOLOGIC TIU DUMITRESCU",59,"ORAŞ MIHĂILEŞTI",104136,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-12 16:41:46",956,913,2,39,2,724,683,0,39,2,699,25,1009,285,17,11,268,346,50,7
19,GIURGIU,"LICEUL TEHNOLOGIC TIU DUMITRESCU",58,"ORAŞ MIHĂILEŞTI",104136,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-12 16:57:09",894,841,0,52,1,700,647,0,52,1,683,17,927,227,14,7,245,350,20,47
19,GIURGIU,"LICEUL ”TUDOR VIANU”",4,"MUNICIPIUL GIURGIU",100521,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:48:27",1067,1058,0,7,2,430,421,0,7,2,410,20,1195,765,14,11,129,161,67,28
19,GIURGIU,"LICEUL ”UDRIŞTE NĂSTUREL”",156,HOTARELE,103639,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 10:15:32",621,552,0,63,6,424,355,0,63,6,404,20,610,186,14,3,143,205,30,9
19,GIURGIU,"LICEUL ”UDRISTE NASTUREL HOTARELE",154,HOTARELE,103639,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 09:44:40",1088,987,0,96,5,812,711,0,96,5,772,40,1089,277,20,6,392,298,46,10
19,GIURGIU,"LICEU TEHNOLOGIC ”DIMITRIE BOLINTINEANU”",52,"ORAŞ BOLINTIN-VALE",101190,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:15:03",898,886,0,9,3,507,495,0,9,3,484,23,980,473,23,6,85,343,24,3
19,GIURGIU,"PRIMĂRIA COMUNEI DAIA",111,DAIA,102446,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:14:59",250,223,0,10,17,180,153,0,10,17,173,7,264,84,1,1,37,122,9,3
19,GIURGIU,"PRIMARIA COMUNEI PRUNDU",187,PRUNDU,104680,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:49:27",1630,1622,0,8,0,1010,1002,0,8,0,985,25,1786,776,11,1,79,767,111,16
19,GIURGIU,"PRIMĂRIA MUNICIPIULUI GIURGIU",3,"MUNICIPIUL GIURGIU",100521,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:33:06",1022,1014,1,7,0,394,387,0,7,0,372,22,1123,729,16,7,109,192,29,19
19,GIURGIU,"PRIMARIA SINGURENI",209,SINGURENI,105106,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-12 18:50:27",1104,1021,4,47,32,783,705,0,46,32,770,13,1152,369,11,5,443,252,52,7
19,GIURGIU,PRIMĂRIE,53,"ORAŞ BOLINTIN-VALE",101190,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:08:01",1757,1727,1,10,19,828,799,0,10,19,789,39,1923,1095,53,5,161,509,51,10
19,GIURGIU,"PUNCTUL TERMIC NR. 35",34,"MUNICIPIUL GIURGIU",100521,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:52:10",1115,1108,1,5,1,440,434,0,5,1,425,15,1232,792,36,12,144,162,40,31
19,GIURGIU,"PUNCTUL TERMIC NR.35",35,"MUNICIPIUL GIURGIU",100521,4,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-12 14:30:32",780,770,1,9,0,332,323,0,9,0,322,10,847,515,10,6,119,140,30,17
19,GIURGIU,"ŞCOALA CU CLASELE I-IV IANCULEŞTI",220,STOENEŞTI,105348,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:05:56",222,209,0,5,8,188,175,0,5,8,185,3,230,42,0,0,63,104,16,2
19,GIURGIU,"ŞCOALA CU CLASELE I-IV MIRĂU",221,STOENEŞTI,105348,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 11:14:06",138,117,0,17,4,108,87,0,17,4,100,8,129,21,2,10,40,35,12,1
19,GIURGIU,"ŞCOALA DIN CETĂTUIA",132,GĂUJANI,103194,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:58:28",177,132,2,30,13,138,94,1,30,13,130,8,158,20,35,3,53,22,15,2
