precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"DUBĂLARU EUGEN-IONUŢ-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","CARAGAŢĂ FLORIN-PARTIDUL LEGE EDUCAȚIE UNITATE-voturi","OANCEA SILVIU-FLORIN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PAVEL MARIAN-PARTIDUL SOCIAL DEMOCRAT-voturi","GAE IONEL-PARTIDUL UMANIST SOCIAL LIBERAL-voturi","TELEHUZ DRAGOŞ-COSTIN-PARTIDUL NAȚIONAL LIBERAL-voturi","PEIU GRIGORE-ADRIAN-PARTIDUL S.O.S. ROMÂNIA-voturi","COSTEA ADRIAN-PARTIDUL ALTERNATIVA DREAPTĂ-voturi"
23,IALOMIŢA,"AGENȚIA NAȚIONALĂ DE ÎMBUNĂTĂȚIRI FUNCIARE – FILIALA IALOMIȚA",18,"MUNICIPIUL SLOBOZIA",92658,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-12 22:54:47",1351,1336,1,13,1,601,587,0,13,1,577,24,1492,891,56,28,36,238,17,178,19,5
23,IALOMIŢA,"CĂMIN CULTURAL",218,"VALEA MĂCRIŞULUI",105794,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:55:22",361,339,0,5,17,248,226,0,5,17,235,13,400,152,46,1,8,169,1,5,5,0
23,IALOMIŢA,"CĂMIN CULTURAL",102,BALACIU,92907,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 09:52:49",389,329,0,12,48,255,195,0,12,48,234,21,400,145,27,3,20,105,4,60,15,0
23,IALOMIŢA,"CĂMIN CULTURAL",217,"VALEA MĂCRIŞULUI",105794,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:43:36",901,845,0,17,39,663,607,0,17,39,609,54,965,302,105,6,23,418,6,33,16,2
23,IALOMIŢA,"CĂMIN CULTURAL FRĂȚILEȘTI",203,SĂVENI,94376,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:49:01",344,344,0,0,0,172,172,0,0,0,159,13,413,241,52,0,19,79,0,7,2,0
23,IALOMIŢA,"CĂMIN CULTURAL GHIMPAŢI",128,CIULNIŢA,93156,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:34:10",201,196,0,5,0,137,132,0,5,0,131,6,200,63,4,0,8,71,1,47,0,0
23,IALOMIŢA,"CĂMIN CULTURAL ION GHICA",126,CIULNIŢA,93156,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:07:34",474,460,0,14,0,294,280,0,14,0,286,8,500,206,9,1,17,128,5,116,10,0
23,IALOMIŢA,"CĂMIN CULTURAL MIHAIL KOGĂLNICEANU",172,"MIHAIL KOGĂLNICEANU",93995,4,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 12:43:05",1354,1320,3,11,20,887,855,1,11,20,852,35,1484,597,86,17,84,449,56,116,37,7
23,IALOMIŢA,"CAMIN CULTURAL PLATONEŞTI",189,PLATONEŞTI,180000,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:19:17",748,717,1,21,9,480,450,0,21,9,464,16,800,320,106,1,49,287,1,4,14,2
23,IALOMIŢA,"CĂMIN CULTURAL POIANA - SALA DE FESTIVITĂȚI",127,CIULNIŢA,93156,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:55:39",355,350,0,5,0,222,217,0,5,0,216,6,400,178,16,0,11,120,1,58,9,1
