precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL VERTICALA NOUĂ-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","PARTIDUL VERDE-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","FORȚA DREPTEI-voturi","PARTIDUL PATRIOȚILOR-voturi","PARTIDUL NAȚIONAL CONSERVATOR ROMÂN-voturi","ZAINEA SERGIU-FLORIAN-voturi"
26,MARAMUREŞ,"ADMINISTRAȚIA BAZELOR SPORTIVE",47,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:11:01",1390,1373,5,12,0,637,625,0,12,0,609,16,1500,875,129,43,32,145,84,7,7,8,98,13,8,7,20,2,1,5
26,MARAMUREŞ,"AGENȚIA DE PLĂȚI ȘI INTERVENȚIE PENTRU AGRICULTURĂ MARAMUREȘ",1,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 12:07:55",1741,1711,16,14,0,917,903,0,14,0,898,19,1800,883,196,34,77,229,136,3,18,7,129,22,4,10,21,2,7,3
26,MARAMUREŞ,"ANSAMBLUL FOLCLORIC NAȚIONAL „TRANSILVANIA”",42,"MUNICIPIUL BAIA MARE",106318,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 09:59:42",1309,1286,12,11,0,579,556,12,11,0,556,14,1400,830,118,63,25,103,75,3,11,12,100,11,4,12,11,0,4,4
26,MARAMUREŞ,"BIBLIOTECA JUDEȚEANĂ „PETRE DULFU”",50,"MUNICIPIUL BAIA MARE",106318,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 08:18:30",1206,1195,1,9,1,623,613,0,9,1,612,11,1300,677,113,146,33,90,47,4,11,5,100,11,6,4,27,2,5,8
26,MARAMUREŞ,"CENTRUL COMUNITAR ROMANII",84,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:29:48",1116,1105,1,10,0,375,364,1,10,0,313,62,1300,925,49,27,30,108,11,1,27,9,19,1,5,1,21,0,3,1
26,MARAMUREŞ,"CENTRUL „PHOENIX”",71,"MUNICIPIUL BAIA MARE",106318,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:33:37",1332,1321,1,10,0,430,420,0,10,0,397,33,1500,1070,59,23,59,98,51,3,15,5,47,6,0,5,19,3,3,1
26,MARAMUREŞ,"CENTRUL „SALVAȚI FAMILIA”",83,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:53:28",1948,1935,2,11,0,780,769,0,11,0,769,11,2200,1420,170,54,56,145,119,7,19,11,123,13,9,8,17,0,11,7
26,MARAMUREŞ,"CENTRUL „SFÂNTUL FRANCISC DE ASSISI”",79,"MUNICIPIUL BAIA MARE",106318,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:27:42",1380,1370,2,8,0,475,467,0,8,0,455,20,1600,1125,74,27,40,109,59,6,13,8,69,6,4,7,9,3,11,10
26,MARAMUREŞ,"CENTRUL SOCIAL „ASSOC”",46,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:41:08",1397,1380,11,6,0,597,591,0,6,0,589,8,1600,1003,114,29,49,139,85,8,10,10,100,8,4,8,12,4,7,2
26,MARAMUREŞ,"CENTRUL UNIVERSITAR NORD - „FACULTATEA DE LITERE”",14,"MUNICIPIUL BAIA MARE",106318,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:36:53",1330,1310,10,9,1,610,599,1,9,1,590,20,1498,888,90,103,22,109,70,7,4,14,112,17,4,4,22,1,4,7
26,MARAMUREŞ,"CENTRUL UNIVERSITAR NORD - „FACULTATEA DE LITERE”",15,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:40:37",863,838,16,8,1,437,428,0,8,1,429,8,1000,563,83,63,9,80,43,4,7,6,77,15,4,5,26,2,2,3
26,MARAMUREŞ,"CENTRUL UNIVERSITAR NORD - „FACULTATEA TEHNICĂ”",7,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:31:49",1250,1234,1,15,0,478,463,0,15,0,464,14,489,11,65,55,29,108,58,4,13,11,65,17,5,8,14,0,4,8
26,MARAMUREŞ,"COLEGIUL NAȚIONAL „GHEORGHE ȘINCAI”",62,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:22:20",1548,1534,7,4,3,715,708,0,4,3,695,20,1700,985,124,119,37,140,63,4,6,4,120,23,2,7,33,2,6,5
26,MARAMUREŞ,"COLEGIUL NAȚIONAL „VASILE LUCACIU”",63,"MUNICIPIUL BAIA MARE",106318,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:00:59",1257,1241,7,9,0,511,502,0,9,0,499,12,1400,889,84,93,26,84,41,6,8,6,80,16,4,19,23,1,2,6
26,MARAMUREŞ,"COLEGIUL TEHNIC „ANGHEL SALIGNY”",69,"MUNICIPIUL BAIA MARE",106318,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 07:06:30",1562,1536,12,14,0,741,727,0,14,0,728,13,1700,959,159,109,29,144,62,9,10,16,122,15,5,10,28,0,5,5
26,MARAMUREŞ,"COLEGIUL TEHNIC „AUREL VLAICU”",6,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 12:00:22",1725,1712,6,7,0,673,666,0,7,0,659,14,1900,1227,119,59,54,159,69,4,8,10,105,16,2,11,28,3,4,8
26,MARAMUREŞ,"COLEGIUL TEHNIC „AUREL VLAICU”",5,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:12:12",1859,1847,2,10,0,560,550,0,10,0,510,50,2000,1440,77,32,52,165,45,4,16,13,63,10,2,3,19,2,5,2
26,MARAMUREŞ,"COLEGIUL TEHNIC „COSTIN D. NENIȚESCU”",86,"MUNICIPIUL BAIA MARE",106318,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 08:35:51",1313,1303,4,5,1,614,608,0,5,1,579,30,1404,795,132,125,30,90,71,3,11,6,58,10,6,11,15,2,5,4
26,MARAMUREŞ,"COLEGIUL TEHNIC „COSTIN D. NENIȚESCU”",85,"MUNICIPIUL BAIA MARE",106318,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 19:11:15",1248,1239,1,8,0,408,399,1,8,0,363,45,1400,990,69,21,42,104,28,3,15,3,40,4,1,7,23,0,2,1
26,MARAMUREŞ,"COLEGIUL TEHNIC „GEORGE BARIȚIU”",64,"MUNICIPIUL BAIA MARE",106318,1,PROV,PRCNCT,CL,CL_SV,"2024-06-12 15:56:49",1306,1284,9,13,0,630,617,0,13,0,610,20,1500,870,117,90,32,111,71,7,5,5,104,12,5,7,33,4,5,2
26,MARAMUREŞ,"ECHIPAMENT CONTAINER MODULAR",2,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:42:05",919,908,1,10,0,435,425,0,10,0,415,20,1000,565,69,25,43,102,74,5,8,4,46,6,3,5,14,1,3,7
26,MARAMUREŞ,"GAL BAIA MARE",70,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:10:43",1300,1290,0,10,0,484,474,0,10,0,465,19,1500,1016,92,26,35,128,52,5,26,7,59,1,1,6,19,2,3,3
26,MARAMUREŞ,"GRĂDINIȚA CU PROGRAM NORMAL NR. 12",54,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:41:10",1602,1589,7,6,0,738,732,0,6,0,716,22,1800,1062,108,134,48,135,88,5,20,7,120,10,11,5,18,2,0,5
26,MARAMUREŞ,"GRĂDINIȚA CU PROGRAM PRELUNGIT „FLOARE DE COLŢ”",36,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:46:18",1304,1294,0,10,0,528,518,0,10,0,504,23,1500,973,88,31,39,108,61,2,16,3,91,16,7,9,16,3,8,6
26,MARAMUREŞ,"GRĂDINIȚA CU PROGRAM PRELUNGIT „MICUL PRINŢ”",25,"MUNICIPIUL BAIA MARE",106318,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:33:16",1344,1333,0,11,0,516,505,0,11,0,497,19,1500,984,104,44,38,117,61,3,10,8,72,5,3,3,20,1,3,5
26,MARAMUREŞ,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR. 25",31,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:35:49",1162,1150,3,7,2,459,450,0,7,2,452,7,1300,841,68,34,31,142,58,4,11,4,70,6,1,4,12,1,1,5
26,MARAMUREŞ,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR. 25",30,"MUNICIPIUL BAIA MARE",106318,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:27:50",1324,1318,1,5,0,496,491,0,5,0,475,8,1400,907,100,27,39,98,72,9,19,4,65,0,4,3,26,0,4,5
26,MARAMUREŞ,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR. 27",80,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:05:46",1653,1643,1,9,0,655,646,0,9,0,641,14,1900,1245,123,43,46,123,84,2,14,18,126,8,5,15,18,4,7,5
26,MARAMUREŞ,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR. 28",29,"MUNICIPIUL BAIA MARE",106318,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:38:00",1312,1296,0,15,1,488,472,0,15,1,475,0,1400,912,75,38,42,118,57,3,13,9,65,12,8,11,12,2,3,7
26,MARAMUREŞ,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR. 34",35,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:19:05",1316,1299,6,11,0,559,547,1,11,0,546,13,1500,941,86,35,28,110,92,6,27,8,87,18,6,6,22,1,2,12
26,MARAMUREŞ,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR. 9",20,"MUNICIPIUL BAIA MARE",106318,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 03:42:17",1423,1406,8,9,0,666,657,0,9,0,656,10,1600,934,140,48,49,138,80,9,5,6,112,15,5,2,35,3,3,6
26,MARAMUREŞ,"GRĂDINIȚA CU PROGRAM PRELUNGIT „OTILIA CAZIMIR”",77,"MUNICIPIUL BAIA MARE",106318,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:53:22",1424,1414,4,6,0,598,592,0,6,0,579,19,1600,1002,127,25,35,144,81,8,13,8,86,12,0,8,24,1,1,6
26,MARAMUREŞ,"GRĂDINIȚA CU PROGRAM PRELUNGIT „OTILIA CAZIMIR”",78,"MUNICIPIUL BAIA MARE",106318,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 08:32:46",1250,1240,0,10,0,412,402,0,10,0,393,19,1400,988,88,20,33,94,48,5,16,4,37,8,4,4,16,1,7,8
26,MARAMUREŞ,"LICEUL CU PROGRAM SPORTIV",44,"MUNICIPIUL BAIA MARE",106318,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 04:28:22",1095,1085,1,9,0,432,423,0,9,0,420,3,1200,776,72,31,29,104,59,10,5,8,56,14,2,9,17,0,2,2
26,MARAMUREŞ,"LICEUL CU PROGRAM SPORTIV",43,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:20:24",1337,1304,24,9,0,587,578,0,9,0,571,16,1500,913,90,41,30,140,84,8,11,6,97,14,11,7,21,0,6,5
26,MARAMUREŞ,"LICEUL CU PROGRAM SPORTIV",45,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:05:33",761,750,3,7,1,327,319,0,7,1,320,7,900,573,62,24,15,80,44,2,5,7,48,9,1,3,9,0,5,6
26,MARAMUREŞ,"LICEUL DE ARTE",51,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:04:09",1108,1094,3,7,4,546,535,0,7,4,532,14,1200,654,96,83,25,86,59,12,3,16,96,9,4,8,20,2,8,5
26,MARAMUREŞ,"LICEUL DE ARTE",52,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:44:06",1140,1123,8,9,0,598,588,1,9,0,586,12,1200,602,109,100,31,97,70,7,10,7,105,10,1,8,21,2,3,5
26,MARAMUREŞ,"LICEUL TEORETIC „EMIL RACOVIȚĂ”",22,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:04:26",1383,1354,4,9,16,573,549,0,9,15,557,16,1500,927,120,43,43,142,78,6,6,7,67,12,4,1,19,2,5,2
26,MARAMUREŞ,"LICEUL TEORETIC „EMIL RACOVIȚĂ”",21,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:00:01",1347,1311,4,10,22,510,478,0,10,22,495,15,1500,990,84,82,36,117,45,8,10,4,62,7,4,3,20,2,5,6
26,MARAMUREŞ,"LICEUL TEORETIC SANITAR",53,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:02:12",1326,1311,7,8,0,598,590,0,8,0,584,14,1500,902,119,103,38,91,70,5,5,7,104,15,9,5,8,0,3,2
26,MARAMUREŞ,"REGISTRU AUTO ROMÂN, REPREZENTANȚA MARAMUREȘ",28,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:47:06",1283,1273,0,10,0,425,415,0,10,0,411,14,1400,975,75,22,45,121,32,3,21,5,54,6,4,3,10,1,4,5
26,MARAMUREŞ,"SALA SPORTURILOR „LASCĂR PANĂ”",49,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:56:40",1421,1400,4,17,0,626,609,0,17,0,611,15,1600,974,133,49,40,133,68,13,13,12,79,12,10,14,23,0,3,9
26,MARAMUREŞ,"SALA SPORTURILOR „LASCĂR PANĂ”",48,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:40:55",1275,1266,0,8,1,516,507,0,8,1,505,11,1400,884,105,61,38,110,60,6,7,9,69,5,4,6,21,1,3,0
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „ALEXANDRU IOAN CUZA”",24,"MUNICIPIUL BAIA MARE",106318,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 11:04:56",1455,1435,0,9,11,609,589,0,9,11,590,19,1600,991,89,56,54,145,71,6,14,10,87,10,2,8,22,2,4,10
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „ALEXANDRU IOAN CUZA”",23,"MUNICIPIUL BAIA MARE",106318,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 07:13:12",1353,1323,2,10,18,544,514,2,10,18,519,11,1500,9,93,36,35,119,71,2,11,13,91,13,1,3,23,0,5,3
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „ALEXANDRU IVASIUC”",38,"MUNICIPIUL BAIA MARE",106318,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 15:38:12",1319,1309,2,8,0,569,561,0,8,0,560,8,1501,932,121,13,49,129,79,8,9,17,94,11,2,6,16,0,1,5
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „ALEXANDRU IVASIUC”",37,"MUNICIPIUL BAIA MARE",106318,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:55:25",1343,1335,0,7,1,469,461,0,7,1,448,13,1500,1038,76,23,26,108,69,2,12,7,86,9,7,3,13,2,1,4
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „AVRAM IANCU”",13,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:15:42",1363,1323,9,31,0,657,625,1,31,0,641,16,1500,843,119,75,40,116,70,5,11,20,126,16,3,8,22,1,2,7
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „AVRAM IANCU”",12,"MUNICIPIUL BAIA MARE",106318,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 03:56:03",907,895,1,11,0,429,418,0,11,0,408,10,1000,572,74,62,16,81,42,5,3,14,59,8,3,11,20,0,4,6
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „AVRAM IANCU”",11,"MUNICIPIUL BAIA MARE",106318,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:55:57",1037,1031,2,4,0,457,453,0,4,0,448,9,1100,643,89,61,22,89,43,11,7,6,80,12,2,6,14,1,1,4
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „AVRAM IANCU”",10,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:21:17",928,920,4,4,0,398,394,0,4,0,390,8,1040,642,75,49,17,69,34,4,8,8,86,8,4,5,14,1,4,4
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „DIMITRIE CANTEMIR”",39,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:07:12",1366,1359,0,7,0,562,555,0,7,0,551,11,1500,938,95,28,42,152,65,5,11,10,94,14,1,10,13,3,2,6
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „DIMITRIE CANTEMIR”",40,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:40:44",1336,1328,0,8,0,503,495,0,8,0,487,16,1500,997,86,26,38,117,85,9,9,5,75,6,2,8,14,0,5,2
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „DIMITRIE CANTEMIR”",41,"MUNICIPIUL BAIA MARE",106318,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 09:14:55",1432,1427,0,5,0,547,542,0,5,0,534,13,1600,253,112,29,35,155,62,5,10,6,75,8,4,5,11,4,6,7
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „DR. VICTOR BABEȘ”",3,"MUNICIPIUL BAIA MARE",106318,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 12:12:28",1670,1649,10,11,0,810,799,0,11,0,775,35,1800,990,187,58,51,192,93,11,17,7,108,11,6,2,22,2,5,3
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „DR. VICTOR BABEȘ”",4,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:20:05",1812,1794,3,14,1,852,837,0,14,1,838,14,1900,1048,167,82,40,177,116,2,12,14,128,26,7,13,38,3,7,6
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „GEORGE COȘBUC”",16,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:35:58",1109,1091,8,10,0,489,479,0,10,0,475,14,1200,711,71,93,29,81,59,1,13,11,77,7,1,8,17,0,3,4
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „GEORGE COȘBUC”",17,"MUNICIPIUL BAIA MARE",106318,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 08:27:32",1002,988,3,11,0,443,432,0,11,0,409,20,1100,668,69,62,31,93,39,4,10,8,54,7,4,7,16,1,1,3
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „ION LUCA CARAGIALE”",32,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:24:48",839,831,0,8,0,319,311,0,8,0,315,4,999,680,43,26,22,87,37,3,7,7,46,8,4,5,9,0,5,6
