precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"BOGDAN IONEL-OVIDIU-PARTIDUL NAȚIONAL LIBERAL-voturi","PAP ZSOLT-ISTVAN-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PÎRVĂNOIU COSTEL-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","DĂNCUŞ IOAN-DORU-PARTIDUL SOCIAL DEMOCRAT-voturi","CIRŢ MIRCEA-PARTIDUL VERTICALA NOUĂ-voturi","HERŢEG CĂLIN-GHEORGHE-PARTIDUL ALTERNATIVA DREAPTĂ-voturi","HODOROGEA BOGDAN-PARTIDUL S.O.S. ROMÂNIA-voturi","CIUCĂ SEVER-IULIAN-PARTIDUL ECOLOGIST ROMÂN-voturi","CRISTIAN BRIAN-ALIANȚA DREAPTA UNITĂ USR - PMP-voturi","BARBUR FLORIN-GHEORGHE-PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","FILIP CLAUDIU-GHEORGHE-PARTIDUL VERDE-voturi","POP LIVIU-MARIAN-PARTIDUL UMANIST SOCIAL LIBERAL-voturi","ANGHEL CRISTIAN-FORȚA DREPTEI-voturi","GROZA CĂLIN-FLORIN-PARTIDUL OAMENILOR TINERI-voturi","DOLHA MIRCEA-PARTIDUL NAȚIONAL CONSERVATOR ROMÂN-voturi","ZAINEA SERGIU-FLORIAN-voturi"
26,MARAMUREŞ,"ADMINISTRAȚIA BAZELOR SPORTIVE",47,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:11:02",1390,1373,5,12,0,637,625,0,12,0,609,16,1500,875,137,32,14,129,99,6,3,5,108,6,3,2,53,5,3,4
26,MARAMUREŞ,"AGENȚIA DE PLĂȚI ȘI INTERVENȚIE PENTRU AGRICULTURĂ MARAMUREȘ",1,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,P,P_SV,"2024-06-10 12:07:58",1741,1711,16,14,0,917,903,0,14,0,906,11,1800,883,167,23,37,249,177,6,13,5,161,8,2,7,39,1,5,6
26,MARAMUREŞ,"ANSAMBLUL FOLCLORIC NAȚIONAL „TRANSILVANIA”",42,"MUNICIPIUL BAIA MARE",106318,1,PROV,PRCNCT,P,P_SV,"2024-06-10 09:59:42",1309,1286,12,11,0,579,556,12,11,0,556,8,1400,813,129,51,18,86,91,4,8,6,104,4,3,4,33,6,4,5
26,MARAMUREŞ,"BIBLIOTECA JUDEȚEANĂ „PETRE DULFU”",50,"MUNICIPIUL BAIA MARE",106318,1,PROV,PRCNCT,P,P_SV,"2024-06-10 08:18:29",1206,1195,1,9,1,623,613,0,9,1,610,13,1299,676,124,129,24,85,56,7,7,5,109,5,0,3,46,0,4,6
26,MARAMUREŞ,"CENTRUL COMUNITAR ROMANII",84,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:29:48",1116,1105,1,10,0,375,364,1,10,0,324,51,1300,925,48,21,28,124,13,3,21,5,22,1,3,2,26,1,3,3
26,MARAMUREŞ,"CENTRUL „PHOENIX”",71,"MUNICIPIUL BAIA MARE",106318,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:33:37",1332,1321,1,10,0,430,420,0,10,0,390,40,1500,1070,60,13,29,108,59,2,10,3,63,2,1,3,22,8,5,2
26,MARAMUREŞ,"CENTRUL „SALVAȚI FAMILIA”",83,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:53:28",1948,1935,2,11,0,780,769,0,11,0,775,5,2200,1420,184,38,25,142,156,3,14,5,134,7,6,7,36,6,7,5
26,MARAMUREŞ,"CENTRUL „SFÂNTUL FRANCISC DE ASSISI”",79,"MUNICIPIUL BAIA MARE",106318,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:27:42",1380,1370,2,8,0,475,467,0,8,0,463,12,1600,1125,86,20,16,104,82,3,8,5,92,2,5,5,18,3,10,4
26,MARAMUREŞ,"CENTRUL SOCIAL „ASSOC”",46,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:41:08",1397,1380,11,6,0,597,591,0,6,0,590,7,1600,1003,116,18,22,134,122,6,7,2,116,4,5,4,30,0,2,2
26,MARAMUREŞ,"CENTRUL UNIVERSITAR NORD - „FACULTATEA DE LITERE”",14,"MUNICIPIUL BAIA MARE",106318,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:36:53",1330,1310,10,9,1,610,599,1,9,1,592,18,1500,890,93,88,9,109,88,4,4,4,124,3,1,2,50,2,1,10
