precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
1,ALBA,"AŞEZĂMÂNTUL SOCIAL - GRĂDINIŢA ”SFÂNTA IRINA”",79,"MUNICIPIUL BLAJ",1348,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 20:37:05",1135,1131,0,4,0,548,544,0,4,0,538,10,1300,752,314,35,15,3,99,19,53
1,ALBA,"ASOCIAŢIA JUDEŢEANĂ A VÂNĂTORILOR SI PESCARILOR SPORTIVI ALBA - CLUBUL BLAJ",84,"MUNICIPIUL BLAJ",1348,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:28:03",324,320,0,3,1,172,168,0,3,1,169,3,400,228,119,3,11,2,25,2,7
1,ALBA,"BAZA DE AGREMENT A MUNICIPIULUI BLAJ",78,"MUNICIPIUL BLAJ",1348,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:28:44",728,716,0,9,3,341,329,0,9,3,320,21,800,459,198,22,23,6,52,10,9
1,ALBA,"BAZIN OLIMPIC",31,"MUNICIPIUL ALBA IULIA",1017,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:09:26",1253,1242,2,9,0,458,449,0,9,0,445,13,1400,942,186,72,23,8,95,10,51
1,ALBA,"BAZIN OLIMPIC",30,"MUNICIPIUL ALBA IULIA",1017,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:22:40",1087,1078,0,8,1,437,428,0,8,1,425,12,1100,663,179,51,16,11,113,5,50
1,ALBA,"BIBLIOTECA COMUNALĂ",240,CRICĂU,4142,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:44:18",1057,995,1,25,36,790,729,0,25,36,769,21,1139,349,440,41,16,4,231,26,11
1,ALBA,"CĂMIN CULTURAL",225,"CETATEA DE BALTĂ",3958,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:03:48",590,574,0,4,12,247,231,0,4,12,227,20,633,386,133,25,7,0,50,8,4
1,ALBA,"CĂMIN CULTURAL",226,"CETATEA DE BALTĂ",3958,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:15:05",870,829,1,8,32,503,463,0,8,32,471,32,955,452,198,61,22,4,58,113,15
1,ALBA,"CĂMIN CULTURAL",250,FĂRĂU,4302,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:14:31",145,137,2,5,1,111,104,1,5,1,104,7,150,39,20,1,1,1,6,75,0
1,ALBA,"CĂMIN CULTURAL ASINIP",297,"LOPADEA NOUĂ",5210,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:40:55",78,70,0,8,0,52,44,0,8,0,50,2,79,27,30,0,2,0,14,2,2
1,ALBA,"CĂMIN CULTURAL BĂLCACIU",288,JIDVEI,5103,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 16:29:16",1120,1078,0,10,32,507,465,0,10,32,469,38,1192,685,285,80,16,6,65,7,10
1,ALBA,"CĂMIN CULTURAL CĂPUD",171,"ORAŞ TEIUŞ",8096,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:38:04",262,254,0,7,1,156,148,0,7,1,147,9,279,123,33,18,4,3,73,13,3
1,ALBA,"CĂMIN CULTURAL CISTEI",317,MIHALŢ,5700,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:39:12",502,454,0,29,19,367,319,0,29,19,360,7,518,151,263,44,12,1,28,5,7
1,ALBA,"CĂMIN CULTURAL DOŞTAT",246,DOŞTAT,4268,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:10:13",462,409,0,31,22,335,282,0,31,22,321,14,460,125,223,8,3,0,55,3,29
1,ALBA,"CĂMIN CULTURAL DRÎMBAR",231,CIUGUD,1071,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:40:53",350,331,1,6,12,239,222,0,6,11,231,8,375,136,161,15,4,3,42,1,5
1,ALBA,"CĂMIN CULTURAL HĂPRIA",232,CIUGUD,1071,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:45:09",528,502,1,3,22,388,363,0,3,22,373,15,555,167,201,54,5,3,90,7,13
1,ALBA,"CĂMIN CULTURAL HOPÎRTA",266,HOPÂRTA,4703,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:06:14",204,199,0,2,3,104,99,0,2,3,98,6,235,131,55,10,3,1,18,6,5
1,ALBA,"CĂMIN CULTURAL IZVOARELE",293,LIVEZILE,5167,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 00:31:15",94,72,0,11,11,63,41,0,11,11,58,5,100,37,39,3,0,3,13,0,0
1,ALBA,"CĂMIN CULTURAL LEORINȚ",351,RĂDEŞTI,6547,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:44:01",267,244,0,16,7,214,191,0,16,7,207,7,293,79,113,5,1,0,9,78,1
