precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi"
4,BACĂU,"BIBLIOTECA MUNICIPALĂ ” PROFESOR CONSTANTIN LOVIN”",131,"MUNICIPIUL MOINEŞTI",20876,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:26:24",1141,1136,1,4,0,494,489,1,4,0,476,18,1300,806,197,43,47,106,36,47
4,BACĂU,"CLUBUL ELEVILOR",135,"MUNICIPIUL MOINEŞTI",20876,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:54:13",1263,1225,0,11,27,543,505,0,11,27,512,31,1400,857,176,23,53,164,20,76
4,BACĂU,"FOSTA ȘCOALĂ DE ARTE ȘI MESERII",138,"MUNICIPIUL MOINEŞTI",20876,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:48:02",1168,1161,0,6,1,519,512,0,6,1,503,16,1300,781,296,21,35,70,22,59
4,BACĂU,"FOSTA ȘCOALĂ NR.8",142,"MUNICIPIUL MOINEŞTI",20876,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 07:04:48",997,992,1,4,0,446,441,1,4,0,427,18,1100,655,165,12,67,127,10,46
4,BACĂU,"LICEUL ”SPIRU HARET”",126,"MUNICIPIUL MOINEŞTI",20876,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 02:40:41",838,805,1,9,23,380,348,0,9,23,369,11,900,520,156,21,37,109,10,36
4,BACĂU,"LICEUL ”SPIRU HARET”",127,"MUNICIPIUL MOINEŞTI",20876,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:17:03",960,951,2,7,0,426,419,0,7,0,399,27,1100,674,169,28,34,96,20,52
4,BACĂU,"SALA DE SPORT A LICEULUI ”SPIRU HARET”",128,"MUNICIPIUL MOINEŞTI",20876,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:45:33",1162,1153,0,7,2,544,535,0,7,2,534,10,1300,756,227,54,40,140,22,51
4,BACĂU,"ŞCOALA ”ALEXANDRU SEVER”",139,"MUNICIPIUL MOINEŞTI",20876,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 04:27:50",635,625,0,8,2,312,302,0,8,2,295,17,700,388,154,4,22,45,5,65
4,BACĂU,"ŞCOALA ”ALEXANDRU SEVER”",141,"MUNICIPIUL MOINEŞTI",20876,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:28:05",1120,1111,0,4,5,525,516,0,4,5,502,23,1200,675,295,11,45,68,21,62
4,BACĂU,"ŞCOALA ”ALEXANDRU SEVER”",140,"MUNICIPIUL MOINEŞTI",20876,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 04:21:42",1069,1053,1,9,6,527,512,0,9,6,496,31,1200,673,209,15,46,139,14,73
4,BACĂU,"ŞCOALA GEORGE ENESCU",132,"MUNICIPIUL MOINEŞTI",20876,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:07:24",1594,1585,2,6,1,604,597,0,6,1,558,46,1600,996,253,40,45,129,34,57
4,BACĂU,"ŞCOALA GEORGE ENESCU",134,"MUNICIPIUL MOINEŞTI",20876,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 04:43:21",1132,1127,1,4,0,497,493,0,4,0,484,13,1300,803,242,30,37,96,21,58
4,BACĂU,"ŞCOALA GEORGE ENESCU",133,"MUNICIPIUL MOINEŞTI",20876,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:18:51",1280,1273,1,6,0,495,489,0,6,0,464,31,1400,905,193,24,41,115,14,77
4,BACĂU,"ŞCOALA ”ŞTEFAN LUCHIAN”",129,"MUNICIPIUL MOINEŞTI",20876,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:51:04",1150,1143,1,6,0,506,500,0,6,0,490,16,1300,794,236,41,42,110,14,47
4,BACĂU,"ŞCOALA „ŞTEFAN LUCHIAN”",130,"MUNICIPIUL MOINEŞTI",20876,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 04:30:25",1127,1117,0,10,0,534,524,0,10,0,508,26,1200,666,236,37,43,113,22,57
4,BACĂU,"ŞCOALA TRISTAN TZARA",137,"MUNICIPIUL MOINEŞTI",20876,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:45:08",1250,1246,4,0,0,508,508,0,0,0,491,17,1400,892,169,15,47,171,19,70
4,BACĂU,"ŞCOALA TRISTAN TZARA",136,"MUNICIPIUL MOINEŞTI",20876,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:26:50",1206,1164,5,3,34,515,477,1,3,34,489,26,1300,785,158,35,29,195,16,56
