precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"CARAGAŢĂ FLORIN-PARTIDUL LEGE EDUCAȚIE UNITATE-voturi","OANCEA SILVIU-FLORIN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","GAE IONEL-PARTIDUL UMANIST SOCIAL LIBERAL-voturi","COSTEA ADRIAN-PARTIDUL ALTERNATIVA DREAPTĂ-voturi","DUBĂLARU EUGEN-IONUŢ-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PEIU GRIGORE-ADRIAN-PARTIDUL S.O.S. ROMÂNIA-voturi","TELEHUZ DRAGOŞ-COSTIN-PARTIDUL NAȚIONAL LIBERAL-voturi","PAVEL MARIAN-PARTIDUL SOCIAL DEMOCRAT-voturi"
23,IALOMIŢA,"AGENȚIA NAȚIONALĂ DE ÎMBUNĂTĂȚIRI FUNCIARE – FILIALA IALOMIȚA",18,"MUNICIPIUL SLOBOZIA",92658,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-12 22:54:47",1351,1336,1,13,1,601,587,0,13,1,577,24,1492,891,28,36,17,5,56,19,178,238
23,IALOMIŢA,"CĂMIN CULTURAL",218,"VALEA MĂCRIŞULUI",105794,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:55:22",361,339,0,5,17,248,226,0,5,17,235,13,400,152,1,8,1,0,46,5,5,169
23,IALOMIŢA,"CĂMIN CULTURAL",102,BALACIU,92907,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 09:52:49",389,329,0,12,48,255,195,0,12,48,234,21,400,145,3,20,4,0,27,15,60,105
23,IALOMIŢA,"CĂMIN CULTURAL",217,"VALEA MĂCRIŞULUI",105794,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:43:36",901,845,0,17,39,663,607,0,17,39,609,54,965,302,6,23,6,2,105,16,33,418
23,IALOMIŢA,"CĂMIN CULTURAL FRĂȚILEȘTI",203,SĂVENI,94376,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:49:01",344,344,0,0,0,172,172,0,0,0,159,13,413,241,0,19,0,0,52,2,7,79
23,IALOMIŢA,"CĂMIN CULTURAL GHIMPAŢI",128,CIULNIŢA,93156,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:34:10",201,196,0,5,0,137,132,0,5,0,131,6,200,63,0,8,1,0,4,0,47,71
23,IALOMIŢA,"CĂMIN CULTURAL ION GHICA",126,CIULNIŢA,93156,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:07:34",474,460,0,14,0,294,280,0,14,0,286,8,500,206,1,17,5,0,9,10,116,128
23,IALOMIŢA,"CĂMIN CULTURAL MIHAIL KOGĂLNICEANU",172,"MIHAIL KOGĂLNICEANU",93995,4,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 12:43:05",1354,1320,3,11,20,887,855,1,11,20,852,35,1484,597,17,84,56,7,86,37,116,449
23,IALOMIŢA,"CAMIN CULTURAL PLATONEŞTI",189,PLATONEŞTI,180000,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:19:17",748,717,1,21,9,480,450,0,21,9,464,16,800,320,1,49,1,2,106,14,4,287
23,IALOMIŢA,"CĂMIN CULTURAL POIANA - SALA DE FESTIVITĂȚI",127,CIULNIŢA,93156,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:55:39",355,350,0,5,0,222,217,0,5,0,216,6,400,178,0,11,1,1,16,9,58,120
23,IALOMIŢA,"CĂMIN CULTURAL, SAT SINTEŞTI",114,BORĂNEŞTI,179784,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:26:08",318,311,0,7,0,227,220,0,7,0,216,11,347,120,0,14,6,0,43,6,80,67
