precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL CONSERVATOR ROMÂN-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL VERDE-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL PATRIOȚILOR-voturi","ZAINEA SERGIU-FLORIAN-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","PARTIDUL VERTICALA NOUĂ-voturi","FORȚA DREPTEI-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi"
26,MARAMUREŞ,"ADMINISTRAȚIA BAZELOR SPORTIVE",47,"MUNICIPIUL BAIA MARE",106318,2,PART,PRCNCT,CL,CL_SV,"2024-06-14 10:37:55",1390,1373,5,12,0,625,613,0,12,0,609,16,1500,875,1,98,32,8,7,7,43,2,5,8,145,7,13,84,20,129
26,MARAMUREŞ,"AGENȚIA DE PLĂȚI ȘI INTERVENȚIE PENTRU AGRICULTURĂ MARAMUREȘ",1,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 12:07:55",1741,1711,16,14,0,917,903,0,14,0,898,19,1800,883,7,129,77,4,3,18,34,2,3,7,229,10,22,136,21,196
26,MARAMUREŞ,"ANSAMBLUL FOLCLORIC NAȚIONAL „TRANSILVANIA”",42,"MUNICIPIUL BAIA MARE",106318,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 18:11:15",1309,1286,12,11,0,567,556,0,11,0,552,14,1400,834,4,100,25,4,3,11,63,0,0,12,103,12,11,75,11,118
26,MARAMUREŞ,"BIBLIOTECA JUDEȚEANĂ „PETRE DULFU”",50,"MUNICIPIUL BAIA MARE",106318,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 13:01:55",1206,1195,1,9,1,623,613,0,9,1,614,9,1300,677,5,100,33,6,4,11,146,2,8,5,90,5,11,47,27,114
26,MARAMUREŞ,"CENTRUL COMUNITAR ROMANII",84,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:29:48",1116,1105,1,10,0,375,364,1,10,0,313,62,1300,925,3,19,30,5,1,27,27,0,1,9,108,1,1,11,21,49
26,MARAMUREŞ,"CENTRUL „PHOENIX”",71,"MUNICIPIUL BAIA MARE",106318,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 10:12:34",1332,1321,1,10,0,430,420,0,10,0,397,33,1500,1070,3,47,59,0,3,15,23,3,1,5,98,5,6,51,19,59
26,MARAMUREŞ,"CENTRUL „SALVAȚI FAMILIA”",83,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:53:28",1948,1935,2,11,0,780,769,0,11,0,769,11,2200,1420,11,123,56,9,7,19,54,0,7,11,145,8,13,119,17,170
26,MARAMUREŞ,"CENTRUL „SFÂNTUL FRANCISC DE ASSISI”",79,"MUNICIPIUL BAIA MARE",106318,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 10:14:58",1380,1370,2,8,0,475,467,0,8,0,455,20,1600,1125,11,69,40,4,6,13,27,3,10,8,109,7,6,59,9,74
26,MARAMUREŞ,"CENTRUL SOCIAL „ASSOC”",46,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:41:08",1397,1380,11,6,0,597,591,0,6,0,589,8,1600,1003,7,100,49,4,8,10,29,4,2,10,139,8,8,85,12,114
26,MARAMUREŞ,"CENTRUL UNIVERSITAR NORD - „FACULTATEA DE LITERE”",14,"MUNICIPIUL BAIA MARE",106318,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 11:24:59",1330,1310,10,9,1,610,599,1,9,1,590,20,1498,888,4,112,22,4,7,4,103,1,7,14,109,4,17,70,22,90
26,MARAMUREŞ,"CENTRUL UNIVERSITAR NORD - „FACULTATEA DE LITERE”",15,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:40:37",863,838,16,8,1,437,428,0,8,1,429,8,1000,563,2,77,9,4,4,7,63,2,3,6,80,5,15,43,26,83
26,MARAMUREŞ,"CENTRUL UNIVERSITAR NORD - „FACULTATEA TEHNICĂ”",7,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:31:49",1250,1234,1,15,0,478,463,0,15,0,464,14,489,11,4,65,29,5,4,13,55,0,8,11,108,8,17,58,14,65
26,MARAMUREŞ,"COLEGIUL NAȚIONAL „GHEORGHE ȘINCAI”",62,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:22:20",1548,1534,7,4,3,715,708,0,4,3,695,20,1700,985,6,120,37,2,4,6,119,2,5,4,140,7,23,63,33,124
26,MARAMUREŞ,"COLEGIUL NAȚIONAL „VASILE LUCACIU”",63,"MUNICIPIUL BAIA MARE",106318,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:04:11",1257,1241,7,9,0,511,502,0,9,0,500,11,1400,889,2,80,26,4,6,8,93,1,6,6,84,19,16,42,23,84
26,MARAMUREŞ,"COLEGIUL TEHNIC „ANGHEL SALIGNY”",69,"MUNICIPIUL BAIA MARE",106318,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 12:55:16",1562,1536,12,14,0,741,727,0,14,0,728,13,1700,959,5,122,29,5,9,10,109,0,5,16,144,10,15,62,28,159
26,MARAMUREŞ,"COLEGIUL TEHNIC „AUREL VLAICU”",6,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 12:00:22",1725,1712,6,7,0,673,666,0,7,0,659,14,1900,1227,4,105,54,2,4,8,59,3,8,10,159,11,16,69,28,119
26,MARAMUREŞ,"COLEGIUL TEHNIC „AUREL VLAICU”",5,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:12:12",1859,1847,2,10,0,560,550,0,10,0,510,50,2000,1440,5,63,52,2,4,16,32,2,2,13,165,3,10,45,19,77
26,MARAMUREŞ,"COLEGIUL TEHNIC „COSTIN D. NENIȚESCU”",86,"MUNICIPIUL BAIA MARE",106318,2,PART,PRCNCT,CL,CL_SV,"2024-06-11 16:46:36",1313,1303,4,5,1,611,605,0,5,1,579,30,1404,795,5,58,30,6,3,11,125,2,4,6,90,11,10,71,15,132
26,MARAMUREŞ,"COLEGIUL TEHNIC „COSTIN D. NENIȚESCU”",85,"MUNICIPIUL BAIA MARE",106318,2,PART,PRCNCT,CL,CL_SV,"2024-06-11 14:57:07",1248,1239,1,8,0,408,399,1,8,0,369,39,1400,992,2,40,43,1,3,15,21,0,1,4,107,7,4,28,23,70
26,MARAMUREŞ,"COLEGIUL TEHNIC „GEORGE BARIȚIU”",64,"MUNICIPIUL BAIA MARE",106318,2,PART,PRCNCT,CL,CL_SV,"2024-06-12 16:25:31",1306,1284,9,13,0,630,617,0,13,0,614,16,1500,870,5,104,32,5,7,5,90,4,2,5,112,8,12,73,33,117
26,MARAMUREŞ,"ECHIPAMENT CONTAINER MODULAR",2,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:42:05",919,908,1,10,0,435,425,0,10,0,415,20,1000,565,3,46,43,3,5,8,25,1,7,4,102,5,6,74,14,69
26,MARAMUREŞ,"GAL BAIA MARE",70,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:10:43",1300,1290,0,10,0,484,474,0,10,0,465,19,1500,1016,3,59,35,1,5,26,26,2,3,7,128,6,1,52,19,92
26,MARAMUREŞ,"GRĂDINIȚA CU PROGRAM NORMAL NR. 12",54,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:41:10",1602,1589,7,6,0,738,732,0,6,0,716,22,1800,1062,0,120,48,11,5,20,134,2,5,7,135,5,10,88,18,108
26,MARAMUREŞ,"GRĂDINIȚA CU PROGRAM PRELUNGIT „FLOARE DE COLŢ”",36,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:46:18",1304,1294,0,10,0,528,518,0,10,0,504,23,1500,973,8,91,39,7,2,16,31,3,6,3,108,9,16,61,16,88
26,MARAMUREŞ,"GRĂDINIȚA CU PROGRAM PRELUNGIT „MICUL PRINŢ”",25,"MUNICIPIUL BAIA MARE",106318,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:41:38",1344,1333,0,11,0,516,505,0,11,0,497,19,1500,984,3,72,38,3,3,10,44,1,5,8,117,3,5,61,20,104
26,MARAMUREŞ,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR. 25",31,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:35:49",1162,1150,3,7,2,459,450,0,7,2,452,7,1300,841,1,70,31,1,4,11,34,1,5,4,142,4,6,58,12,68
26,MARAMUREŞ,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR. 25",30,"MUNICIPIUL BAIA MARE",106318,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 15:30:50",1324,1318,1,5,0,496,491,0,5,0,475,8,1400,907,4,65,39,4,9,19,27,0,5,4,98,3,0,72,26,100
