precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL MIȘCAREA ROMÂNIA SUVERANĂ-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
3,ARGEŞ,"BIBLIOTECA JUDEŢEANĂ ARGEŞ ”DINICU GOLESCU”",1,"MUNICIPIUL PITEŞTI",13169,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:39:45",1207,1199,4,4,0,432,428,0,4,0,421,10,1300,868,150,45,123,12,14,77
3,ARGEŞ,"COLEGIUL ECONOMIC ”MARIA TEIULEANU”",2,"MUNICIPIUL PITEŞTI",13169,3,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:26:55",1074,1024,42,8,0,465,457,0,8,0,449,16,1200,735,162,53,125,7,9,93
3,ARGEŞ,"COLEGIUL ECONOMIC ”MARIA TEIULEANU” (FOST LICEUL TEHNOLOGIC „ION MINCU”)",4,"MUNICIPIUL PITEŞTI",13169,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 14:17:18",1404,1392,1,11,0,643,632,0,11,0,611,32,1602,959,221,85,149,12,15,129
3,ARGEŞ,"COLEGIUL NAŢIONAL ”ALEXANDRU ODOBESCU”",73,"MUNICIPIUL PITEŞTI",13169,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:33:00",1508,1502,0,6,0,565,559,0,6,0,548,17,1700,1135,210,70,139,3,35,91
3,ARGEŞ,"COLEGIUL NAŢIONAL ”ALEXANDRU ODOBESCU”",72,"MUNICIPIUL PITEŞTI",13169,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:40:24",2200,2188,5,6,1,948,941,0,6,1,921,27,2300,1352,338,95,228,29,25,206
3,ARGEŞ,"COLEGIUL NAŢIONAL ”ION C. BRĂTIANU”",17,"MUNICIPIUL PITEŞTI",13169,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 12:15:58",826,810,9,6,1,364,357,0,6,1,351,13,1000,636,87,33,145,6,13,67
3,ARGEŞ,"COLEGIUL TEHNIC ” ARMAND CĂLINESCU”",46,"MUNICIPIUL PITEŞTI",13169,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 12:45:58",1276,1260,8,8,0,531,523,0,8,0,516,15,1500,969,164,60,166,5,10,111
3,ARGEŞ,"COLEGIUL TEHNIC ” ARMAND CĂLINESCU”",45,"MUNICIPIUL PITEŞTI",13169,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:03:01",689,655,19,12,3,314,299,0,12,3,301,12,800,487,105,30,80,11,5,70
3,ARGEŞ,"COLEGIUL TEHNIC ”COSTIN D. NENIŢESCU”",63,"MUNICIPIUL PITEŞTI",13169,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:51:54",1472,1466,0,6,0,516,510,0,6,0,495,21,1700,1184,177,79,121,12,21,85
3,ARGEŞ,"COLEGIUL TEHNIC ”COSTIN D. NENIŢESCU”",64,"MUNICIPIUL PITEŞTI",13169,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:47:47",1749,1744,1,4,0,742,738,0,4,0,712,30,2000,1258,246,109,159,11,17,170
3,ARGEŞ,"COLEGIUL TEHNIC ”COSTIN D. NENIŢESCU”",65,"MUNICIPIUL PITEŞTI",13169,3,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:32:42",1496,1489,1,6,0,596,590,0,6,0,576,19,1700,1104,243,75,118,17,17,106
3,ARGEŞ,"COLEGIUL TEHNIC ”DIMITRIE DIMA”",77,"MUNICIPIUL PITEŞTI",13169,4,PART,PRCNCT,CL,CL_SV,"2024-06-10 21:51:24",1446,1435,0,10,1,592,581,0,10,1,571,20,1600,1008,228,63,150,10,11,109
3,ARGEŞ,"COLEGIUL TEHNIC ”DIMITRIE DIMA”",78,"MUNICIPIUL PITEŞTI",13169,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 20:19:31",1897,1888,2,7,0,710,703,0,7,0,676,34,2000,1290,260,148,164,12,25,67
3,ARGEŞ,"DIRECŢIA APELOR ARGEŞ-VEDEA",50,"MUNICIPIUL PITEŞTI",13169,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:56:06",1171,1167,0,4,0,514,510,0,4,0,492,19,1300,789,144,80,153,7,11,97
3,ARGEŞ,"DIRECȚIA DE ASISTENȚĂ SOCIALĂ A MUNICIPIULUI PITEȘTI",67,"MUNICIPIUL PITEŞTI",13169,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:08:56",1963,1940,10,13,0,762,749,0,13,0,739,23,2100,1338,282,80,191,14,30,142
3,ARGEŞ,"GRĂDINIŢA CU PROGRAM NORMAL ”ISTEŢEL” ( FOSTA GRĂDINIŢĂ NR.4)",83,"MUNICIPIUL PITEŞTI",13169,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 12:48:02",1739,1733,0,6,0,723,717,0,6,0,699,24,2000,1277,273,101,157,14,17,137
3,ARGEŞ,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”ALBĂ CA ZĂPADA” ( FOSTA GRĂDINIŢĂ NR. 10)",26,"MUNICIPIUL PITEŞTI",13169,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:45:31",1650,1644,3,3,0,582,579,0,3,0,571,11,1800,1218,230,105,139,10,17,70
3,ARGEŞ,"GRĂDINIŢA CU PROGRAM PRELUNGIT ” ARIPI DESCHISE” ( FOSTA GRĂDINIŢĂ NR.14)",84,"MUNICIPIUL PITEŞTI",13169,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:43:32",1668,1657,3,8,0,708,700,0,8,0,702,6,1800,1092,293,82,181,17,22,107
3,ARGEŞ,"GRĂDINIŢA CU PROGRAM PRELUNGIT ” ARMONIA” ( FOSTA GRĂDINIŢĂ NR.8)",74,"MUNICIPIUL PITEŞTI",13169,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:04:57",1672,1667,0,5,0,624,619,0,5,0,606,18,2000,1376,206,114,179,17,18,72
