precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA DREAPTA UNITĂ USR - PMP-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL PRO ROMÂNIA-voturi"
20,GORJ,"CASA DE CULTURĂ MOTRU",61,"MUNICIPIUL MOTRU",78141,2,PART,PRCNCT,CL,CL_SV,"2024-06-12 17:13:01",1541,1521,1,17,2,725,706,0,17,2,705,20,1800,1075,34,85,284,282,20
20,GORJ,"COLEGIUL NAŢIONAL GEORGE COŞBUC MOTRU",62,"MUNICIPIUL MOTRU",78141,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 13:28:14",1422,1402,3,15,2,602,585,0,15,2,585,17,1500,898,15,85,238,235,12
20,GORJ,"COLEGIUL TEHNIC MOTRU",60,"MUNICIPIUL MOTRU",78141,2,PART,PRCNCT,CL,CL_SV,"2024-06-12 17:18:11",899,891,0,7,1,464,456,0,7,1,441,23,1000,536,20,56,164,183,18
20,GORJ,"GRĂDINIŢA CATOLICĂ MOTRU",65,"MUNICIPIUL MOTRU",78141,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:04:42",1471,1463,3,5,0,668,662,1,5,0,651,17,1700,1032,13,100,269,251,18
20,GORJ,"GRĂDINIŢA CREŞĂ NR.1 MOTRU",66,"MUNICIPIUL MOTRU",78141,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 14:32:36",1582,1565,0,11,6,723,706,0,11,6,701,22,1800,1077,22,89,324,248,18
20,GORJ,"ŞCOALA GIMNAZIALĂ NR.1 MOTRU",63,"MUNICIPIUL MOTRU",78141,2,PART,PRCNCT,CL,CL_SV,"2024-06-12 16:58:02",1488,1475,2,9,2,682,671,0,9,2,654,28,1700,1018,20,78,273,257,26
20,GORJ,"ȘCOALA GIMNAZIALĂ NR. 1 MOTRU",68,"MUNICIPIUL MOTRU",78141,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 10:19:04",1489,1480,0,9,0,676,667,0,9,0,655,21,1700,1024,31,88,251,267,18
20,GORJ,"ŞCOALA GIMNAZIALĂ NR. 2 MOTRU",59,"MUNICIPIUL MOTRU",78141,3,PART,PRCNCT,CL,CL_SV,"2024-06-12 17:38:01",1329,1305,4,18,2,617,597,0,18,2,587,30,1500,883,48,67,265,196,11
20,GORJ,"ŞCOALA HORĂŞTI",69,"MUNICIPIUL MOTRU",78141,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:55:16",373,354,0,7,12,230,211,0,7,12,222,8,400,170,3,75,51,90,3
20,GORJ,"ŞCOALA LEURDA",70,"MUNICIPIUL MOTRU",78141,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:40:57",614,609,0,5,0,344,339,0,5,0,329,15,800,456,4,41,136,146,2
20,GORJ,"ŞCOALA PRIMARĂ PLOŞTINA",71,"MUNICIPIUL MOTRU",78141,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:14:10",971,964,0,6,1,578,571,0,6,1,565,13,1100,522,9,56,299,190,11
20,GORJ,"ŞCOALA PRIMARĂ ROŞIUŢA",73,"MUNICIPIUL MOTRU",78141,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 15:52:20",441,432,0,9,0,276,267,0,9,0,269,7,545,269,6,30,145,79,9
20,GORJ,"ŞCOALA RÂPA",72,"MUNICIPIUL MOTRU",78141,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:34:33",255,247,0,8,0,155,147,0,8,0,154,1,300,145,6,14,83,48,3
20,GORJ,"ȘCOALA SFÂNTUL IOAN",64,"MUNICIPIUL MOTRU",78141,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 13:25:54",1105,1097,1,6,1,471,464,0,6,1,459,12,1200,729,21,48,169,210,11
20,GORJ,"SEDIUL IMPOZITE ŞI TAXE LOCALE MOTRU",67,"MUNICIPIUL MOTRU",78141,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:15:49",1491,1478,2,10,1,709,698,0,10,1,686,23,1700,991,26,89,270,263,38
