precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL S.O.S. ROMÂNIA-voturi","ROMÂNIA SOCIALISTĂ-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ALIANȚA ELECTORALĂ PSD PNL-voturi","PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL VERDE-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL ROMÂNIA MARE-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi"
25,ILFOV,"AFTER SCHOOL DOMNESTI",215,DOMNEŞTI,102570,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 19:21:56",1825,1735,1,81,8,1089,1000,0,81,8,1062,27,1900,811,34,4,121,804,5,6,63,19,6
25,ILFOV,"AȘEZĂMÂNTUL SOCIAL AL BISERICII SF. DUMITRU",191,COPĂCENI,179588,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-13 08:44:18",1506,1494,1,9,2,982,971,0,9,2,974,8,1600,618,44,4,187,540,6,6,68,11,108
25,ILFOV,"BAZA SPORTIVĂ - CAMERA 12 (VESTIAR GAZDE)",277,"ŞTEFĂNEŞTII DE JOS",105419,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-13 12:09:16",1637,1601,0,23,13,1197,1161,0,23,13,1181,16,1700,503,39,0,26,1082,0,0,34,0,0
25,ILFOV,"CAMIN CULTURAL",182,CIOLPANI,101902,4,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 18:02:35",713,704,0,8,1,429,420,0,8,1,406,23,764,335,16,0,39,302,1,2,37,5,4
25,ILFOV,"CĂMINUL CULTURAL MULTIFUNCŢIONAL",235,GRĂDIŞTEA,103443,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 00:15:14",1651,1598,0,6,47,1138,1085,0,6,47,1074,62,1800,662,33,5,123,674,2,0,218,14,5
25,ILFOV,"CASA DE CULTURĂ",121,"ORAŞ VOLUNTARI",179551,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:46:04",1802,1770,13,16,3,934,914,1,16,3,895,39,2000,1066,38,5,139,566,3,9,94,29,12
25,ILFOV,"CASA DE CULTURĂ GHERMĂNEŞTI",269,SNAGOV,105160,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:28:51",1387,1339,5,43,0,932,887,2,43,0,875,57,1500,568,37,7,104,611,7,17,71,18,3
25,ILFOV,"CASA DE CULTURĂ GHERMĂNEŞTI",270,SNAGOV,105160,5,PROV,PRCNCT,CJ,CJ_SV,"2024-06-13 11:44:50",1202,1163,2,35,2,852,814,1,35,2,820,30,1300,448,19,9,99,568,8,10,78,26,3
25,ILFOV,"CENTRUL DE ASISTENȚĂ DUPĂ PROGROMUL ȘCOLAR",283,TUNARI,105570,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:45:26",326,318,0,8,0,176,168,0,8,0,171,5,336,160,3,1,24,89,3,7,39,2,3
25,ILFOV,"CLĂDIREA AFTER SCHOOL",195,CORBEANCA,102160,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 12:11:30",1941,1863,29,48,1,1113,1056,8,48,1,1088,25,1998,885,17,3,99,301,10,32,603,12,11
25,ILFOV,"CLĂDIRE POLICLINICĂ",136,BALOTEŞTI,100969,4,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 18:10:19",1047,1032,5,8,2,567,557,0,8,2,546,21,1101,534,20,6,69,327,3,9,99,9,4
25,ILFOV,"COMPLEX REZIDENȚIAL COSMOPOLIS - COSMOPOLIS PLAZA",275,"ŞTEFĂNEŞTII DE JOS",105419,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 09:07:42",1146,1087,42,17,0,516,499,0,17,0,507,9,1200,684,21,1,32,146,2,10,269,14,12
25,ILFOV,"COMPLEX REZIDENȚIAL COSMOPOLIS, SPAȚIUL NR. 7 (SHOWROOM)",272,"ŞTEFĂNEŞTII DE JOS",105419,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 13:54:37",1730,1635,71,23,1,748,723,1,23,1,718,30,1800,1052,32,5,45,208,5,9,392,17,5
25,ILFOV,"CREȘA PRICHINDEL NR. 3",105,"ORAŞ VOLUNTARI",179551,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:57:02",1975,1959,0,16,0,650,634,0,16,0,630,20,2200,1550,22,4,59,177,6,18,324,10,10
25,ILFOV,"DIRECȚIA DE IMPOZITE ȘI TAXE POPEȘTI-LEORDENI",80,"ORAŞ POPEŞTI-LEORDENI",179533,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:27:13",1760,1661,21,78,0,953,875,0,78,0,856,15,1800,929,19,1,119,276,6,18,396,4,17
25,ILFOV,"DIRECȚIA DE IMPOZITE ȘI TAXE POPEȘTI-LEORDENI",81,"ORAŞ POPEŞTI-LEORDENI",179533,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:28:20",1252,1175,12,65,0,630,565,0,65,0,607,23,1300,670,20,2,80,189,3,21,277,12,3
