precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA ELECTORALĂ PSD PNL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL ROMÂNIA MARE-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi"
47,"Sector 4","COLEGIUL NAȚIONAL DE ARTE ”DINU LIPATTI”",666,"BUCUREŞTI SECTORUL 4",179178,1,PROV,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 06:38:34",1117,1089,19,9,0,451,441,1,9,0,440,11,1204,753,150,58,7,39,21,149,16
47,"Sector 4","COLEGIUL NAȚIONAL DE ARTE ”DINU LIPATTI”",667,"BUCUREŞTI SECTORUL 4",179178,1,PART,PRCNCT,CL,CL_SV_SECTOR,"2024-06-12 04:06:49",1329,1282,33,14,0,560,545,1,14,0,547,13,1400,840,177,57,10,58,31,186,28
47,"Sector 4","COLEGIUL NAŢIONAL ION CREANGĂ",675,"BUCUREŞTI SECTORUL 4",179178,1,PROV,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 07:09:07",1377,1346,20,11,0,624,613,0,11,0,613,11,1600,976,194,77,9,76,23,206,28
47,"Sector 4","COLEGIUL NAŢIONAL ION CREANGĂ",676,"BUCUREŞTI SECTORUL 4",179178,1,PART,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 05:44:36",958,948,9,1,0,381,380,0,1,0,377,4,1096,715,158,38,6,39,10,117,9
47,"Sector 4","COLEGIUL NAŢIONAL OCTAV ONICESCU",757,"BUCUREŞTI SECTORUL 4",179178,1,PART,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 06:18:28",1427,1416,3,8,0,603,595,0,8,0,581,22,1500,897,309,57,8,36,31,117,23
47,"Sector 4","COLEGIUL NAŢIONAL OCTAV ONICESCU",755,"BUCUREŞTI SECTORUL 4",179178,1,PROV,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 09:35:37",1686,1676,3,7,0,739,731,1,7,0,715,20,1800,1065,355,77,13,52,41,152,25
47,"Sector 4","COLEGIUL NAŢIONAL OCTAV ONICESCU",756,"BUCUREŞTI SECTORUL 4",179178,1,PART,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 06:32:11",1090,1084,3,3,0,507,504,0,3,0,485,19,1200,696,243,50,11,29,17,111,24
47,"Sector 4","COLEGIUL NAŢIONAL OCTAV ONICESCU",758,"BUCUREŞTI SECTORUL 4",179178,1,PART,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 08:53:22",1302,1293,2,5,2,660,653,0,5,2,638,22,1400,740,301,52,12,49,31,163,30
47,"Sector 4","COLEGIUL TEHNIC GRIGORE CERCHEZ",678,"BUCUREŞTI SECTORUL 4",179178,1,PROV,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 05:13:58",1334,1316,9,9,0,627,609,9,9,0,597,21,1500,882,216,74,6,56,16,197,32
47,"Sector 4","COLEGIUL TEHNIC GRIGORE CERCHEZ",677,"BUCUREŞTI SECTORUL 4",179178,1,PART,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 12:37:05",965,941,23,1,0,418,418,0,0,0,398,20,998,580,175,34,3,40,17,121,8
47,"Sector 4","GRĂDINIŢA ”CIUPERCUTA”",798,"BUCUREŞTI SECTORUL 4",179178,1,PART,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 03:16:43",1289,1265,16,8,0,461,437,16,8,0,451,10,1300,839,223,40,6,39,17,99,27
47,"Sector 4","GRĂDINIŢA ”CIUPERCUTA”",797,"BUCUREŞTI SECTORUL 4",179178,1,PROV,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 05:05:29",1051,1042,0,9,0,532,523,0,9,0,525,7,1100,568,220,54,8,34,18,181,10
47,"Sector 4","GRĂDINIŢA ”CIUPERCUTA”",799,"BUCUREŞTI SECTORUL 4",179178,1,PROV,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 07:53:50",1265,1257,3,4,1,496,491,0,4,1,485,11,1398,902,237,47,19,23,19,122,18
47,"Sector 4","GRĂDINIŢA ”CIUPERCUTA”",800,"BUCUREŞTI SECTORUL 4",179178,1,PART,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 04:26:12",1124,1113,3,8,0,435,427,0,8,0,422,13,1200,765,186,51,6,30,21,110,18
47,"Sector 4","GRĂDINIȚA PANSELUȚA",722,"BUCUREŞTI SECTORUL 4",179178,1,PART,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 04:14:34",1599,1589,0,10,0,630,620,0,10,0,615,15,1800,1170,304,66,11,39,35,125,35
47,"Sector 4","GRĂDINIȚA PANSELUȚA",721,"BUCUREŞTI SECTORUL 4",179178,1,PART,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 06:48:24",1577,1569,4,4,0,703,699,0,4,0,684,19,1700,997,371,70,15,38,27,139,24
47,"Sector 4","GRĂDINIȚA PANSELUȚA",723,"BUCUREŞTI SECTORUL 4",179178,1,PROV,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 06:36:40",1119,1099,7,6,7,473,460,0,6,7,460,13,1400,927,248,51,8,32,16,85,20
47,"Sector 4","GRĂDINIȚA PANSELUȚA",720,"BUCUREŞTI SECTORUL 4",179178,1,PART,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 03:47:22",1277,1272,0,4,1,580,575,0,4,1,553,27,1400,820,292,51,17,35,33,103,22
47,"Sector 4","GRĂDINIȚA ”PISICILE ARISTOCRATE”",664,"BUCUREŞTI SECTORUL 4",179178,1,PART,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 06:12:37",1303,1274,20,8,1,497,488,0,8,1,489,8,1400,903,169,58,16,41,24,159,22
47,"Sector 4","GRĂDINIȚA ”PISICILE ARISTOCRATE”",665,"BUCUREŞTI SECTORUL 4",179178,1,PROV,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 06:54:06",1290,1283,2,5,0,524,517,2,5,0,517,7,1400,876,179,64,10,35,16,187,26
47,"Sector 4","GRĂDINIȚA ”PISICILE ARISTOCRATE”",663,"BUCUREŞTI SECTORUL 4",179178,1,PROV,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 07:19:36",1830,1806,3,18,3,650,626,3,18,3,629,21,2200,1550,266,64,6,44,11,225,13
47,"Sector 4","GRĂDINIȚA VISTA",769,"BUCUREŞTI SECTORUL 4",179178,1,PROV,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 04:40:48",1208,1197,0,11,0,548,537,0,11,0,538,10,1300,752,284,48,12,39,10,124,21
47,"Sector 4","GRĂDINIȚA VISTA",770,"BUCUREŞTI SECTORUL 4",179178,1,PROV,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 06:22:11",2089,2077,0,12,0,844,832,0,12,0,829,15,2200,1256,438,73,13,44,42,176,43
47,"Sector 4","GRAND ARENA-GRĂDINIȚA ”ALBĂ CA ZĂPADA ȘI PITICII”",850,"BUCUREŞTI SECTORUL 4",179178,1,PART,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 10:59:52",1929,1907,8,14,0,956,942,0,14,0,939,17,2200,1244,434,57,16,94,28,272,38
47,"Sector 4","GRAND ARENA-GRĂDINIȚA ”ALBĂ CA ZĂPADA ȘI PITICII”",851,"BUCUREŞTI SECTORUL 4",179178,1,PROV,PRCNCT,CL,CL_SV_SECTOR,"2024-06-13 00:54:57",1737,1711,11,15,0,900,885,0,15,0,885,15,1900,1000,409,78,5,87,31,247,28
47,"Sector 4","GRAND ARENA-GRĂDINIȚA ”PITICOT”",849,"BUCUREŞTI SECTORUL 4",179178,1,PART,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 05:59:06",1845,1821,6,18,0,887,869,0,18,0,865,22,1967,1080,455,45,10,63,24,223,45
47,"Sector 4","LICEUL TEHNOLOGIC DACIA",710,"BUCUREŞTI SECTORUL 4",179178,1,PART,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 03:59:34",1748,1733,12,3,0,735,732,0,3,0,713,22,2100,1365,340,80,14,53,24,167,35
47,"Sector 4","LICEUL TEHNOLOGIC DACIA",716,"BUCUREŞTI SECTORUL 4",179178,1,PROV,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 05:25:14",1700,1693,0,7,0,602,595,0,7,0,578,19,1900,1298,266,91,7,38,37,94,45
47,"Sector 4","LICEUL TEHNOLOGIC DACIA",717,"BUCUREŞTI SECTORUL 4",179178,1,PROV,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 03:31:51",1928,1903,7,18,0,826,808,0,18,0,809,4,2100,1287,373,56,14,63,9,268,26
47,"Sector 4","LICEUL TEHNOLOGIC DACIA",712,"BUCUREŞTI SECTORUL 4",179178,1,PROV,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 08:46:11",1630,1620,4,6,0,743,736,1,6,0,722,14,1800,1064,312,80,12,70,32,193,23
47,"Sector 4","LICEUL TEHNOLOGIC DACIA",715,"BUCUREŞTI SECTORUL 4",179178,1,PROV,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 09:04:24",1839,1832,2,4,1,559,554,0,4,1,520,38,2000,1442,219,78,8,25,59,80,51
47,"Sector 4","LICEUL TEHNOLOGIC DACIA",714,"BUCUREŞTI SECTORUL 4",179178,1,PROV,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 07:34:36",1796,1792,0,4,0,631,627,0,4,0,616,15,2000,1369,290,69,7,43,28,138,41
47,"Sector 4","LICEUL TEHNOLOGIC DACIA",713,"BUCUREŞTI SECTORUL 4",179178,1,PART,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 06:43:06",1730,1718,5,7,0,806,799,0,7,0,791,15,1900,1094,396,55,8,74,24,195,39
47,"Sector 4","LICEUL TEHNOLOGIC DACIA",719,"BUCUREŞTI SECTORUL 4",179178,1,PROV,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 12:22:39",1793,1767,19,7,0,793,786,0,7,0,777,16,1900,1107,402,42,7,69,21,218,18
47,"Sector 4","LICEUL TEHNOLOGIC DACIA",718,"BUCUREŞTI SECTORUL 4",179178,1,PART,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 03:55:13",1732,1680,20,32,0,822,788,2,32,0,812,10,1800,978,412,47,13,72,14,231,23
47,"Sector 4","LICEUL TEHNOLOGIC DACIA",711,"BUCUREŞTI SECTORUL 4",179178,1,PART,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 11:09:52",1569,1519,6,25,19,670,626,0,25,19,655,15,1700,1029,281,61,13,64,34,179,23
47,"Sector 4","LICEUL TEHNOLOGIC DACIA",709,"BUCUREŞTI SECTORUL 4",179178,1,PART,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 02:44:18",1712,1670,35,7,0,771,764,0,7,0,762,9,1800,1029,355,63,12,61,23,213,35
47,"Sector 4","LICEUL TEHNOLOGIC DE METROLOGIE ”TRAIAN VUIA”",683,"BUCUREŞTI SECTORUL 4",179178,1,PART,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 09:54:32",1354,1339,8,7,0,675,668,0,7,0,662,13,1502,827,231,51,7,67,16,273,17
47,"Sector 4","LICEUL TEHNOLOGIC DE METROLOGIE ”TRAIAN VUIA”",679,"BUCUREŞTI SECTORUL 4",179178,1,PROV,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 05:20:15",1139,1132,4,3,0,510,507,0,3,0,495,15,1200,690,178,48,5,50,13,195,6
47,"Sector 4","LICEUL TEHNOLOGIC DE METROLOGIE ”TRAIAN VUIA”",682,"BUCUREŞTI SECTORUL 4",179178,1,PART,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 05:02:46",1041,1006,23,12,0,446,434,0,12,0,443,3,1101,655,166,34,4,33,9,179,18
47,"Sector 4","LICEUL TEHNOLOGIC DE METROLOGIE ”TRAIAN VUIA”",681,"BUCUREŞTI SECTORUL 4",179178,1,PROV,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 09:24:54",1157,1149,0,8,0,536,528,0,8,0,536,0,1300,764,188,52,3,57,6,218,12
47,"Sector 4","LICEUL TEHNOLOGIC DE METROLOGIE ”TRAIAN VUIA”",680,"BUCUREŞTI SECTORUL 4",179178,1,PROV,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 07:20:44",1153,1135,13,5,0,551,546,0,5,0,546,5,1306,755,159,42,5,65,10,255,10
47,"Sector 4","ŞCOALA GIMNAZIALĂ AVRAM IANCU",768,"BUCUREŞTI SECTORUL 4",179178,1,PROV,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 08:43:14",1810,1800,3,5,2,830,823,0,5,2,813,15,2000,1172,377,87,14,57,36,216,26
47,"Sector 4","ŞCOALA GIMNAZIALĂ AVRAM IANCU",766,"BUCUREŞTI SECTORUL 4",179178,1,PART,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 08:06:28",1796,1788,3,5,0,721,716,0,5,0,702,19,1900,1179,329,79,12,51,33,175,23
47,"Sector 4","ŞCOALA GIMNAZIALĂ AVRAM IANCU",764,"BUCUREŞTI SECTORUL 4",179178,1,PROV,PRCNCT,CL,CL_SV_SECTOR,"2024-06-12 00:31:53",1892,1877,8,7,0,831,824,0,7,0,799,21,2000,1164,390,58,14,50,29,228,30
47,"Sector 4","ŞCOALA GIMNAZIALĂ AVRAM IANCU",767,"BUCUREŞTI SECTORUL 4",179178,1,PROV,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 06:35:11",1838,1812,15,11,0,675,664,0,11,0,654,17,1998,1327,304,63,13,52,28,168,26
47,"Sector 4","ŞCOALA GIMNAZIALĂ AVRAM IANCU",765,"BUCUREŞTI SECTORUL 4",179178,1,PART,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 08:28:01",1670,1658,3,7,2,798,789,0,7,2,775,23,1800,1002,346,68,16,55,35,219,36
47,"Sector 4","ŞCOALA GIMNAZIALĂ EMIL RACOVIŢĂ",779,"BUCUREŞTI SECTORUL 4",179178,1,PROV,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 09:30:24",1801,1790,0,11,0,797,786,0,11,0,782,15,1900,1103,391,77,8,71,23,183,29
47,"Sector 4","ŞCOALA GIMNAZIALĂ EMIL RACOVIŢĂ",780,"BUCUREŞTI SECTORUL 4",179178,1,PART,PRCNCT,CL,CL_SV_SECTOR,"2024-06-12 05:16:43",1534,1509,13,12,0,587,575,0,12,0,570,17,1700,1113,240,82,16,39,23,130,40
47,"Sector 4","ŞCOALA GIMNAZIALĂ EMIL RACOVIŢĂ",781,"BUCUREŞTI SECTORUL 4",179178,1,PART,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 07:35:09",1482,1468,5,9,0,622,613,0,9,0,612,10,1600,978,264,71,10,46,29,160,32
47,"Sector 4","ŞCOALA GIMNAZIALĂ EMIL RACOVIŢĂ",778,"BUCUREŞTI SECTORUL 4",179178,1,PART,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 05:01:41",1419,1410,1,8,0,619,611,0,8,0,607,12,1600,981,313,56,10,37,23,138,30
47,"Sector 4","ŞCOALA GIMNAZIALĂ ”GEORGE BACOVIA”",794,"BUCUREŞTI SECTORUL 4",179178,1,PROV,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 06:28:04",1675,1661,6,8,0,769,761,0,8,0,735,28,1804,1041,291,89,19,57,25,214,40
47,"Sector 4","ŞCOALA GIMNAZIALĂ ”GEORGE BACOVIA”",792,"BUCUREŞTI SECTORUL 4",179178,1,PROV,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 06:05:06",1750,1741,0,9,0,838,829,0,9,0,825,13,1900,1062,285,90,19,59,30,302,40
47,"Sector 4","ŞCOALA GIMNAZIALĂ ”GEORGE BACOVIA”",796,"BUCUREŞTI SECTORUL 4",179178,1,PART,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 03:45:31",1711,1692,2,16,1,759,742,0,16,1,739,20,1800,1041,287,101,6,54,18,250,23
47,"Sector 4","ŞCOALA GIMNAZIALĂ ”GEORGE BACOVIA”",793,"BUCUREŞTI SECTORUL 4",179178,1,PART,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 06:31:36",1808,1764,38,6,0,785,777,2,6,0,766,19,1900,1115,309,72,9,68,38,240,30
47,"Sector 4","ŞCOALA GIMNAZIALĂ ”GEORGE BACOVIA”",790,"BUCUREŞTI SECTORUL 4",179178,1,PROV,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 17:42:05",1370,1357,4,9,0,642,633,0,9,0,615,25,1500,860,290,63,7,52,23,155,25
47,"Sector 4","ŞCOALA GIMNAZIALĂ ”GEORGE BACOVIA”",791,"BUCUREŞTI SECTORUL 4",179178,1,PROV,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 05:45:00",1222,1213,0,9,0,600,591,0,9,0,586,5,1300,699,260,52,17,52,12,179,14
47,"Sector 4","ŞCOALA GIMNAZIALĂ ”GEORGE BACOVIA”",795,"BUCUREŞTI SECTORUL 4",179178,1,PART,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 06:00:30",1691,1666,13,12,0,787,774,1,12,0,774,13,1800,1013,280,72,6,65,21,306,24
47,"Sector 4","ŞCOALA GIMNAZIALĂ GEORGE TOPÂRCEANU",830,"BUCUREŞTI SECTORUL 4",179178,1,PART,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 14:12:26",1391,1382,4,5,0,596,591,0,5,0,571,23,1500,904,275,68,7,31,44,124,22
47,"Sector 4","ŞCOALA GIMNAZIALĂ GEORGE TOPÂRCEANU",832,"BUCUREŞTI SECTORUL 4",179178,1,PART,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 05:04:15",1501,1492,1,8,0,676,668,0,8,0,655,21,1600,924,365,70,9,26,36,121,28
47,"Sector 4","ŞCOALA GIMNAZIALĂ GEORGE TOPÂRCEANU",829,"BUCUREŞTI SECTORUL 4",179178,1,PART,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 05:19:55",1391,1384,1,6,0,559,553,0,6,0,542,17,1500,941,256,60,11,29,52,103,31
