precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"BINDER EUGÉN-PARTIDUL SOCIAL DEMOCRAT-voturi","GANEA CONSTANTIN-FORȚA DREPTEI-voturi","NEMEŞ GHIŢĂ-ADRIAN-PARTIDUL NAȚIONAL LIBERAL-voturi","GIURGIU-KOVÁCS MONICA-SILVIA-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi"
32,"SATU MARE","COLEGIUL TEHNIC ”IULIU MANIU”",76,"MUNICIPIUL CAREI",136526,3,PART,PRCNCT,P,P_SV,"2024-06-12 17:37:06",1267,1260,2,4,1,601,596,0,4,1,586,15,1400,799,109,15,130,332
32,"SATU MARE","GRĂDINIŢA CU PROGRAM NORMAL IANCULEŞTI",88,"MUNICIPIUL CAREI",136526,2,PART,PRCNCT,P,P_SV,"2024-06-10 08:26:40",285,276,0,9,0,147,138,0,9,0,140,7,484,337,69,4,59,8
32,"SATU MARE","GRĂDINIŢA CU PROGRAM NORMAL NR.10",81,"MUNICIPIUL CAREI",136526,3,PART,PRCNCT,P,P_SV,"2024-06-12 17:19:37",1785,1770,2,13,0,711,698,0,13,0,689,22,1900,1189,144,12,174,359
32,"SATU MARE","GRĂDINIŢA CU PROGRAM NORMAL NR.5",84,"MUNICIPIUL CAREI",136526,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:55:05",1929,1905,4,17,3,832,812,0,17,3,788,44,2100,1268,163,18,118,489
32,"SATU MARE","GRĂDINIŢA CU PROGRAM NORMAL NR.8",85,"MUNICIPIUL CAREI",136526,2,PART,PRCNCT,P,P_SV,"2024-06-10 12:53:54",1367,1356,5,6,0,673,667,0,6,0,657,16,1500,827,156,16,112,373
32,"SATU MARE","GRĂDINIŢA CU PROGRAM NORMAL NR.9",80,"MUNICIPIUL CAREI",136526,1,PART,PRCNCT,P,P_SV,"2024-06-10 19:52:25",1093,1085,1,7,0,477,470,0,7,0,468,9,1200,723,92,11,76,289
32,"SATU MARE","LICEUL ROMANO-CATOLIC”JOSEPHUS CALASANTIUS”",75,"MUNICIPIUL CAREI",136526,3,PART,PRCNCT,P,P_SV,"2024-06-12 17:18:08",1570,1565,0,4,1,687,682,0,4,1,635,52,1700,1013,171,35,66,363
32,"SATU MARE","LICEUL TEHNOLOGIC ”SIMION BĂRNUŢIU”",77,"MUNICIPIUL CAREI",136526,3,PART,PRCNCT,P,P_SV,"2024-06-13 12:16:53",1533,1525,1,6,1,761,753,1,6,1,742,19,1695,934,91,15,101,535
32,"SATU MARE","LICEUL TEORETIC CAREI",83,"MUNICIPIUL CAREI",136526,3,PART,PRCNCT,P,P_SV,"2024-06-12 16:48:14",1554,1539,2,12,1,581,567,1,12,1,558,23,1699,1118,114,24,81,339
32,"SATU MARE","MUZEUL MUNICIPAL CAREI",86,"MUNICIPIUL CAREI",136526,3,PART,PRCNCT,P,P_SV,"2024-06-12 16:28:48",1939,1925,1,10,3,861,848,0,10,3,816,45,2099,1238,113,18,165,520
32,"SATU MARE","SCOALA GENERALA NR4",87,"MUNICIPIUL CAREI",136526,2,PART,PRCNCT,P,P_SV,"2024-06-12 16:26:37",960,931,5,9,15,379,356,0,9,14,369,10,1101,722,70,16,56,227
32,"SATU MARE","ŞCOALA GIMNAZIALĂ NR.1",78,"MUNICIPIUL CAREI",136526,2,PART,PRCNCT,P,P_SV,"2024-06-12 16:48:45",1518,1495,13,8,2,682,672,0,8,2,659,23,1601,919,115,16,120,408
32,"SATU MARE","ŞCOALA GIMNAZIALĂ NR.3",82,"MUNICIPIUL CAREI",136526,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:28:23",1498,1486,1,10,1,735,724,0,10,1,718,17,1601,866,184,21,181,332
32,"SATU MARE","ŞCOALA GIMNAZIALĂ ”VASILE LUCACIU” NR.2",79,"MUNICIPIUL CAREI",136526,3,PART,PRCNCT,P,P_SV,"2024-06-12 18:19:19",1633,1621,3,8,1,687,678,0,8,1,662,25,1800,1113,128,21,144,369
