precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"RĂDUCAN-MOREGA CORNELIU-ALIANȚA DREAPTA UNITĂ USR - PMP-voturi","CIOFÎCĂ ION-MARIAN-voturi","POPESCU IULIAN-VASILE-PARTIDUL NAȚIONAL LIBERAL-voturi","ANDREI VASILE-LIVIU-ALIANȚA NAȚIONAL CREȘTINĂ-voturi","ROMANESCU MARCEL-LAURENŢIU-PARTIDUL SOCIAL DEMOCRAT-voturi","PRIESCU IONELIA-FLORENŢA-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","CIOPLEAN MARIAN-IONUŢ-PARTIDUL UMANIST SOCIAL LIBERAL-voturi","TUDOR-DRĂGHICI ADRIAN-MARCEL-PARTIDUL VERDE-voturi","COICA GABRIEL-CONSTANTIN-PARTIDUL S.O.S. ROMÂNIA-voturi"
20,GORJ,"COLEGIUL ECONOMIC VIRGIL MADGEARU",32,"MUNICIPIUL TÂRGU JIU",77812,3,PART,PRCNCT,P,P_SV,"2024-06-14 20:43:02",1517,1501,11,5,0,766,761,0,5,0,751,15,1600,834,51,30,296,6,243,43,8,51,23
20,GORJ,"COLEGIUL ECONOMIC VIRGIL MADGEARU",33,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:52:09",1278,1261,10,7,0,636,629,0,7,0,627,9,1400,764,44,22,230,1,175,39,1,107,8
20,GORJ,"COLEGIUL ECONOMIC VIRGIL MADGEARU",31,"MUNICIPIUL TÂRGU JIU",77812,2,PART,PRCNCT,P,P_SV,"2024-06-14 21:04:34",1662,1652,2,8,0,786,778,0,8,0,764,11,1800,1014,27,29,284,6,248,37,1,99,33
20,GORJ,"COLEGIUL NAŢIONAL ECATERINA TEODOROIU",27,"MUNICIPIUL TÂRGU JIU",77812,3,PART,PRCNCT,P,P_SV,"2024-06-14 21:58:56",1460,1451,4,5,0,555,550,0,5,0,531,10,1600,1045,23,26,191,4,190,28,3,54,12
20,GORJ,"COLEGIUL NAŢIONAL ECATERINA TEODOROIU",28,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,P,P_SV,"2024-06-10 09:27:44",1361,1355,1,4,1,555,550,0,4,1,546,9,1500,945,25,42,173,3,214,42,1,36,10
20,GORJ,"COLEGIUL NAȚIONAL ECATERINA TEODOROIU",26,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:04:02",1368,1361,0,7,0,569,562,0,7,0,556,13,1500,931,35,23,174,4,224,35,3,40,18
20,GORJ,"COLEGIUL NAŢIONAL SPIRU HARET",13,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:34:05",1037,1031,0,6,0,492,486,0,6,0,479,13,1200,708,15,30,141,1,189,31,4,56,12
20,GORJ,"COLEGIUL NAŢIONAL SPIRU HARET",12,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:34:58",1275,1266,2,7,0,561,554,0,7,0,546,15,1400,839,21,26,171,2,186,43,3,81,13
20,GORJ,"COLEGIUL NAŢIONAL SPIRU HARET",10,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:53:49",938,933,0,5,0,461,456,0,5,0,452,9,1100,639,28,28,166,2,151,25,2,42,8
20,GORJ,"COLEGIUL NAŢIONAL SPIRU HARET",11,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:53:30",1407,1403,0,4,0,588,584,0,4,0,574,14,1600,1012,30,42,187,0,204,33,5,60,13
