precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL NAȚIONAL CONSERVATOR ROMÂN-voturi","OLĂRAŞU COSMIN-ALIN-voturi"
22,HUNEDOARA,"ADĂPOSTUL DE URGENŢĂ PE TIMP DE NOAPTE",43,"MUNICIPIUL DEVA",86687,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:32:06",882,873,3,4,2,450,444,0,4,2,403,41,900,456,75,16,77,165,7,35,5,4,19
22,HUNEDOARA,"AFTER SCHOOL",318,BUCEŞ,88788,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:08:02",331,324,0,3,4,228,221,0,3,4,203,25,340,112,53,1,73,67,2,5,1,0,1
22,HUNEDOARA,"AMFITEATRUL UNIVERSITĂȚII",143,"MUNICIPIUL PETROŞANI",86990,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:28:49",1300,1289,2,9,0,454,445,0,9,0,430,24,1400,946,93,27,66,168,3,45,2,10,16
22,HUNEDOARA,"ASOCIAȚIA COMPOSESORALĂ ”NOBIL” ZEICANI - MAGAZIN ZEICANI",455,SARMIZEGETUSA,91054,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:03:15",90,82,0,1,7,70,62,0,1,7,68,2,101,31,9,4,19,33,0,2,1,0,0
22,HUNEDOARA,"BIBLIOTECA MUNICIPALĂ PETROȘANI",156,"MUNICIPIUL PETROŞANI",86990,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:16:58",1392,1383,1,8,0,493,485,0,8,0,458,35,1500,1007,122,19,53,196,4,14,12,11,27
22,HUNEDOARA,"BIBLIOTECA MUNICIPALĂ PETROȘANI",157,"MUNICIPIUL PETROŞANI",86990,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:26:54",1642,1615,0,3,24,544,517,0,3,24,517,27,1800,1256,150,20,37,222,20,31,5,3,29
22,HUNEDOARA,"CĂMIN CULTURAL BOŞ (GRĂDINIŢA)",107,"MUNICIPIUL HUNEDOARA",86810,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:40:58",514,503,2,9,0,224,215,0,9,0,219,5,550,326,28,19,30,101,2,20,13,0,6
22,HUNEDOARA,"CĂMIN CULTURAL MERIA",394,"LUNCA CERNII DE JOS",90119,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 00:59:06",191,191,0,0,0,159,159,0,0,0,140,19,210,51,12,3,86,12,0,27,0,0,0
22,HUNEDOARA,"CĂMIN CULTURAL MUNCELU MARE",514,VEŢEL,91982,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-09 23:55:16",59,51,0,8,0,38,30,0,8,0,37,1,73,35,7,5,15,9,0,0,1,0,0
22,HUNEDOARA,"CĂMIN CULTURAL NEGOIU",395,"LUNCA CERNII DE JOS",90119,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 00:02:30",155,143,7,5,0,103,98,0,5,0,101,2,160,57,9,1,69,18,0,3,0,1,0
22,HUNEDOARA,"CAMIN CULTURAL RUNCU MARE",392,LELESE,90066,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 00:28:55",77,73,0,4,0,61,57,0,4,0,57,4,76,15,3,2,15,35,0,1,0,0,1
22,HUNEDOARA,"CĂMINUL CULTURAL",197,"ORAŞ CĂLAN",87424,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:33:18",244,232,2,9,1,157,146,1,9,1,141,16,250,93,16,3,67,42,5,7,0,1,0
22,HUNEDOARA,"CĂMINUL CULTURAL",200,"ORAŞ CĂLAN",87424,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:29:00",300,293,0,4,3,163,156,0,4,3,153,10,350,187,35,4,68,38,1,2,1,0,4
22,HUNEDOARA,"CĂMINUL CULTURAL",196,"ORAŞ CĂLAN",87424,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:35:21",280,262,0,9,9,186,168,0,9,9,177,9,300,114,35,2,65,52,3,16,0,3,1
22,HUNEDOARA,"CĂMINUL CULTURAL",201,"ORAŞ CĂLAN",87424,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:58:42",167,158,0,5,4,113,104,0,5,4,107,6,200,87,32,2,41,24,2,3,1,0,2
22,HUNEDOARA,"CĂMINUL CULTURAL",203,"ORAŞ CĂLAN",87424,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:58:50",254,250,0,4,0,163,159,0,4,0,157,6,300,137,38,0,52,59,1,6,0,0,1
22,HUNEDOARA,"CĂMINUL CULTURAL ALMAŞ SĂLIŞTE",521,ZAM,92177,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 00:11:38",109,101,1,7,0,65,57,1,7,0,59,6,117,52,9,2,30,16,0,1,0,0,1
22,HUNEDOARA,"CĂMINUL CULTURAL ALMAŞU MIC",410,"PESTIŞU MIC",90431,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:22:23",83,64,1,16,2,71,53,0,16,2,70,1,80,9,10,0,41,13,1,3,1,1,0
22,HUNEDOARA,"CĂMINUL CULTURAL ALMAŞU SEC",336,CÂRJIŢI,86749,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:06:24",206,170,2,32,2,165,130,1,32,2,159,6,180,15,26,5,78,30,5,11,3,0,1
22,HUNEDOARA,"CĂMINUL CULTURAL ALUN",292,BOŞOROD,88449,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:21:23",57,51,2,4,0,41,37,0,4,0,40,1,57,16,6,2,12,18,0,2,0,0,0
22,HUNEDOARA,"CĂMINUL CULTURAL ARDEU",261,BALŞA,87843,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 00:08:29",56,49,0,7,0,48,41,0,7,0,46,2,55,7,9,1,16,17,0,0,0,1,2
22,HUNEDOARA,"CĂMINUL CULTURAL AUREL VLAICU",206,"ORAŞ GEOAGIU",89561,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:28:43",790,768,13,7,2,473,460,4,7,2,453,11,850,386,47,9,220,154,0,11,4,3,5
22,HUNEDOARA,"CĂMINUL CULTURAL BACEA",381,ILIA,89856,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:43:20",278,266,0,6,6,151,139,0,6,6,137,14,302,151,36,4,15,75,0,2,0,1,4
22,HUNEDOARA,"CĂMINUL CULTURAL BĂCIA",270,BĂCIA,88047,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:06:38",856,843,1,11,1,525,513,0,11,1,504,20,925,401,83,61,77,228,6,33,8,0,8
