precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","PARTIDUL LEGE EDUCAȚIE UNITATE-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
23,IALOMIŢA,"AGENȚIA NAȚIONALĂ DE ÎMBUNĂTĂȚIRI FUNCIARE – FILIALA IALOMIȚA",18,"MUNICIPIUL SLOBOZIA",92658,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 22:54:25",1351,1336,1,13,1,601,587,0,13,1,577,24,1496,895,230,47,12,4,32,169,21,62
23,IALOMIŢA,"CĂMIN CULTURAL",218,"VALEA MĂCRIŞULUI",105794,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:55:23",361,339,0,5,17,248,226,0,5,17,224,24,400,152,154,13,4,0,0,9,5,39
23,IALOMIŢA,"CĂMIN CULTURAL",102,BALACIU,92907,4,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 10:33:17",389,329,0,12,48,255,195,0,12,48,242,13,400,145,98,23,4,1,2,75,16,23
23,IALOMIŢA,"CĂMIN CULTURAL",217,"VALEA MĂCRIŞULUI",105794,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:43:38",901,845,0,17,39,663,607,0,17,39,593,70,965,302,369,40,9,3,3,63,23,83
23,IALOMIŢA,"CĂMIN CULTURAL FRĂȚILEȘTI",203,SĂVENI,94376,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:49:01",344,344,0,0,0,172,172,0,0,0,153,19,413,241,68,25,2,4,0,8,4,42
23,IALOMIŢA,"CĂMIN CULTURAL GHIMPAŢI",128,CIULNIŢA,93156,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:34:10",201,196,0,5,0,137,132,0,5,0,128,9,200,63,61,10,2,0,0,52,0,3
23,IALOMIŢA,"CĂMIN CULTURAL ION GHICA",126,CIULNIŢA,93156,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:07:34",474,460,0,14,0,294,280,0,14,0,283,11,500,206,107,23,2,0,1,134,8,8
23,IALOMIŢA,"CĂMIN CULTURAL MIHAIL KOGĂLNICEANU",172,"MIHAIL KOGĂLNICEANU",93995,4,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 12:44:15",1354,1320,3,11,20,887,855,1,11,20,833,54,1484,597,366,142,54,2,7,160,29,73
23,IALOMIŢA,"CAMIN CULTURAL PLATONEŞTI",189,PLATONEŞTI,180000,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:19:17",748,717,1,21,9,480,450,0,21,9,444,36,800,320,242,66,5,5,1,25,15,85
23,IALOMIŢA,"CĂMIN CULTURAL POIANA - SALA DE FESTIVITĂȚI",127,CIULNIŢA,93156,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:55:44",355,350,0,5,0,222,217,0,5,0,213,9,400,178,101,12,5,3,0,66,11,15
23,IALOMIŢA,"CĂMIN CULTURAL, SAT SINTEŞTI",114,BORĂNEŞTI,179784,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:26:08",318,311,0,7,0,227,220,0,7,0,219,8,347,120,65,18,8,0,1,87,5,35
