precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ROMANESCU MARCEL-LAURENŢIU-PARTIDUL SOCIAL DEMOCRAT-voturi","POPESCU IULIAN-VASILE-PARTIDUL NAȚIONAL LIBERAL-voturi","PRIESCU IONELIA-FLORENŢA-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","RĂDUCAN-MOREGA CORNELIU-ALIANȚA DREAPTA UNITĂ USR - PMP-voturi","COICA GABRIEL-CONSTANTIN-PARTIDUL S.O.S. ROMÂNIA-voturi","TUDOR-DRĂGHICI ADRIAN-MARCEL-PARTIDUL VERDE-voturi","ANDREI VASILE-LIVIU-ALIANȚA NAȚIONAL CREȘTINĂ-voturi","CIOPLEAN MARIAN-IONUŢ-PARTIDUL UMANIST SOCIAL LIBERAL-voturi","CIOFÎCĂ ION-MARIAN-voturi"
20,GORJ,"COLEGIUL ECONOMIC VIRGIL MADGEARU",32,"MUNICIPIUL TÂRGU JIU",77812,1,PROV,PRCNCT,P,P_SV,"2024-06-10 09:22:59",1506,1501,0,5,0,766,761,0,5,0,751,11,1600,838,243,296,43,51,23,51,6,8,30
20,GORJ,"COLEGIUL ECONOMIC VIRGIL MADGEARU",33,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:52:09",1278,1261,10,7,0,636,629,0,7,0,627,9,1400,764,175,230,39,44,8,107,1,1,22
20,GORJ,"COLEGIUL ECONOMIC VIRGIL MADGEARU",31,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:43:47",1662,1652,2,8,0,786,778,0,8,0,764,11,1800,1025,248,284,37,27,33,99,6,1,29
20,GORJ,"COLEGIUL NAŢIONAL ECATERINA TEODOROIU",27,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:35:03",1456,1451,0,5,0,555,550,0,5,0,531,10,1600,1059,190,191,28,23,12,54,4,3,26
20,GORJ,"COLEGIUL NAŢIONAL ECATERINA TEODOROIU",28,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,P,P_SV,"2024-06-10 09:27:44",1361,1355,1,4,1,555,550,0,4,1,546,9,1500,945,214,173,42,25,10,36,3,1,42
20,GORJ,"COLEGIUL NAȚIONAL ECATERINA TEODOROIU",26,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:04:02",1368,1361,0,7,0,569,562,0,7,0,556,13,1500,931,224,174,35,35,18,40,4,3,23
20,GORJ,"COLEGIUL NAŢIONAL SPIRU HARET",13,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:34:05",1037,1031,0,6,0,492,486,0,6,0,479,13,1200,708,189,141,31,15,12,56,1,4,30
20,GORJ,"COLEGIUL NAŢIONAL SPIRU HARET",12,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:34:58",1275,1266,2,7,0,561,554,0,7,0,546,15,1400,839,186,171,43,21,13,81,2,3,26
20,GORJ,"COLEGIUL NAŢIONAL SPIRU HARET",10,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:53:49",938,933,0,5,0,461,456,0,5,0,452,9,1100,639,151,166,25,28,8,42,2,2,28
20,GORJ,"COLEGIUL NAŢIONAL SPIRU HARET",11,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:53:30",1407,1403,0,4,0,588,584,0,4,0,574,14,1600,1012,204,187,33,30,13,60,0,5,42
20,GORJ,"COLEGIUL NAȚIONAL SPIRU HARET",9,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:14:47",1029,1020,0,9,0,468,459,0,9,0,458,10,1200,732,158,149,35,31,2,53,3,1,26
20,GORJ,"COLEGIUL NAȚIONAL TUDOR VLADIMIRESCU",3,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:35:45",1155,1143,1,8,3,563,552,0,8,3,557,6,1300,737,181,243,22,41,6,33,10,2,19
20,GORJ,"COLEGIUL NAȚIONAL TUDOR VLADIMIRESCU",2,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:14:38",1046,1031,1,6,8,547,533,0,6,8,540,7,1200,653,191,180,24,40,9,66,7,0,23
20,GORJ,"COLEGIUL TEHNIC GENERAL GHEORGHE MAGHERU",46,"MUNICIPIUL TÂRGU JIU",77812,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:12:35",1744,1725,9,10,0,703,693,0,10,0,684,9,2000,1297,256,217,43,18,11,89,9,4,37
20,GORJ,"COLEGIUL TEHNIC GENERAL GHEORGHE MAGHERU",45,"MUNICIPIUL TÂRGU JIU",77812,1,PROV,PRCNCT,P,P_SV,"2024-06-10 08:45:05",1667,1660,0,7,0,599,592,0,7,0,588,11,1800,1000,259,135,44,18,14,59,1,8,50
20,GORJ,"COLEGIUL TEHNIC HENRI COANDĂ",53,"MUNICIPIUL TÂRGU JIU",77812,1,PROV,PRCNCT,P,P_SV,"2024-06-10 10:51:24",784,767,3,14,0,375,361,0,14,0,357,18,900,525,133,111,37,9,6,29,3,1,28
20,GORJ,"COLEGIUL TEHNIC ION MINCU",43,"MUNICIPIUL TÂRGU JIU",77812,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:13:33",1249,1242,0,7,0,521,514,0,7,0,511,10,1400,878,204,140,39,11,10,59,4,3,41
20,GORJ,"COLEGIUL TEHNIC ION MINCU",44,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:34:30",1118,1111,2,5,0,475,470,0,5,0,469,6,1300,825,174,138,38,25,13,46,0,1,34
20,GORJ,"COLEGIUL TEHNIC NR.2",6,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:53:03",1307,1297,4,6,0,590,584,0,6,0,575,15,1500,910,226,186,27,39,12,44,4,5,32
20,GORJ,"IMOBIL NR.42",56,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:47:11",736,726,4,5,1,347,341,0,5,1,342,5,800,453,127,104,27,23,5,40,2,1,13
20,GORJ,"LICEUL CU PROGRAM SPORTIV",30,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:42:09",889,886,0,3,0,382,379,0,3,0,371,11,1000,618,138,126,24,21,14,23,2,4,19
20,GORJ,"LICEUL CU PROGRAM SPORTIV",29,"MUNICIPIUL TÂRGU JIU",77812,1,PROV,PRCNCT,P,P_SV,"2024-06-10 07:01:39",1020,1015,1,4,0,455,451,0,4,0,445,10,1100,645,162,132,31,26,6,50,4,6,28
20,GORJ,"LICEUL DE ARTE CONSTANTIN BRĂILOIU",37,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:40:52",1176,1171,2,3,0,529,526,0,3,0,514,15,1300,771,181,152,30,26,10,68,3,1,43
20,GORJ,"LICEUL DE ARTE CONSTANTIN BRĂILOIU",34,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:03:18",1183,1176,1,6,0,566,560,0,6,0,548,18,1300,734,179,205,32,38,9,69,2,1,13
20,GORJ,"LICEUL DE ARTE CONSTANTIN BRĂILOIU",35,"MUNICIPIUL TÂRGU JIU",77812,1,PROV,PRCNCT,P,P_SV,"2024-06-10 07:23:40",1463,1454,1,8,0,714,706,0,8,0,702,12,1700,986,215,201,32,46,13,152,5,4,34
20,GORJ,"LICEUL DE ARTE CONSTANTIN BRĂILOIU",36,"MUNICIPIUL TÂRGU JIU",77812,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:56:23",1378,1370,0,8,0,577,569,0,8,0,548,29,1600,1023,267,168,20,25,8,53,3,1,3
20,GORJ,"LICEUL TEOLOGIC",15,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:41:23",1417,1411,2,4,0,623,619,0,4,0,606,17,1500,877,208,207,38,42,9,59,5,5,33
20,GORJ,"LICEUL TEOLOGIC",17,"MUNICIPIUL TÂRGU JIU",77812,1,PROV,PRCNCT,P,P_SV,"2024-06-10 07:23:55",1258,1239,0,2,17,561,542,0,2,17,474,87,1400,837,178,150,28,32,9,42,5,4,26
20,GORJ,"LICEUL TEOLOGIC",16,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:03:21",1374,1371,0,3,0,492,489,0,3,0,478,8,1500,1014,207,122,44,26,11,32,4,11,21
20,GORJ,"PALATUL COPIILOR",14,"MUNICIPIUL TÂRGU JIU",77812,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:50:51",955,949,0,5,1,441,435,0,5,1,429,12,1100,659,136,166,29,27,5,49,2,1,14
20,GORJ,"ŞCOALA GENERALĂ ECATERINA TEODOROIU",42,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:27:43",1328,1318,1,9,0,620,611,0,9,0,603,17,1600,980,211,198,38,25,18,75,2,0,36
20,GORJ,"ŞCOALA GIMNAZIALĂ ALEXANDRU ŞTEFULESCU",7,"MUNICIPIUL TÂRGU JIU",77812,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:58:19",1126,1113,4,7,2,536,527,0,7,2,515,14,1200,671,161,195,29,34,10,57,7,5,17
20,GORJ,"ŞCOALA GIMNAZIALĂ CONSTANTIN BRÂNCUŞI",23,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:59:44",1459,1443,5,11,0,604,593,0,11,0,596,8,1600,996,197,196,42,28,33,64,2,4,30
20,GORJ,"ŞCOALA GIMNAZIALĂ CONSTANTIN BRÂNCUŞI",25,"MUNICIPIUL TÂRGU JIU",77812,1,PROV,PRCNCT,P,P_SV,"2024-06-10 07:20:52",1352,1347,2,3,0,556,553,0,3,0,550,6,1600,1044,249,139,43,28,11,33,6,11,30
20,GORJ,"ŞCOALA GIMNAZIALĂ CONSTANTIN BRÂNCUŞI",22,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:49:27",1475,1465,2,8,0,702,694,0,8,0,667,35,1700,998,248,218,46,27,17,69,5,5,32
20,GORJ,"ŞCOALA GIMNAZIALĂ CONSTANTIN BRÂNCUŞI",24,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:45:46",1411,1403,2,5,1,552,546,0,5,1,541,11,1500,948,258,125,39,25,11,36,3,5,39
20,GORJ,"ŞCOALA GIMNAZIALĂ CONSTANTIN SĂVOIU",4,"MUNICIPIUL TÂRGU JIU",77812,1,PROV,PRCNCT,P,P_SV,"2024-06-10 07:46:49",1031,1026,2,3,0,482,479,0,3,0,474,8,1200,718,159,195,25,28,5,45,2,0,15
20,GORJ,"ŞCOALA GIMNAZIALĂ CONSTANTIN SĂVOIU",5,"MUNICIPIUL TÂRGU JIU",77812,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:20:46",1075,1073,0,2,0,491,489,0,2,0,478,13,1200,709,143,153,38,41,6,60,5,3,29
20,GORJ,"ŞCOALA GIMNAZIALĂ GHEORGHE TĂTĂRĂSCU",18,"MUNICIPIUL TÂRGU JIU",77812,1,PROV,PRCNCT,P,P_SV,"2024-06-10 08:50:30",1438,1421,1,9,7,605,589,0,9,7,587,18,1600,995,207,185,51,25,20,59,5,3,32
