precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"BARBUR FLORIN-GHEORGHE-PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","ANGHEL CRISTIAN-FORȚA DREPTEI-voturi","CIUCĂ SEVER-IULIAN-PARTIDUL ECOLOGIST ROMÂN-voturi","CRISTIAN BRIAN-ALIANȚA DREAPTA UNITĂ USR - PMP-voturi","CIRŢ MIRCEA-PARTIDUL VERTICALA NOUĂ-voturi","HERŢEG CĂLIN-GHEORGHE-PARTIDUL ALTERNATIVA DREAPTĂ-voturi","PAP ZSOLT-ISTVAN-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","DOLHA MIRCEA-PARTIDUL NAȚIONAL CONSERVATOR ROMÂN-voturi","ZAINEA SERGIU-FLORIAN-voturi","FILIP CLAUDIU-GHEORGHE-PARTIDUL VERDE-voturi","PÎRVĂNOIU COSTEL-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","BOGDAN IONEL-OVIDIU-PARTIDUL NAȚIONAL LIBERAL-voturi","HODOROGEA BOGDAN-PARTIDUL S.O.S. ROMÂNIA-voturi","POP LIVIU-MARIAN-PARTIDUL UMANIST SOCIAL LIBERAL-voturi","DĂNCUŞ IOAN-DORU-PARTIDUL SOCIAL DEMOCRAT-voturi","GROZA CĂLIN-FLORIN-PARTIDUL OAMENILOR TINERI-voturi"
26,MARAMUREŞ,"ADMINISTRAȚIA BAZELOR SPORTIVE",47,"MUNICIPIUL BAIA MARE",106318,2,PART,PRCNCT,P,P_SV,"2024-06-14 10:41:56",1390,1373,5,12,0,625,613,0,12,0,609,16,1500,875,6,53,5,108,99,6,32,3,4,3,14,137,3,2,129,5
26,MARAMUREŞ,"AGENȚIA DE PLĂȚI ȘI INTERVENȚIE PENTRU AGRICULTURĂ MARAMUREȘ",1,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,P,P_SV,"2024-06-10 12:07:58",1741,1711,16,14,0,917,903,0,14,0,906,11,1800,883,8,39,5,161,177,6,23,5,6,2,37,167,13,7,249,1
26,MARAMUREŞ,"ANSAMBLUL FOLCLORIC NAȚIONAL „TRANSILVANIA”",42,"MUNICIPIUL BAIA MARE",106318,2,PART,PRCNCT,P,P_SV,"2024-06-10 18:11:15",1309,1286,12,11,0,567,556,0,11,0,556,8,1400,836,4,33,6,104,91,4,51,4,5,3,18,129,8,4,86,6
26,MARAMUREŞ,"BIBLIOTECA JUDEȚEANĂ „PETRE DULFU”",50,"MUNICIPIUL BAIA MARE",106318,2,PART,PRCNCT,P,P_SV,"2024-06-10 13:01:55",1206,1195,1,9,1,623,613,0,9,1,610,13,1299,676,5,46,5,109,56,7,129,4,6,0,24,124,7,3,85,0
26,MARAMUREŞ,"CENTRUL COMUNITAR ROMANII",84,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:29:48",1116,1105,1,10,0,375,364,1,10,0,324,51,1300,925,1,26,5,22,13,3,21,3,3,3,28,48,21,2,124,1
26,MARAMUREŞ,"CENTRUL „PHOENIX”",71,"MUNICIPIUL BAIA MARE",106318,2,PART,PRCNCT,P,P_SV,"2024-06-10 10:12:35",1332,1321,1,10,0,430,420,0,10,0,391,39,1500,1070,2,22,3,63,59,2,13,5,2,1,29,61,10,3,108,8
26,MARAMUREŞ,"CENTRUL „SALVAȚI FAMILIA”",83,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:53:28",1948,1935,2,11,0,780,769,0,11,0,775,5,2200,1420,7,36,5,134,156,3,38,7,5,6,25,184,14,7,142,6
26,MARAMUREŞ,"CENTRUL „SFÂNTUL FRANCISC DE ASSISI”",79,"MUNICIPIUL BAIA MARE",106318,2,PART,PRCNCT,P,P_SV,"2024-06-10 10:14:58",1380,1370,2,8,0,475,467,0,8,0,463,12,1600,1125,2,18,5,92,82,3,20,10,4,5,16,86,8,5,104,3
26,MARAMUREŞ,"CENTRUL SOCIAL „ASSOC”",46,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:41:08",1397,1380,11,6,0,597,591,0,6,0,590,7,1600,1003,4,30,2,116,122,6,18,2,2,5,22,116,7,4,134,0
26,MARAMUREŞ,"CENTRUL UNIVERSITAR NORD - „FACULTATEA DE LITERE”",14,"MUNICIPIUL BAIA MARE",106318,2,PART,PRCNCT,P,P_SV,"2024-06-10 11:24:55",1330,1310,10,9,1,610,599,1,9,1,594,16,1500,890,3,50,4,124,90,4,88,1,10,1,9,93,4,2,109,2
