precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ZETEA GABRIEL-VALER-PARTIDUL SOCIAL DEMOCRAT-voturi","ŞTEŢCO GABRIEL-BOGDAN-PARTIDUL NAȚIONAL LIBERAL-voturi","PINTÉR ZSOLT-ISTVÁN-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","POP DARIUS-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","MORARIU CĂLIN-TEODOR-PARTIDUL ALTERNATIVA DREAPTĂ-voturi","PONDE ELENA-SIMONA-PARTIDUL ECOLOGIST ROMÂN-voturi","ROPAN MIHAI-PARTIDUL NAȚIONAL CONSERVATOR ROMÂN-voturi","POP NADIA-MARIA-PARTIDUL VERTICALA NOUĂ-voturi","OPRIŞ DUMITRU-CRISTIAN-FORȚA DREPTEI-voturi","FILIP MARIANA-FLORENTINA-PARTIDUL UMANIST SOCIAL LIBERAL-voturi","CÎMPEAN CORNELIA-PARTIDUL PATRIOȚILOR-voturi","IVAN DAN-ALIANȚA DREAPTA UNITĂ USR - PMP-voturi","IVAŞCO ALINA-PARTIDUL S.O.S. ROMÂNIA-voturi"
26,MARAMUREŞ,"ADMINISTRAȚIA BAZELOR SPORTIVE",47,"MUNICIPIUL BAIA MARE",106318,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:11:02",1390,1373,5,12,0,637,625,0,12,0,608,17,1500,875,173,147,40,28,7,13,4,72,21,6,1,91,5
26,MARAMUREŞ,"AGENȚIA DE PLĂȚI ȘI INTERVENȚIE PENTRU AGRICULTURĂ MARAMUREȘ",1,"MUNICIPIUL BAIA MARE",106318,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 12:07:58",1741,1711,16,14,0,917,903,0,14,0,903,14,1800,883,283,213,30,56,9,11,8,114,16,8,5,134,16
26,MARAMUREŞ,"ANSAMBLUL FOLCLORIC NAȚIONAL „TRANSILVANIA”",42,"MUNICIPIUL BAIA MARE",106318,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 09:59:42",1309,1286,12,11,0,579,556,12,11,0,556,20,1400,801,135,129,63,23,17,18,4,51,13,2,3,87,11
26,MARAMUREŞ,"BIBLIOTECA JUDEȚEANĂ „PETRE DULFU”",50,"MUNICIPIUL BAIA MARE",106318,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:18:30",1206,1195,1,9,1,623,613,0,9,1,609,14,1298,675,124,137,139,28,5,15,5,37,20,2,2,85,10
26,MARAMUREŞ,"CĂMIN CULTURAL",318,FĂRCAŞA,108106,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:21:04",463,427,5,23,8,325,291,3,23,8,316,7,500,177,67,188,3,24,1,3,1,18,2,1,0,5,3
26,MARAMUREŞ,"CĂMIN CULTURAL",280,CICÂRLĂU,107662,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:00:14",1164,1137,1,26,0,642,616,0,26,0,592,28,1300,680,357,116,6,56,2,5,2,7,10,1,1,12,17
26,MARAMUREŞ,"CĂMIN CULTURAL",256,"BOGDAN VODĂ",107403,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:40:50",537,494,0,16,27,260,217,0,16,27,235,25,500,240,50,158,1,17,0,0,1,3,0,1,1,2,1
26,MARAMUREŞ,"CĂMIN CULTURAL",277,CICÂRLĂU,107662,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:10:07",1928,1907,2,13,6,922,903,0,13,6,898,24,2080,1158,417,240,10,86,4,13,4,39,11,3,5,39,27
26,MARAMUREŞ,"CĂMIN CULTURAL",317,FĂRCAŞA,108106,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:49:43",628,592,0,20,16,322,286,0,20,16,306,16,600,278,57,157,5,39,0,5,0,18,6,1,6,12,0
26,MARAMUREŞ,"CĂMIN CULTURAL",378,REMEŢI,108552,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:41:14",319,315,0,3,1,152,148,0,3,1,137,15,400,248,38,37,34,6,0,0,0,0,1,1,0,7,13
26,MARAMUREŞ,"CĂMIN CULTURAL",319,FĂRCAŞA,108106,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:37:07",932,876,0,41,15,522,466,0,41,15,504,18,1000,478,128,230,4,42,0,44,0,6,20,3,0,18,9
26,MARAMUREŞ,"CĂMIN CULTURAL",279,CICÂRLĂU,107662,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 00:33:32",396,386,1,9,0,214,205,0,9,0,194,20,400,186,136,22,0,18,1,1,0,2,1,0,1,3,9
26,MARAMUREŞ,"CAMINUL CULTURAL",269,"CÂMPULUNG LA TISA",107715,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:28:31",1213,1203,1,0,9,699,689,1,0,9,659,40,1300,601,89,153,363,27,0,3,1,2,2,3,1,2,13
26,MARAMUREŞ,"CĂMINUL CULTURAL",268,CĂLINEŞTI,107546,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:15:18",1099,1076,0,7,16,696,673,0,7,16,659,37,1200,504,371,188,3,36,2,2,3,1,4,24,0,18,7
26,MARAMUREŞ,"CĂMINUL CULTURAL",440,"VIMA MICĂ",109425,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:18:11",217,201,0,9,7,161,145,0,9,7,159,2,250,89,73,77,1,2,0,1,0,0,0,3,0,2,0
26,MARAMUREŞ,"CĂMINUL CULTURAL",429,"VALEA CHIOARULUI",109354,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:44:42",539,484,1,38,16,403,348,1,38,16,389,14,580,177,189,166,2,12,0,0,0,3,2,4,1,4,6
26,MARAMUREŞ,"CĂMINUL CULTURAL",173,"ORAŞ ŞOMCUTA MARE",109176,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:59:43",212,193,0,11,8,163,144,0,11,8,162,1,300,137,120,34,1,2,0,0,2,0,0,0,0,3,0
26,MARAMUREŞ,"CĂMINUL CULTURAL",233,"BĂIŢA DE SUB CODRU",107118,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:05:58",285,252,0,29,4,235,202,0,29,4,215,18,300,67,87,52,1,15,7,3,1,2,0,1,0,36,10
26,MARAMUREŞ,"CĂMINUL CULTURAL",235,BĂIUŢ,107154,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:41:26",159,150,0,6,3,103,94,0,6,3,100,3,200,97,41,41,1,5,0,1,0,1,0,3,0,7,0
26,MARAMUREŞ,"CĂMINUL CULTURAL",168,"ORAŞ ŞOMCUTA MARE",109176,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:42:07",619,607,0,8,4,375,363,0,8,4,359,16,700,325,226,62,5,23,2,2,1,3,1,0,0,28,6
26,MARAMUREŞ,"CĂMINUL CULTURAL",229,ARINIŞ,107047,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:32:40",195,158,3,26,8,156,119,3,26,8,151,5,199,43,84,15,2,7,2,28,0,7,2,0,0,4,0
26,MARAMUREŞ,"CĂMINUL CULTURAL",247,BICAZ,107234,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:40:28",239,214,0,12,13,174,149,0,12,13,168,6,300,126,94,51,0,11,2,0,0,0,0,1,1,8,0
26,MARAMUREŞ,"CĂMINUL CULTURAL",373,"REMETEA CHIOARULUI",108491,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:00:20",365,347,2,10,6,212,195,1,10,6,210,2,400,188,102,77,1,8,0,0,0,1,11,0,1,7,2
26,MARAMUREŞ,"CĂMINUL CULTURAL",374,"REMETEA CHIOARULUI",108491,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:44:36",287,272,0,11,4,225,210,0,11,4,219,6,300,75,87,83,2,12,2,0,0,0,29,1,0,2,1
26,MARAMUREŞ,"CĂMINUL CULTURAL",288,COPALNIC-MĂNĂŞTUR,107733,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:16:11",582,562,2,8,10,292,274,0,8,10,278,14,600,308,62,143,2,33,3,1,1,4,3,0,0,19,7
26,MARAMUREŞ,"CĂMINUL CULTURAL",245,BICAZ,107234,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:56:14",439,396,0,26,17,316,273,0,26,17,303,13,500,184,92,92,3,85,0,3,2,5,1,2,1,14,3
26,MARAMUREŞ,"CĂMINUL CULTURAL",354,ONCEŞTI,179864,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:38:44",1258,1236,1,12,9,709,687,1,12,9,676,33,1400,691,405,142,3,84,2,3,0,2,7,2,0,13,13
26,MARAMUREŞ,"CĂMINUL CULTURAL",182,"ORAŞ TĂUŢII-MĂGHERĂUŞ",106461,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:07:05",603,593,3,7,0,289,282,0,7,0,277,12,699,410,51,115,13,27,0,8,2,15,16,0,0,22,8
26,MARAMUREŞ,"CĂMINUL CULTURAL",400,SATULUNG,108712,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:58:21",635,591,2,15,27,445,403,0,15,27,434,11,700,255,139,204,3,37,3,5,2,9,3,1,2,17,9
26,MARAMUREŞ,"CĂMINUL CULTURAL",227,ARINIŞ,107047,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:06:04",582,536,0,27,19,412,366,0,27,19,400,12,600,188,184,69,54,35,0,23,1,16,3,0,0,10,5
