precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL ROMÂNIA MARE-voturi","PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL MIȘCAREA ROMÂNIA SUVERANĂ-voturi","ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA""-voturi","ALIANŢA PENTRU REFORMĂ ECHITATE SOCIALĂ EMANCIPARE ŞI LIBERTATE-voturi","FORȚA DREPTEI-voturi","NAȚIUNE OAMENI ÎMPREUNĂ-voturi"
40,VÂLCEA,"COLEGIUL NAȚIONAL GIB MIHĂESCU",100,"MUNICIPIUL DRĂGĂŞANI",167981,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:20:46",1357,1345,1,11,0,717,706,0,11,0,696,21,1570,853,38,182,108,191,6,3,12,2,3,102,49
40,VÂLCEA,"GRĂDINIȚA CAPUL DEALULUI",105,"MUNICIPIUL DRĂGĂŞANI",167981,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:36:44",754,738,2,8,6,387,373,0,8,6,367,20,820,433,8,101,111,67,2,1,8,1,2,44,22
40,VÂLCEA,"GRĂDINIŢA CU PROGRAM NORMAL NR. 8",103,"MUNICIPIUL DRĂGĂŞANI",167981,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:08:07",596,588,0,8,0,223,215,0,8,0,177,46,669,446,2,10,14,32,0,0,0,0,29,90,0
40,VÂLCEA,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR. 2",96,"MUNICIPIUL DRĂGĂŞANI",167981,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:23:38",1226,1215,0,11,0,554,543,0,11,0,531,20,1340,786,22,146,111,120,4,3,8,2,2,82,31
40,VÂLCEA,"GRĂDINIŢA I.C. BRĂTIANU",97,"MUNICIPIUL DRĂGĂŞANI",167981,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 04:33:23",866,858,0,8,0,469,461,0,8,0,412,21,950,481,11,88,115,68,8,16,6,15,8,61,16
40,VÂLCEA,"LICEUL TEHNOLOGIC BRĂTIANU",94,"MUNICIPIUL DRĂGĂŞANI",167981,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:32:49",1328,1315,3,10,0,596,585,1,10,0,556,40,1450,854,13,161,127,120,8,4,1,1,5,66,50
40,VÂLCEA,"LICEUL TEHNOLOGIC BRĂTIANU",95,"MUNICIPIUL DRĂGĂŞANI",167981,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 04:28:46",1136,1126,2,8,0,541,533,0,8,0,511,22,1350,809,17,145,137,92,3,4,3,0,1,71,38
40,VÂLCEA,"LICEUL TEHNOLOGIC BRĂTIANU - ȘCOALA PROFESIONALĂ",101,"MUNICIPIUL DRĂGĂŞANI",167981,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:00:00",1176,1165,0,11,0,603,592,0,11,0,555,48,1320,717,13,74,136,120,9,29,7,8,40,98,21
40,VÂLCEA,"ŞCOALA GIMNAZIALĂ NR. 5",104,"MUNICIPIUL DRĂGĂŞANI",167981,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 04:42:28",695,690,0,5,0,351,346,0,5,0,331,20,760,409,9,103,55,84,4,3,11,1,2,44,15
40,VÂLCEA,"ŞCOALA GIMNAZIALĂ NR. 8 (BÂRSANU)",102,"MUNICIPIUL DRĂGĂŞANI",167981,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:11:36",841,832,0,7,2,455,446,0,7,2,435,20,920,465,11,115,103,95,2,7,8,5,10,66,13
40,VÂLCEA,"ŞCOALA NICOLAE BĂLCESCU",99,"MUNICIPIUL DRĂGĂŞANI",167981,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:54:05",1190,1173,1,15,1,650,634,0,15,1,633,17,1300,650,22,176,95,157,9,8,6,2,4,95,59
40,VÂLCEA,"ȘCOALA NICOLAE BĂLCESCU",98,"MUNICIPIUL DRĂGĂŞANI",167981,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:22:35",1172,1161,1,10,0,608,598,0,10,0,573,35,1280,672,33,150,105,119,9,2,18,2,2,99,34
40,VÂLCEA,"ŞCOALA TUDOR VLADIMIRESCU",93,"MUNICIPIUL DRĂGĂŞANI",167981,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:30:23",1170,1159,1,9,1,583,573,0,9,1,564,19,1270,686,32,134,106,130,10,2,6,1,4,99,40
40,VÂLCEA,"ŞCOALA TUDOR VLADIMIRESCU",92,"MUNICIPIUL DRĂGĂŞANI",167981,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:48:37",1282,1269,0,13,0,669,656,0,13,0,639,30,1400,731,41,161,84,136,14,5,11,0,3,96,88
40,VÂLCEA,"ȘCOALA ZLĂTĂREI",106,"MUNICIPIUL DRĂGĂŞANI",167981,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:49:24",1164,1157,3,4,0,638,633,1,4,0,594,44,1270,632,20,200,89,156,5,2,8,1,4,72,37
